,acchr,dayofweek,size
0,0,1,25
1,0,2,16
2,0,3,4
3,0,4,15
4,0,5,16
5,0,6,25
6,0,7,29
7,1,1,37
8,1,2,15
9,1,3,4
10,1,4,9
11,1,5,7
12,1,6,12
13,1,7,39
14,2,1,38
15,2,2,14
16,2,3,10
17,2,4,6
18,2,5,10
19,2,6,18
20,2,7,34
21,3,1,30
22,3,2,10
23,3,3,5
24,3,4,7
25,3,5,5
26,3,6,14
27,3,7,24
28,4,1,19
29,4,2,6
30,4,3,9
31,4,4,10
32,4,5,7
33,4,6,12
34,4,7,22
35,5,1,22
36,5,2,11
37,5,3,16
38,5,4,12
39,5,5,19
40,5,6,16
41,5,7,19
42,6,1,8
43,6,2,20
44,6,3,18
45,6,4,22
46,6,5,21
47,6,6,21
48,6,7,9
49,7,1,6
50,7,2,16
51,7,3,11
52,7,4,18
53,7,5,17
54,7,6,12
55,7,7,7
56,8,1,4
57,8,2,13
58,8,3,9
59,8,4,14
60,8,5,13
61,8,6,12
62,8,7,6
63,9,1,6
64,9,2,11
65,9,3,9
66,9,4,10
67,9,5,13
68,9,6,9
69,9,7,10
70,10,1,5
71,10,2,6
72,10,3,5
73,10,4,13
74,10,5,15
75,10,6,5
76,10,7,7
77,11,1,6
78,11,2,15
79,11,3,10
80,11,4,9
81,11,5,10
82,11,6,13
83,11,7,11
84,12,1,5
85,12,2,7
86,12,3,6
87,12,4,10
88,12,5,4
89,12,6,2
90,12,7,10
91,13,1,5
92,13,2,9
93,13,3,12
94,13,4,6
95,13,5,14
96,13,6,8
97,13,7,8
98,14,1,6
99,14,2,10
100,14,3,11
101,14,4,11
102,14,5,14
103,14,6,8
104,14,7,8
105,15,1,6
106,15,2,12
107,15,3,14
108,15,4,6
109,15,5,14
110,15,6,5
111,15,7,7
112,16,1,6
113,16,2,13
114,16,3,12
115,16,4,24
116,16,5,13
117,16,6,14
118,16,7,12
119,17,1,15
120,17,2,18
121,17,3,15
122,17,4,21
123,17,5,32
124,17,6,19
125,17,7,23
126,18,1,31
127,18,2,36
128,18,3,37
129,18,4,47
130,18,5,42
131,18,6,36
132,18,7,30
133,19,1,31
134,19,2,46
135,19,3,33
136,19,4,28
137,19,5,46
138,19,6,32
139,19,7,53
140,20,1,40
141,20,2,48
142,20,3,38
143,20,4,34
144,20,5,50
145,20,6,45
146,20,7,54
147,21,1,32
148,21,2,46
149,21,3,27
150,21,4,37
151,21,5,41
152,21,6,45
153,21,7,61
154,22,1,31
155,22,2,30
156,22,3,34
157,22,4,24
158,22,5,35
159,22,6,44
160,22,7,60
161,23,1,18
162,23,2,20
163,23,3,22
164,23,4,19
165,23,5,21
166,23,6,56
167,23,7,48
168,99,1,3
169,99,2,1
170,99,3,4
171,99,4,1
172,99,5,1
173,99,7,1
