,acchr,dayofweek,size
0,0,1,41
1,0,2,11
2,0,3,10
3,0,4,13
4,0,5,16
5,0,6,15
6,0,7,39
7,1,1,50
8,1,2,12
9,1,3,8
10,1,4,8
11,1,5,10
12,1,6,15
13,1,7,48
14,2,1,46
15,2,2,10
16,2,3,12
17,2,4,5
18,2,5,10
19,2,6,25
20,2,7,54
21,3,1,30
22,3,2,4
23,3,3,10
24,3,4,9
25,3,5,13
26,3,6,12
27,3,7,25
28,4,1,21
29,4,2,5
30,4,3,9
31,4,4,4
32,4,5,9
33,4,6,13
34,4,7,27
35,5,1,19
36,5,2,12
37,5,3,9
38,5,4,7
39,5,5,14
40,5,6,13
41,5,7,18
42,6,1,20
43,6,2,13
44,6,3,11
45,6,4,13
46,6,5,29
47,6,6,13
48,6,7,17
49,7,1,13
50,7,2,19
51,7,3,16
52,7,4,16
53,7,5,17
54,7,6,18
55,7,7,15
56,8,1,16
57,8,2,12
58,8,3,5
59,8,4,14
60,8,5,11
61,8,6,9
62,8,7,13
63,9,1,17
64,9,2,17
65,9,3,8
66,9,4,10
67,9,5,2
68,9,6,10
69,9,7,11
70,10,1,11
71,10,2,18
72,10,3,10
73,10,4,11
74,10,5,16
75,10,6,16
76,10,7,12
77,11,1,9
78,11,2,10
79,11,3,11
80,11,4,18
81,11,5,10
82,11,6,16
83,11,7,19
84,12,1,15
85,12,2,11
86,12,3,23
87,12,4,14
88,12,5,15
89,12,6,21
90,12,7,28
91,13,1,21
92,13,2,13
93,13,3,15
94,13,4,18
95,13,5,20
96,13,6,17
97,13,7,24
98,14,1,17
99,14,2,24
100,14,3,23
101,14,4,15
102,14,5,26
103,14,6,19
104,14,7,30
105,15,1,30
106,15,2,19
107,15,3,33
108,15,4,30
109,15,5,20
110,15,6,25
111,15,7,25
112,16,1,30
113,16,2,28
114,16,3,21
115,16,4,21
116,16,5,21
117,16,6,26
118,16,7,24
119,17,1,28
120,17,2,27
121,17,3,26
122,17,4,30
123,17,5,40
124,17,6,29
125,17,7,37
126,18,1,36
127,18,2,28
128,18,3,24
129,18,4,23
130,18,5,28
131,18,6,33
132,18,7,45
133,19,1,40
134,19,2,27
135,19,3,31
136,19,4,21
137,19,5,20
138,19,6,22
139,19,7,47
140,20,1,30
141,20,2,28
142,20,3,18
143,20,4,22
144,20,5,23
145,20,6,25
146,20,7,34
147,21,1,19
148,21,2,25
149,21,3,25
150,21,4,24
151,21,5,23
152,21,6,40
153,21,7,35
154,22,1,22
155,22,2,17
156,22,3,14
157,22,4,17
158,22,5,27
159,22,6,22
160,22,7,30
161,23,1,12
162,23,2,12
163,23,3,15
164,23,4,11
165,23,5,17
166,23,6,46
167,23,7,54
168,99,1,7
169,99,2,7
170,99,3,4
171,99,4,5
172,99,5,5
173,99,6,5
174,99,7,12
