,acchr,dayofweek,size
0,0,1,79
1,0,2,37
2,0,3,23
3,0,4,28
4,0,5,36
5,0,6,46
6,0,7,90
7,1,1,128
8,1,2,43
9,1,3,23
10,1,4,39
11,1,5,32
12,1,6,55
13,1,7,117
14,2,1,163
15,2,2,35
16,2,3,36
17,2,4,33
18,2,5,39
19,2,6,74
20,2,7,173
21,3,1,112
22,3,2,18
23,3,3,22
24,3,4,23
25,3,5,31
26,3,6,35
27,3,7,84
28,4,1,88
29,4,2,23
30,4,3,18
31,4,4,16
32,4,5,17
33,4,6,31
34,4,7,76
35,5,1,50
36,5,2,26
37,5,3,23
38,5,4,16
39,5,5,15
40,5,6,16
41,5,7,49
42,6,1,31
43,6,2,26
44,6,3,26
45,6,4,19
46,6,5,34
47,6,6,27
48,6,7,38
49,7,1,27
50,7,2,19
51,7,3,20
52,7,4,17
53,7,5,16
54,7,6,23
55,7,7,31
56,8,1,20
57,8,2,13
58,8,3,19
59,8,4,13
60,8,5,15
61,8,6,10
62,8,7,18
63,9,1,10
64,9,2,11
65,9,3,15
66,9,4,10
67,9,5,16
68,9,6,10
69,9,7,20
70,10,1,19
71,10,2,16
72,10,3,10
73,10,4,11
74,10,5,11
75,10,6,12
76,10,7,20
77,11,1,19
78,11,2,15
79,11,3,10
80,11,4,12
81,11,5,9
82,11,6,12
83,11,7,16
84,12,1,27
85,12,2,16
86,12,3,15
87,12,4,13
88,12,5,14
89,12,6,17
90,12,7,21
91,13,1,19
92,13,2,15
93,13,3,7
94,13,4,21
95,13,5,13
96,13,6,17
97,13,7,19
98,14,1,17
99,14,2,28
100,14,3,27
101,14,4,8
102,14,5,17
103,14,6,19
104,14,7,31
105,15,1,36
106,15,2,25
107,15,3,16
108,15,4,25
109,15,5,18
110,15,6,27
111,15,7,28
112,16,1,30
113,16,2,20
114,16,3,23
115,16,4,24
116,16,5,22
117,16,6,23
118,16,7,36
119,17,1,32
120,17,2,34
121,17,3,27
122,17,4,33
123,17,5,18
124,17,6,24
125,17,7,34
126,18,1,26
127,18,2,36
128,18,3,26
129,18,4,28
130,18,5,30
131,18,6,34
132,18,7,39
133,19,1,35
134,19,2,25
135,19,3,38
136,19,4,25
137,19,5,31
138,19,6,31
139,19,7,46
140,20,1,41
141,20,2,28
142,20,3,42
143,20,4,29
144,20,5,41
145,20,6,34
146,20,7,38
147,21,1,35
148,21,2,30
149,21,3,36
150,21,4,23
151,21,5,35
152,21,6,47
153,21,7,61
154,22,1,44
155,22,2,32
156,22,3,38
157,22,4,29
158,22,5,38
159,22,6,50
160,22,7,52
161,23,1,37
162,23,2,30
163,23,3,28
164,23,4,28
165,23,5,37
166,23,6,62
167,23,7,82
168,99,1,8
169,99,2,5
170,99,3,4
171,99,4,3
172,99,5,5
173,99,6,5
174,99,7,13
