,acchr,dayofweek,size
0,0,1,14
1,0,2,10
2,0,3,2
3,0,4,9
4,0,5,9
5,0,6,10
6,0,7,10
7,1,1,14
8,1,2,3
9,1,3,8
10,1,4,5
11,1,5,7
12,1,6,7
13,1,7,10
14,2,1,10
15,2,2,4
16,2,3,5
17,2,4,6
18,2,5,2
19,2,6,8
20,2,7,9
21,3,1,10
22,3,2,5
23,3,3,9
24,3,4,6
25,3,5,8
26,3,6,9
27,3,7,13
28,4,1,11
29,4,2,12
30,4,3,9
31,4,4,9
32,4,5,14
33,4,6,12
34,4,7,11
35,5,1,7
36,5,2,22
37,5,3,28
38,5,4,16
39,5,5,29
40,5,6,21
41,5,7,27
42,6,1,11
43,6,2,38
44,6,3,43
45,6,4,37
46,6,5,34
47,6,6,35
48,6,7,22
49,7,1,18
50,7,2,38
51,7,3,35
52,7,4,41
53,7,5,30
54,7,6,32
55,7,7,22
56,8,1,14
57,8,2,27
58,8,3,21
59,8,4,22
60,8,5,38
61,8,6,33
62,8,7,25
63,9,1,24
64,9,2,35
65,9,3,31
66,9,4,30
67,9,5,25
68,9,6,40
69,9,7,31
70,10,1,26
71,10,2,31
72,10,3,31
73,10,4,40
74,10,5,37
75,10,6,29
76,10,7,35
77,11,1,27
78,11,2,49
79,11,3,38
80,11,4,59
81,11,5,41
82,11,6,41
83,11,7,36
84,12,1,52
85,12,2,44
86,12,3,35
87,12,4,33
88,12,5,43
89,12,6,30
90,12,7,52
91,13,1,42
92,13,2,36
93,13,3,40
94,13,4,39
95,13,5,45
96,13,6,49
97,13,7,41
98,14,1,36
99,14,2,39
100,14,3,49
101,14,4,49
102,14,5,47
103,14,6,48
104,14,7,42
105,15,1,38
106,15,2,36
107,15,3,43
108,15,4,42
109,15,5,33
110,15,6,47
111,15,7,39
112,16,1,30
113,16,2,43
114,16,3,40
115,16,4,60
116,16,5,47
117,16,6,35
118,16,7,41
119,17,1,29
120,17,2,33
121,17,3,47
122,17,4,44
123,17,5,39
124,17,6,40
125,17,7,40
126,18,1,35
127,18,2,30
128,18,3,41
129,18,4,37
130,18,5,36
131,18,6,40
132,18,7,44
133,19,1,20
134,19,2,43
135,19,3,22
136,19,4,13
137,19,5,20
138,19,6,32
139,19,7,34
140,20,1,25
141,20,2,26
142,20,3,23
143,20,4,27
144,20,5,18
145,20,6,26
146,20,7,28
147,21,1,21
148,21,2,19
149,21,3,20
150,21,4,26
151,21,5,26
152,21,6,30
153,21,7,26
154,22,1,8
155,22,2,14
156,22,3,11
157,22,4,12
158,22,5,18
159,22,6,30
160,22,7,28
161,23,1,6
162,23,2,7
163,23,3,17
164,23,4,13
165,23,5,9
166,23,6,13
167,23,7,12
168,99,1,1
169,99,2,1
170,99,3,3
171,99,4,4
172,99,5,1
173,99,6,5
