,acchr,dayofweek,size
0,0,1,24
1,0,2,18
2,0,3,15
3,0,4,17
4,0,5,17
5,0,6,15
6,0,7,37
7,1,1,27
8,1,2,17
9,1,3,16
10,1,4,19
11,1,5,12
12,1,6,14
13,1,7,22
14,2,1,26
15,2,2,13
16,2,3,6
17,2,4,10
18,2,5,9
19,2,6,18
20,2,7,25
21,3,1,20
22,3,2,7
23,3,3,12
24,3,4,14
25,3,5,16
26,3,6,23
27,3,7,22
28,4,1,15
29,4,2,17
30,4,3,19
31,4,4,11
32,4,5,16
33,4,6,24
34,4,7,21
35,5,1,16
36,5,2,36
37,5,3,34
38,5,4,37
39,5,5,32
40,5,6,31
41,5,7,29
42,6,1,17
43,6,2,63
44,6,3,67
45,6,4,56
46,6,5,57
47,6,6,47
48,6,7,27
49,7,1,31
50,7,2,51
51,7,3,55
52,7,4,52
53,7,5,47
54,7,6,47
55,7,7,40
56,8,1,27
57,8,2,49
58,8,3,32
59,8,4,42
60,8,5,48
61,8,6,45
62,8,7,33
63,9,1,30
64,9,2,44
65,9,3,45
66,9,4,30
67,9,5,38
68,9,6,54
69,9,7,37
70,10,1,36
71,10,2,43
72,10,3,38
73,10,4,45
74,10,5,46
75,10,6,46
76,10,7,52
77,11,1,37
78,11,2,69
79,11,3,52
80,11,4,69
81,11,5,42
82,11,6,49
83,11,7,54
84,12,1,78
85,12,2,59
86,12,3,53
87,12,4,40
88,12,5,62
89,12,6,46
90,12,7,72
91,13,1,71
92,13,2,42
93,13,3,55
94,13,4,61
95,13,5,59
96,13,6,64
97,13,7,65
98,14,1,50
99,14,2,72
100,14,3,81
101,14,4,59
102,14,5,65
103,14,6,74
104,14,7,75
105,15,1,64
106,15,2,51
107,15,3,60
108,15,4,64
109,15,5,55
110,15,6,63
111,15,7,70
112,16,1,55
113,16,2,57
114,16,3,65
115,16,4,82
116,16,5,69
117,16,6,50
118,16,7,63
119,17,1,56
120,17,2,51
121,17,3,69
122,17,4,67
123,17,5,61
124,17,6,68
125,17,7,69
126,18,1,42
127,18,2,58
128,18,3,59
129,18,4,49
130,18,5,46
131,18,6,53
132,18,7,63
133,19,1,39
134,19,2,47
135,19,3,28
136,19,4,24
137,19,5,33
138,19,6,42
139,19,7,41
140,20,1,41
141,20,2,34
142,20,3,44
143,20,4,35
144,20,5,30
145,20,6,35
146,20,7,34
147,21,1,32
148,21,2,41
149,21,3,30
150,21,4,27
151,21,5,39
152,21,6,41
153,21,7,32
154,22,1,21
155,22,2,27
156,22,3,20
157,22,4,28
158,22,5,36
159,22,6,47
160,22,7,35
161,23,1,14
162,23,2,26
163,23,3,19
164,23,4,21
165,23,5,18
166,23,6,25
167,23,7,31
168,99,1,4
169,99,2,3
170,99,3,7
171,99,4,6
172,99,5,1
173,99,6,10
174,99,7,1
