,acchr,dayofweek,size
0,0,1,83
1,0,2,24
2,0,3,32
3,0,4,25
4,0,5,42
5,0,6,44
6,0,7,88
7,1,1,117
8,1,2,38
9,1,3,15
10,1,4,29
11,1,5,26
12,1,6,56
13,1,7,118
14,2,1,136
15,2,2,34
16,2,3,21
17,2,4,26
18,2,5,37
19,2,6,62
20,2,7,160
21,3,1,85
22,3,2,13
23,3,3,11
24,3,4,11
25,3,5,24
26,3,6,30
27,3,7,75
28,4,1,67
29,4,2,11
30,4,3,10
31,4,4,11
32,4,5,11
33,4,6,24
34,4,7,57
35,5,1,37
36,5,2,12
37,5,3,8
38,5,4,7
39,5,5,8
40,5,6,10
41,5,7,39
42,6,1,22
43,6,2,7
44,6,3,5
45,6,4,6
46,6,5,5
47,6,6,16
48,6,7,34
49,7,1,15
50,7,2,3
51,7,3,5
52,7,4,7
53,7,5,8
54,7,6,7
55,7,7,7
56,8,1,4
57,8,2,5
58,8,3,6
59,8,4,3
60,8,5,6
61,8,6,6
62,8,7,10
63,9,1,5
64,9,2,2
65,9,3,4
66,9,4,7
67,9,5,4
68,9,6,3
69,9,7,1
70,10,1,2
71,10,2,2
72,10,3,2
73,10,4,3
74,10,5,1
75,10,6,3
76,10,7,7
77,11,1,4
78,11,2,3
79,11,3,5
80,11,4,6
81,11,5,2
82,11,6,7
83,11,7,9
84,12,1,10
85,12,2,8
86,12,3,3
87,12,4,6
88,12,5,8
89,12,6,10
90,12,7,8
91,13,1,11
92,13,2,6
93,13,3,8
94,13,4,6
95,13,5,9
96,13,6,13
97,13,7,10
98,14,1,9
99,14,2,13
100,14,3,14
101,14,4,9
102,14,5,6
103,14,6,13
104,14,7,15
105,15,1,28
106,15,2,11
107,15,3,11
108,15,4,9
109,15,5,9
110,15,6,16
111,15,7,25
112,16,1,32
113,16,2,15
114,16,3,8
115,16,4,15
116,16,5,11
117,16,6,16
118,16,7,31
119,17,1,24
120,17,2,21
121,17,3,15
122,17,4,20
123,17,5,16
124,17,6,30
125,17,7,37
126,18,1,31
127,18,2,20
128,18,3,17
129,18,4,24
130,18,5,29
131,18,6,41
132,18,7,46
133,19,1,50
134,19,2,27
135,19,3,31
136,19,4,32
137,19,5,39
138,19,6,33
139,19,7,65
140,20,1,52
141,20,2,38
142,20,3,32
143,20,4,35
144,20,5,49
145,20,6,44
146,20,7,69
147,21,1,41
148,21,2,34
149,21,3,33
150,21,4,43
151,21,5,41
152,21,6,47
153,21,7,70
154,22,1,37
155,22,2,35
156,22,3,32
157,22,4,42
158,22,5,37
159,22,6,63
160,22,7,81
161,23,1,38
162,23,2,27
163,23,3,36
164,23,4,25
165,23,5,51
166,23,6,78
167,23,7,82
168,99,1,18
169,99,2,9
170,99,3,3
171,99,4,3
172,99,5,7
173,99,6,10
174,99,7,12
