,acchr,dayofweek,size
0,0,1,29
1,0,2,21
2,0,3,16
3,0,4,19
4,0,5,20
5,0,6,29
6,0,7,29
7,1,1,41
8,1,2,8
9,1,3,12
10,1,4,8
11,1,5,14
12,1,6,21
13,1,7,40
14,2,1,25
15,2,2,8
16,2,3,8
17,2,4,11
18,2,5,10
19,2,6,18
20,2,7,29
21,3,1,14
22,3,2,3
23,3,3,7
24,3,4,10
25,3,5,12
26,3,6,11
27,3,7,16
28,4,1,15
29,4,2,12
30,4,3,12
31,4,4,10
32,4,5,14
33,4,6,21
34,4,7,11
35,5,1,16
36,5,2,19
37,5,3,24
38,5,4,17
39,5,5,20
40,5,6,25
41,5,7,22
42,6,1,13
43,6,2,32
44,6,3,37
45,6,4,27
46,6,5,29
47,6,6,35
48,6,7,19
49,7,1,16
50,7,2,30
51,7,3,24
52,7,4,36
53,7,5,26
54,7,6,26
55,7,7,12
56,8,1,16
57,8,2,34
58,8,3,30
59,8,4,23
60,8,5,35
61,8,6,30
62,8,7,16
63,9,1,18
64,9,2,30
65,9,3,32
66,9,4,22
67,9,5,24
68,9,6,30
69,9,7,33
70,10,1,22
71,10,2,31
72,10,3,34
73,10,4,26
74,10,5,29
75,10,6,28
76,10,7,19
77,11,1,24
78,11,2,34
79,11,3,36
80,11,4,38
81,11,5,33
82,11,6,38
83,11,7,24
84,12,1,45
85,12,2,42
86,12,3,30
87,12,4,39
88,12,5,36
89,12,6,30
90,12,7,42
91,13,1,35
92,13,2,34
93,13,3,35
94,13,4,31
95,13,5,40
96,13,6,49
97,13,7,47
98,14,1,26
99,14,2,38
100,14,3,47
101,14,4,49
102,14,5,41
103,14,6,54
104,14,7,30
105,15,1,44
106,15,2,41
107,15,3,44
108,15,4,43
109,15,5,31
110,15,6,49
111,15,7,44
112,16,1,35
113,16,2,59
114,16,3,36
115,16,4,56
116,16,5,45
117,16,6,43
118,16,7,37
119,17,1,33
120,17,2,38
121,17,3,34
122,17,4,57
123,17,5,53
124,17,6,50
125,17,7,60
126,18,1,44
127,18,2,42
128,18,3,54
129,18,4,52
130,18,5,50
131,18,6,53
132,18,7,62
133,19,1,51
134,19,2,40
135,19,3,27
136,19,4,34
137,19,5,51
138,19,6,47
139,19,7,66
140,20,1,41
141,20,2,46
142,20,3,33
143,20,4,39
144,20,5,45
145,20,6,52
146,20,7,68
147,21,1,32
148,21,2,34
149,21,3,31
150,21,4,48
151,21,5,46
152,21,6,45
153,21,7,59
154,22,1,28
155,22,2,31
156,22,3,32
157,22,4,32
158,22,5,41
159,22,6,40
160,22,7,56
161,23,1,15
162,23,2,16
163,23,3,24
164,23,4,24
165,23,5,28
166,23,6,51
167,23,7,33
168,99,1,3
169,99,2,5
170,99,3,1
171,99,4,9
172,99,5,7
173,99,6,11
174,99,7,4
