,acchr,dayofweek,size
0,0,1,26
1,0,2,19
2,0,3,9
3,0,4,17
4,0,5,12
5,0,6,17
6,0,7,29
7,1,1,28
8,1,2,13
9,1,3,6
10,1,4,11
11,1,5,12
12,1,6,11
13,1,7,19
14,2,1,18
15,2,2,14
16,2,3,8
17,2,4,10
18,2,5,10
19,2,6,17
20,2,7,18
21,3,1,11
22,3,2,5
23,3,3,7
24,3,4,8
25,3,5,8
26,3,6,20
27,3,7,22
28,4,1,14
29,4,2,11
30,4,3,16
31,4,4,11
32,4,5,10
33,4,6,22
34,4,7,18
35,5,1,11
36,5,2,24
37,5,3,27
38,5,4,24
39,5,5,23
40,5,6,32
41,5,7,23
42,6,1,15
43,6,2,40
44,6,3,41
45,6,4,34
46,6,5,35
47,6,6,39
48,6,7,16
49,7,1,19
50,7,2,27
51,7,3,31
52,7,4,37
53,7,5,31
54,7,6,37
55,7,7,26
56,8,1,16
57,8,2,39
58,8,3,25
59,8,4,28
60,8,5,31
61,8,6,28
62,8,7,23
63,9,1,22
64,9,2,30
65,9,3,28
66,9,4,24
67,9,5,27
68,9,6,39
69,9,7,31
70,10,1,22
71,10,2,27
72,10,3,33
73,10,4,22
74,10,5,24
75,10,6,28
76,10,7,26
77,11,1,21
78,11,2,42
79,11,3,40
80,11,4,39
81,11,5,28
82,11,6,28
83,11,7,30
84,12,1,39
85,12,2,37
86,12,3,29
87,12,4,35
88,12,5,34
89,12,6,20
90,12,7,40
91,13,1,41
92,13,2,33
93,13,3,25
94,13,4,35
95,13,5,30
96,13,6,33
97,13,7,40
98,14,1,27
99,14,2,44
100,14,3,52
101,14,4,41
102,14,5,38
103,14,6,51
104,14,7,32
105,15,1,36
106,15,2,37
107,15,3,37
108,15,4,46
109,15,5,36
110,15,6,40
111,15,7,38
112,16,1,33
113,16,2,38
114,16,3,45
115,16,4,53
116,16,5,43
117,16,6,32
118,16,7,32
119,17,1,35
120,17,2,35
121,17,3,30
122,17,4,38
123,17,5,49
124,17,6,37
125,17,7,42
126,18,1,27
127,18,2,39
128,18,3,36
129,18,4,48
130,18,5,48
131,18,6,41
132,18,7,39
133,19,1,35
134,19,2,34
135,19,3,25
136,19,4,24
137,19,5,24
138,19,6,38
139,19,7,33
140,20,1,27
141,20,2,32
142,20,3,28
143,20,4,30
144,20,5,22
145,20,6,32
146,20,7,32
147,21,1,23
148,21,2,27
149,21,3,26
150,21,4,26
151,21,5,35
152,21,6,37
153,21,7,31
154,22,1,20
155,22,2,17
156,22,3,23
157,22,4,22
158,22,5,24
159,22,6,27
160,22,7,27
161,23,1,11
162,23,2,16
163,23,3,22
164,23,4,19
165,23,5,17
166,23,6,19
167,23,7,26
168,99,1,3
169,99,2,1
170,99,3,3
171,99,4,5
172,99,6,8
173,99,7,1
