,acchr,dayofweek,size
0,0,1,18
1,0,2,12
2,0,3,12
3,0,4,11
4,0,5,15
5,0,6,13
6,0,7,21
7,1,1,25
8,1,2,5
9,1,3,10
10,1,4,6
11,1,5,8
12,1,6,12
13,1,7,25
14,2,1,19
15,2,2,5
16,2,3,4
17,2,4,7
18,2,5,8
19,2,6,9
20,2,7,17
21,3,1,6
22,3,2,2
23,3,3,4
24,3,4,9
25,3,5,9
26,3,6,5
27,3,7,8
28,4,1,8
29,4,2,9
30,4,3,7
31,4,4,5
32,4,5,9
33,4,6,17
34,4,7,6
35,5,1,9
36,5,2,15
37,5,3,14
38,5,4,10
39,5,5,13
40,5,6,17
41,5,7,13
42,6,1,8
43,6,2,21
44,6,3,26
45,6,4,16
46,6,5,22
47,6,6,21
48,6,7,12
49,7,1,13
50,7,2,25
51,7,3,20
52,7,4,21
53,7,5,17
54,7,6,18
55,7,7,11
56,8,1,14
57,8,2,25
58,8,3,21
59,8,4,19
60,8,5,27
61,8,6,23
62,8,7,10
63,9,1,11
64,9,2,22
65,9,3,28
66,9,4,8
67,9,5,17
68,9,6,24
69,9,7,21
70,10,1,19
71,10,2,22
72,10,3,25
73,10,4,17
74,10,5,21
75,10,6,23
76,10,7,16
77,11,1,17
78,11,2,25
79,11,3,26
80,11,4,29
81,11,5,25
82,11,6,24
83,11,7,17
84,12,1,40
85,12,2,30
86,12,3,19
87,12,4,31
88,12,5,27
89,12,6,21
90,12,7,33
91,13,1,31
92,13,2,20
93,13,3,25
94,13,4,28
95,13,5,30
96,13,6,40
97,13,7,37
98,14,1,19
99,14,2,32
100,14,3,34
101,14,4,40
102,14,5,32
103,14,6,40
104,14,7,27
105,15,1,34
106,15,2,31
107,15,3,33
108,15,4,35
109,15,5,20
110,15,6,36
111,15,7,37
112,16,1,30
113,16,2,47
114,16,3,30
115,16,4,45
116,16,5,34
117,16,6,26
118,16,7,29
119,17,1,22
120,17,2,24
121,17,3,22
122,17,4,40
123,17,5,30
124,17,6,42
125,17,7,44
126,18,1,27
127,18,2,22
128,18,3,35
129,18,4,25
130,18,5,35
131,18,6,23
132,18,7,47
133,19,1,32
134,19,2,16
135,19,3,13
136,19,4,14
137,19,5,28
138,19,6,28
139,19,7,43
140,20,1,20
141,20,2,23
142,20,3,17
143,20,4,21
144,20,5,23
145,20,6,24
146,20,7,33
147,21,1,19
148,21,2,16
149,21,3,18
150,21,4,19
151,21,5,17
152,21,6,23
153,21,7,30
154,22,1,15
155,22,2,16
156,22,3,18
157,22,4,25
158,22,5,15
159,22,6,24
160,22,7,30
161,23,1,10
162,23,2,12
163,23,3,12
164,23,4,14
165,23,5,14
166,23,6,29
167,23,7,19
168,99,1,2
169,99,2,4
170,99,3,1
171,99,4,6
172,99,5,5
173,99,6,10
174,99,7,4
