,acchr,dayofweek,size
0,0,1,87
1,0,2,37
2,0,3,44
3,0,4,41
4,0,5,55
5,0,6,54
6,0,7,104
7,1,1,117
8,1,2,52
9,1,3,25
10,1,4,44
11,1,5,37
12,1,6,58
13,1,7,118
14,2,1,131
15,2,2,45
16,2,3,22
17,2,4,33
18,2,5,41
19,2,6,79
20,2,7,145
21,3,1,90
22,3,2,20
23,3,3,20
24,3,4,24
25,3,5,34
26,3,6,41
27,3,7,77
28,4,1,71
29,4,2,24
30,4,3,23
31,4,4,19
32,4,5,21
33,4,6,45
34,4,7,66
35,5,1,46
36,5,2,33
37,5,3,30
38,5,4,27
39,5,5,32
40,5,6,34
41,5,7,52
42,6,1,35
43,6,2,51
44,6,3,59
45,6,4,35
46,6,5,50
47,6,6,49
48,6,7,52
49,7,1,34
50,7,2,43
51,7,3,43
52,7,4,52
53,7,5,46
54,7,6,43
55,7,7,37
56,8,1,26
57,8,2,55
58,8,3,41
59,8,4,40
60,8,5,44
61,8,6,43
62,8,7,29
63,9,1,30
64,9,2,37
65,9,3,39
66,9,4,23
67,9,5,30
68,9,6,46
69,9,7,36
70,10,1,32
71,10,2,35
72,10,3,38
73,10,4,31
74,10,5,35
75,10,6,39
76,10,7,39
77,11,1,42
78,11,2,44
79,11,3,46
80,11,4,47
81,11,5,34
82,11,6,37
83,11,7,43
84,12,1,68
85,12,2,51
86,12,3,37
87,12,4,47
88,12,5,53
89,12,6,42
90,12,7,62
91,13,1,64
92,13,2,39
93,13,3,40
94,13,4,53
95,13,5,53
96,13,6,61
97,13,7,70
98,14,1,46
99,14,2,66
100,14,3,75
101,14,4,61
102,14,5,58
103,14,6,75
104,14,7,61
105,15,1,74
106,15,2,53
107,15,3,59
108,15,4,68
109,15,5,38
110,15,6,69
111,15,7,78
112,16,1,75
113,16,2,66
114,16,3,65
115,16,4,83
116,16,5,66
117,16,6,53
118,16,7,70
119,17,1,65
120,17,2,55
121,17,3,49
122,17,4,69
123,17,5,67
124,17,6,79
125,17,7,86
126,18,1,62
127,18,2,62
128,18,3,56
129,18,4,54
130,18,5,76
131,18,6,62
132,18,7,98
133,19,1,71
134,19,2,44
135,19,3,50
136,19,4,46
137,19,5,52
138,19,6,58
139,19,7,95
140,20,1,59
141,20,2,54
142,20,3,51
143,20,4,46
144,20,5,64
145,20,6,60
146,20,7,77
147,21,1,58
148,21,2,52
149,21,3,59
150,21,4,55
151,21,5,61
152,21,6,73
153,21,7,77
154,22,1,55
155,22,2,46
156,22,3,43
157,22,4,57
158,22,5,48
159,22,6,76
160,22,7,79
161,23,1,45
162,23,2,37
163,23,3,44
164,23,4,36
165,23,5,58
166,23,6,77
167,23,7,82
168,99,1,17
169,99,2,10
170,99,3,9
171,99,4,10
172,99,5,8
173,99,6,18
174,99,7,14
