,acchr,dayofweek,size
0,0,1,4
1,0,2,4
2,0,3,6
3,0,4,3
4,0,5,9
5,0,6,7
6,0,7,9
7,1,1,7
8,1,2,7
9,1,3,5
10,1,4,9
11,1,5,5
12,1,6,8
13,1,7,9
14,2,1,12
15,2,2,2
16,2,3,4
17,2,4,2
18,2,5,3
19,2,6,7
20,2,7,11
21,3,1,11
22,3,2,4
23,3,3,6
24,3,4,5
25,3,5,5
26,3,6,7
27,3,7,8
28,4,1,10
29,4,2,10
30,4,3,5
31,4,4,3
32,4,5,9
33,4,6,6
34,4,7,11
35,5,1,3
36,5,2,23
37,5,3,17
38,5,4,17
39,5,5,19
40,5,6,11
41,5,7,13
42,6,1,6
43,6,2,29
44,6,3,33
45,6,4,31
46,6,5,29
47,6,6,21
48,6,7,13
49,7,1,16
50,7,2,33
51,7,3,22
52,7,4,25
53,7,5,27
54,7,6,20
55,7,7,16
56,8,1,12
57,8,2,13
58,8,3,12
59,8,4,16
60,8,5,21
61,8,6,18
62,8,7,18
63,9,1,14
64,9,2,21
65,9,3,22
66,9,4,14
67,9,5,12
68,9,6,14
69,9,7,20
70,10,1,15
71,10,2,18
72,10,3,13
73,10,4,24
74,10,5,26
75,10,6,21
76,10,7,27
77,11,1,15
78,11,2,27
79,11,3,19
80,11,4,39
81,11,5,25
82,11,6,24
83,11,7,25
84,12,1,33
85,12,2,29
86,12,3,23
87,12,4,15
88,12,5,27
89,12,6,30
90,12,7,33
91,13,1,36
92,13,2,21
93,13,3,25
94,13,4,29
95,13,5,31
96,13,6,29
97,13,7,28
98,14,1,23
99,14,2,27
100,14,3,35
101,14,4,23
102,14,5,31
103,14,6,21
104,14,7,43
105,15,1,26
106,15,2,25
107,15,3,30
108,15,4,24
109,15,5,25
110,15,6,30
111,15,7,28
112,16,1,26
113,16,2,26
114,16,3,23
115,16,4,42
116,16,5,30
117,16,6,28
118,16,7,32
119,17,1,25
120,17,2,27
121,17,3,48
122,17,4,33
123,17,5,20
124,17,6,36
125,17,7,32
126,18,1,23
127,18,2,28
128,18,3,30
129,18,4,20
130,18,5,18
131,18,6,29
132,18,7,24
133,19,1,18
134,19,2,34
135,19,3,19
136,19,4,11
137,19,5,20
138,19,6,21
139,19,7,31
140,20,1,25
141,20,2,22
142,20,3,25
143,20,4,21
144,20,5,18
145,20,6,18
146,20,7,19
147,21,1,17
148,21,2,19
149,21,3,15
150,21,4,17
151,21,5,19
152,21,6,22
153,21,7,17
154,22,1,10
155,22,2,9
156,22,3,10
157,22,4,11
158,22,5,22
159,22,6,27
160,22,7,20
161,23,1,7
162,23,2,11
163,23,3,9
164,23,4,9
165,23,5,6
166,23,6,14
167,23,7,14
168,99,1,1
169,99,2,2
170,99,3,4
171,99,4,2
