,acchr,dayofweek,size
0,0,1,14
1,0,2,10
2,0,3,7
3,0,4,9
4,0,5,9
5,0,6,10
6,0,7,14
7,1,1,8
8,1,2,3
9,1,3,6
10,1,4,7
11,1,5,5
12,1,6,7
13,1,7,7
14,2,1,14
15,2,2,5
16,2,3,3
17,2,4,6
18,2,5,2
19,2,6,11
20,2,7,11
21,3,1,10
22,3,2,4
23,3,3,5
24,3,4,6
25,3,5,9
26,3,6,15
27,3,7,10
28,4,1,7
29,4,2,5
30,4,3,4
31,4,4,3
32,4,5,6
33,4,6,9
34,4,7,7
35,5,1,7
36,5,2,12
37,5,3,23
38,5,4,20
39,5,5,16
40,5,6,13
41,5,7,12
42,6,1,4
43,6,2,36
44,6,3,44
45,6,4,31
46,6,5,32
47,6,6,29
48,6,7,7
49,7,1,10
50,7,2,26
51,7,3,32
52,7,4,34
53,7,5,34
54,7,6,24
55,7,7,14
56,8,1,10
57,8,2,20
58,8,3,16
59,8,4,21
60,8,5,20
61,8,6,20
62,8,7,19
63,9,1,15
64,9,2,22
65,9,3,27
66,9,4,17
67,9,5,18
68,9,6,31
69,9,7,21
70,10,1,19
71,10,2,24
72,10,3,25
73,10,4,26
74,10,5,24
75,10,6,30
76,10,7,25
77,11,1,21
78,11,2,40
79,11,3,27
80,11,4,35
81,11,5,22
82,11,6,34
83,11,7,31
84,12,1,40
85,12,2,32
86,12,3,39
87,12,4,19
88,12,5,36
89,12,6,29
90,12,7,43
91,13,1,40
92,13,2,21
93,13,3,31
94,13,4,36
95,13,5,39
96,13,6,41
97,13,7,26
98,14,1,27
99,14,2,34
100,14,3,48
101,14,4,39
102,14,5,35
103,14,6,50
104,14,7,34
105,15,1,35
106,15,2,28
107,15,3,39
108,15,4,37
109,15,5,38
110,15,6,36
111,15,7,40
112,16,1,30
113,16,2,28
114,16,3,37
115,16,4,43
116,16,5,38
117,16,6,29
118,16,7,39
119,17,1,30
120,17,2,32
121,17,3,44
122,17,4,38
123,17,5,33
124,17,6,47
125,17,7,35
126,18,1,19
127,18,2,34
128,18,3,36
129,18,4,28
130,18,5,28
131,18,6,30
132,18,7,35
133,19,1,16
134,19,2,27
135,19,3,16
136,19,4,9
137,19,5,13
138,19,6,23
139,19,7,18
140,20,1,18
141,20,2,18
142,20,3,21
143,20,4,21
144,20,5,12
145,20,6,20
146,20,7,18
147,21,1,19
148,21,2,18
149,21,3,13
150,21,4,15
151,21,5,23
152,21,6,29
153,21,7,16
154,22,1,11
155,22,2,13
156,22,3,6
157,22,4,14
158,22,5,17
159,22,6,26
160,22,7,20
161,23,1,3
162,23,2,10
163,23,3,9
164,23,4,12
165,23,5,9
166,23,6,11
167,23,7,17
168,99,3,1
169,99,6,1
