,acchr,dayofweek,size
0,0,1,44
1,0,2,15
2,0,3,26
3,0,4,20
4,0,5,27
5,0,6,34
6,0,7,39
7,1,1,45
8,1,2,30
9,1,3,10
10,1,4,21
11,1,5,17
12,1,6,29
13,1,7,51
14,2,1,61
15,2,2,20
16,2,3,8
17,2,4,17
18,2,5,27
19,2,6,49
20,2,7,66
21,3,1,40
22,3,2,12
23,3,3,8
24,3,4,9
25,3,5,13
26,3,6,19
27,3,7,36
28,4,1,26
29,4,2,10
30,4,3,10
31,4,4,8
32,4,5,6
33,4,6,17
34,4,7,27
35,5,1,16
36,5,2,16
37,5,3,11
38,5,4,17
39,5,5,10
40,5,6,23
41,5,7,17
42,6,1,19
43,6,2,19
44,6,3,28
45,6,4,19
46,6,5,21
47,6,6,19
48,6,7,27
49,7,1,9
50,7,2,15
51,7,3,10
52,7,4,19
53,7,5,21
54,7,6,19
55,7,7,11
56,8,1,7
57,8,2,18
58,8,3,12
59,8,4,16
60,8,5,14
61,8,6,18
62,8,7,16
63,9,1,15
64,9,2,11
65,9,3,10
66,9,4,10
67,9,5,11
68,9,6,17
69,9,7,10
70,10,1,9
71,10,2,12
72,10,3,8
73,10,4,8
74,10,5,12
75,10,6,14
76,10,7,20
77,11,1,8
78,11,2,18
79,11,3,18
80,11,4,17
81,11,5,9
82,11,6,11
83,11,7,16
84,12,1,19
85,12,2,15
86,12,3,17
87,12,4,10
88,12,5,18
89,12,6,13
90,12,7,25
91,13,1,25
92,13,2,13
93,13,3,16
94,13,4,19
95,13,5,21
96,13,6,12
97,13,7,21
98,14,1,18
99,14,2,22
100,14,3,24
101,14,4,22
102,14,5,16
103,14,6,22
104,14,7,27
105,15,1,25
106,15,2,10
107,15,3,23
108,15,4,23
109,15,5,21
110,15,6,25
111,15,7,32
112,16,1,41
113,16,2,17
114,16,3,20
115,16,4,25
116,16,5,22
117,16,6,20
118,16,7,30
119,17,1,24
120,17,2,25
121,17,3,18
122,17,4,22
123,17,5,40
124,17,6,32
125,17,7,39
126,18,1,30
127,18,2,31
128,18,3,24
129,18,4,18
130,18,5,22
131,18,6,30
132,18,7,44
133,19,1,34
134,19,2,20
135,19,3,21
136,19,4,29
137,19,5,18
138,19,6,20
139,19,7,40
140,20,1,32
141,20,2,25
142,20,3,23
143,20,4,31
144,20,5,29
145,20,6,44
146,20,7,34
147,21,1,28
148,21,2,28
149,21,3,24
150,21,4,31
151,21,5,30
152,21,6,36
153,21,7,45
154,22,1,27
155,22,2,23
156,22,3,12
157,22,4,21
158,22,5,25
159,22,6,39
160,22,7,29
161,23,1,27
162,23,2,16
163,23,3,21
164,23,4,14
165,23,5,35
166,23,6,34
167,23,7,40
168,99,1,8
169,99,2,1
170,99,3,4
171,99,4,6
172,99,5,2
173,99,6,8
174,99,7,7
