,acchr,dayofweek,size
0,0,1,34
1,0,2,17
2,0,3,16
3,0,4,17
4,0,5,21
5,0,6,21
6,0,7,40
7,1,1,41
8,1,2,10
9,1,3,14
10,1,4,10
11,1,5,14
12,1,6,17
13,1,7,35
14,2,1,28
15,2,2,8
16,2,3,9
17,2,4,8
18,2,5,14
19,2,6,13
20,2,7,26
21,3,1,15
22,3,2,10
23,3,3,10
24,3,4,12
25,3,5,13
26,3,6,11
27,3,7,16
28,4,1,14
29,4,2,14
30,4,3,11
31,4,4,8
32,4,5,17
33,4,6,21
34,4,7,10
35,5,1,13
36,5,2,20
37,5,3,25
38,5,4,22
39,5,5,24
40,5,6,20
41,5,7,21
42,6,1,15
43,6,2,42
44,6,3,55
45,6,4,41
46,6,5,33
47,6,6,41
48,6,7,22
49,7,1,22
50,7,2,44
51,7,3,39
52,7,4,48
53,7,5,33
54,7,6,34
55,7,7,26
56,8,1,26
57,8,2,37
58,8,3,36
59,8,4,32
60,8,5,45
61,8,6,37
62,8,7,23
63,9,1,23
64,9,2,41
65,9,3,41
66,9,4,22
67,9,5,36
68,9,6,42
69,9,7,38
70,10,1,32
71,10,2,32
72,10,3,39
73,10,4,49
74,10,5,45
75,10,6,46
76,10,7,39
77,11,1,33
78,11,2,52
79,11,3,48
80,11,4,55
81,11,5,42
82,11,6,49
83,11,7,45
84,12,1,72
85,12,2,55
86,12,3,43
87,12,4,41
88,12,5,58
89,12,6,46
90,12,7,70
91,13,1,64
92,13,2,42
93,13,3,53
94,13,4,59
95,13,5,61
96,13,6,68
97,13,7,67
98,14,1,49
99,14,2,57
100,14,3,63
101,14,4,67
102,14,5,74
103,14,6,66
104,14,7,69
105,15,1,62
106,15,2,56
107,15,3,60
108,15,4,65
109,15,5,50
110,15,6,72
111,15,7,62
112,16,1,52
113,16,2,73
114,16,3,62
115,16,4,77
116,16,5,62
117,16,6,59
118,16,7,65
119,17,1,45
120,17,2,53
121,17,3,57
122,17,4,70
123,17,5,58
124,17,6,63
125,17,7,75
126,18,1,49
127,18,2,39
128,18,3,62
129,18,4,38
130,18,5,52
131,18,6,48
132,18,7,91
133,19,1,54
134,19,2,39
135,19,3,39
136,19,4,33
137,19,5,48
138,19,6,49
139,19,7,63
140,20,1,44
141,20,2,39
142,20,3,33
143,20,4,44
144,20,5,36
145,20,6,47
146,20,7,56
147,21,1,45
148,21,2,31
149,21,3,33
150,21,4,37
151,21,5,38
152,21,6,53
153,21,7,55
154,22,1,25
155,22,2,25
156,22,3,27
157,22,4,38
158,22,5,32
159,22,6,45
160,22,7,54
161,23,1,15
162,23,2,21
163,23,3,27
164,23,4,20
165,23,5,20
166,23,6,47
167,23,7,34
168,99,1,4
169,99,2,7
170,99,3,3
171,99,4,7
172,99,5,8
173,99,6,12
174,99,7,8
