,acchr,dayofweek,size
0,0,1,19
1,0,2,13
2,0,3,10
3,0,4,15
4,0,5,14
5,0,6,12
6,0,7,30
7,1,1,23
8,1,2,14
9,1,3,12
10,1,4,10
11,1,5,10
12,1,6,12
13,1,7,20
14,2,1,21
15,2,2,10
16,2,3,5
17,2,4,8
18,2,5,7
19,2,6,15
20,2,7,18
21,3,1,18
22,3,2,5
23,3,3,7
24,3,4,9
25,3,5,10
26,3,6,20
27,3,7,17
28,4,1,10
29,4,2,11
30,4,3,14
31,4,4,7
32,4,5,13
33,4,6,19
34,4,7,16
35,5,1,14
36,5,2,27
37,5,3,18
38,5,4,26
39,5,5,23
40,5,6,21
41,5,7,19
42,6,1,11
43,6,2,44
44,6,3,42
45,6,4,40
46,6,5,39
47,6,6,31
48,6,7,16
49,7,1,23
50,7,2,35
51,7,3,41
52,7,4,31
53,7,5,37
54,7,6,30
55,7,7,27
56,8,1,19
57,8,2,35
58,8,3,26
59,8,4,30
60,8,5,32
61,8,6,37
62,8,7,23
63,9,1,24
64,9,2,30
65,9,3,31
66,9,4,21
67,9,5,28
68,9,6,39
69,9,7,30
70,10,1,30
71,10,2,28
72,10,3,30
73,10,4,27
74,10,5,33
75,10,6,41
76,10,7,40
77,11,1,28
78,11,2,51
79,11,3,37
80,11,4,60
81,11,5,31
82,11,6,40
83,11,7,43
84,12,1,68
85,12,2,47
86,12,3,38
87,12,4,34
88,12,5,50
89,12,6,36
90,12,7,61
91,13,1,58
92,13,2,25
93,13,3,41
94,13,4,43
95,13,5,47
96,13,6,53
97,13,7,51
98,14,1,39
99,14,2,58
100,14,3,62
101,14,4,38
102,14,5,50
103,14,6,55
104,14,7,63
105,15,1,47
106,15,2,37
107,15,3,44
108,15,4,53
109,15,5,39
110,15,6,46
111,15,7,55
112,16,1,45
113,16,2,44
114,16,3,49
115,16,4,64
116,16,5,49
117,16,6,36
118,16,7,50
119,17,1,44
120,17,2,41
121,17,3,51
122,17,4,53
123,17,5,40
124,17,6,50
125,17,7,49
126,18,1,36
127,18,2,41
128,18,3,46
129,18,4,42
130,18,5,41
131,18,6,46
132,18,7,53
133,19,1,32
134,19,2,41
135,19,3,22
136,19,4,16
137,19,5,25
138,19,6,27
139,19,7,29
140,20,1,27
141,20,2,28
142,20,3,34
143,20,4,26
144,20,5,23
145,20,6,31
146,20,7,29
147,21,1,27
148,21,2,36
149,21,3,22
150,21,4,17
151,21,5,32
152,21,6,35
153,21,7,27
154,22,1,18
155,22,2,21
156,22,3,14
157,22,4,24
158,22,5,26
159,22,6,35
160,22,7,31
161,23,1,13
162,23,2,21
163,23,3,16
164,23,4,18
165,23,5,12
166,23,6,21
167,23,7,23
168,99,1,1
169,99,2,3
170,99,3,4
171,99,4,5
172,99,5,1
173,99,6,5
174,99,7,1
