,acchr,dayofweek,size
0,0,1,22
1,0,2,15
2,0,3,13
3,0,4,12
4,0,5,15
5,0,6,12
6,0,7,32
7,1,1,25
8,1,2,15
9,1,3,15
10,1,4,18
11,1,5,11
12,1,6,13
13,1,7,22
14,2,1,22
15,2,2,12
16,2,3,6
17,2,4,9
18,2,5,8
19,2,6,13
20,2,7,23
21,3,1,14
22,3,2,6
23,3,3,10
24,3,4,11
25,3,5,12
26,3,6,23
27,3,7,17
28,4,1,13
29,4,2,16
30,4,3,18
31,4,4,10
32,4,5,15
33,4,6,23
34,4,7,17
35,5,1,12
36,5,2,34
37,5,3,28
38,5,4,34
39,5,5,28
40,5,6,29
41,5,7,26
42,6,1,17
43,6,2,62
44,6,3,60
45,6,4,51
46,6,5,50
47,6,6,45
48,6,7,23
49,7,1,27
50,7,2,48
51,7,3,51
52,7,4,48
53,7,5,42
54,7,6,46
55,7,7,38
56,8,1,24
57,8,2,46
58,8,3,30
59,8,4,37
60,8,5,47
61,8,6,36
62,8,7,27
63,9,1,27
64,9,2,40
65,9,3,44
66,9,4,29
67,9,5,36
68,9,6,49
69,9,7,37
70,10,1,34
71,10,2,38
72,10,3,36
73,10,4,39
74,10,5,39
75,10,6,43
76,10,7,47
77,11,1,29
78,11,2,62
79,11,3,49
80,11,4,60
81,11,5,41
82,11,6,42
83,11,7,48
84,12,1,71
85,12,2,55
86,12,3,46
87,12,4,36
88,12,5,55
89,12,6,39
90,12,7,68
91,13,1,66
92,13,2,36
93,13,3,46
94,13,4,54
95,13,5,47
96,13,6,55
97,13,7,59
98,14,1,42
99,14,2,68
100,14,3,75
101,14,4,54
102,14,5,61
103,14,6,65
104,14,7,70
105,15,1,54
106,15,2,45
107,15,3,54
108,15,4,57
109,15,5,51
110,15,6,57
111,15,7,59
112,16,1,47
113,16,2,55
114,16,3,59
115,16,4,74
116,16,5,58
117,16,6,47
118,16,7,56
119,17,1,46
120,17,2,45
121,17,3,62
122,17,4,61
123,17,5,54
124,17,6,60
125,17,7,61
126,18,1,38
127,18,2,53
128,18,3,51
129,18,4,44
130,18,5,44
131,18,6,43
132,18,7,58
133,19,1,35
134,19,2,38
135,19,3,25
136,19,4,22
137,19,5,30
138,19,6,39
139,19,7,33
140,20,1,34
141,20,2,33
142,20,3,36
143,20,4,32
144,20,5,28
145,20,6,34
146,20,7,31
147,21,1,28
148,21,2,35
149,21,3,26
150,21,4,24
151,21,5,37
152,21,6,31
153,21,7,29
154,22,1,21
155,22,2,23
156,22,3,18
157,22,4,27
158,22,5,30
159,22,6,41
160,22,7,29
161,23,1,13
162,23,2,24
163,23,3,18
164,23,4,16
165,23,5,18
166,23,6,22
167,23,7,29
168,99,1,4
169,99,2,3
170,99,3,7
171,99,4,6
172,99,5,1
173,99,6,10
174,99,7,1
