,acchr,dayofweek,size
0,0,1,101
1,0,2,28
2,0,3,37
3,0,4,30
4,0,5,46
5,0,6,58
6,0,7,102
7,1,1,124
8,1,2,46
9,1,3,26
10,1,4,36
11,1,5,39
12,1,6,68
13,1,7,145
14,2,1,170
15,2,2,35
16,2,3,26
17,2,4,39
18,2,5,46
19,2,6,74
20,2,7,186
21,3,1,100
22,3,2,20
23,3,3,14
24,3,4,20
25,3,5,27
26,3,6,31
27,3,7,88
28,4,1,83
29,4,2,18
30,4,3,8
31,4,4,10
32,4,5,13
33,4,6,24
34,4,7,63
35,5,1,46
36,5,2,14
37,5,3,6
38,5,4,8
39,5,5,9
40,5,6,15
41,5,7,40
42,6,1,30
43,6,2,8
44,6,3,14
45,6,4,9
46,6,5,8
47,6,6,19
48,6,7,44
49,7,1,21
50,7,2,4
51,7,3,7
52,7,4,9
53,7,5,11
54,7,6,12
55,7,7,19
56,8,1,13
57,8,2,3
58,8,3,7
59,8,4,4
60,8,5,8
61,8,6,6
62,8,7,15
63,9,1,10
64,9,2,6
65,9,3,5
66,9,4,8
67,9,5,3
68,9,6,7
69,9,7,7
70,10,1,5
71,10,2,3
72,10,3,5
73,10,4,6
74,10,5,1
75,10,6,6
76,10,7,12
77,11,1,4
78,11,2,3
79,11,3,7
80,11,4,8
81,11,5,2
82,11,6,5
83,11,7,7
84,12,1,17
85,12,2,11
86,12,3,5
87,12,4,5
88,12,5,11
89,12,6,9
90,12,7,14
91,13,1,17
92,13,2,7
93,13,3,9
94,13,4,11
95,13,5,14
96,13,6,17
97,13,7,16
98,14,1,15
99,14,2,18
100,14,3,16
101,14,4,15
102,14,5,12
103,14,6,14
104,14,7,25
105,15,1,34
106,15,2,19
107,15,3,14
108,15,4,16
109,15,5,11
110,15,6,20
111,15,7,32
112,16,1,41
113,16,2,18
114,16,3,14
115,16,4,22
116,16,5,10
117,16,6,23
118,16,7,43
119,17,1,28
120,17,2,25
121,17,3,22
122,17,4,20
123,17,5,27
124,17,6,35
125,17,7,52
126,18,1,41
127,18,2,27
128,18,3,25
129,18,4,19
130,18,5,28
131,18,6,41
132,18,7,68
133,19,1,64
134,19,2,26
135,19,3,39
136,19,4,37
137,19,5,35
138,19,6,37
139,19,7,79
140,20,1,47
141,20,2,38
142,20,3,35
143,20,4,44
144,20,5,50
145,20,6,59
146,20,7,61
147,21,1,61
148,21,2,41
149,21,3,33
150,21,4,53
151,21,5,40
152,21,6,71
153,21,7,82
154,22,1,51
155,22,2,40
156,22,3,35
157,22,4,44
158,22,5,40
159,22,6,72
160,22,7,73
161,23,1,35
162,23,2,32
163,23,3,42
164,23,4,17
165,23,5,61
166,23,6,88
167,23,7,90
168,99,1,18
169,99,2,9
170,99,3,3
171,99,4,5
172,99,5,8
173,99,6,13
174,99,7,13
