,acchr,dayofweek,size
0,0,1,18
1,0,2,12
2,0,3,13
3,0,4,13
4,0,5,15
5,0,6,15
6,0,7,25
7,1,1,25
8,1,2,6
9,1,3,12
10,1,4,6
11,1,5,10
12,1,6,14
13,1,7,26
14,2,1,21
15,2,2,5
16,2,3,4
17,2,4,7
18,2,5,8
19,2,6,11
20,2,7,19
21,3,1,6
22,3,2,2
23,3,3,6
24,3,4,9
25,3,5,10
26,3,6,5
27,3,7,12
28,4,1,9
29,4,2,9
30,4,3,7
31,4,4,5
32,4,5,9
33,4,6,18
34,4,7,6
35,5,1,10
36,5,2,15
37,5,3,15
38,5,4,12
39,5,5,16
40,5,6,17
41,5,7,13
42,6,1,8
43,6,2,22
44,6,3,28
45,6,4,16
46,6,5,26
47,6,6,22
48,6,7,15
49,7,1,16
50,7,2,27
51,7,3,23
52,7,4,23
53,7,5,18
54,7,6,18
55,7,7,12
56,8,1,14
57,8,2,27
58,8,3,22
59,8,4,21
60,8,5,28
61,8,6,28
62,8,7,12
63,9,1,12
64,9,2,23
65,9,3,28
66,9,4,10
67,9,5,17
68,9,6,27
69,9,7,21
70,10,1,20
71,10,2,25
72,10,3,26
73,10,4,20
74,10,5,23
75,10,6,23
76,10,7,19
77,11,1,22
78,11,2,26
79,11,3,27
80,11,4,31
81,11,5,25
82,11,6,25
83,11,7,20
84,12,1,44
85,12,2,30
86,12,3,21
87,12,4,33
88,12,5,31
89,12,6,25
90,12,7,35
91,13,1,33
92,13,2,23
93,13,3,28
94,13,4,30
95,13,5,37
96,13,6,47
97,13,7,39
98,14,1,25
99,14,2,34
100,14,3,38
101,14,4,42
102,14,5,35
103,14,6,43
104,14,7,30
105,15,1,39
106,15,2,35
107,15,3,39
108,15,4,37
109,15,5,21
110,15,6,39
111,15,7,43
112,16,1,33
113,16,2,47
114,16,3,31
115,16,4,48
116,16,5,36
117,16,6,27
118,16,7,29
119,17,1,30
120,17,2,27
121,17,3,22
122,17,4,43
123,17,5,34
124,17,6,44
125,17,7,47
126,18,1,29
127,18,2,24
128,18,3,35
129,18,4,28
130,18,5,37
131,18,6,26
132,18,7,50
133,19,1,33
134,19,2,17
135,19,3,15
136,19,4,16
137,19,5,30
138,19,6,29
139,19,7,45
140,20,1,22
141,20,2,25
142,20,3,22
143,20,4,22
144,20,5,25
145,20,6,24
146,20,7,34
147,21,1,24
148,21,2,17
149,21,3,21
150,21,4,20
151,21,5,19
152,21,6,26
153,21,7,32
154,22,1,15
155,22,2,18
156,22,3,18
157,22,4,25
158,22,5,15
159,22,6,29
160,22,7,32
161,23,1,11
162,23,2,13
163,23,3,13
164,23,4,16
165,23,5,14
166,23,6,31
167,23,7,22
168,99,1,3
169,99,2,5
170,99,3,1
171,99,4,6
172,99,5,5
173,99,6,10
174,99,7,4
