,acchr,dayofweek,size
0,0,1,148
1,0,2,61
2,0,3,65
3,0,4,61
4,0,5,81
5,0,6,89
6,0,7,164
7,1,1,181
8,1,2,80
9,1,3,49
10,1,4,69
11,1,5,63
12,1,6,95
13,1,7,191
14,2,1,226
15,2,2,58
16,2,3,41
17,2,4,53
18,2,5,68
19,2,6,122
20,2,7,244
21,3,1,149
22,3,2,39
23,3,3,37
24,3,4,39
25,3,5,52
26,3,6,64
27,3,7,130
28,4,1,117
29,4,2,46
30,4,3,36
31,4,4,28
32,4,5,41
33,4,6,62
34,4,7,102
35,5,1,78
36,5,2,61
37,5,3,51
38,5,4,57
39,5,5,54
40,5,6,57
41,5,7,85
42,6,1,60
43,6,2,88
44,6,3,114
45,6,4,81
46,6,5,88
47,6,6,87
48,6,7,89
49,7,1,61
50,7,2,80
51,7,3,75
52,7,4,93
53,7,5,80
54,7,6,77
55,7,7,69
56,8,1,50
57,8,2,78
58,8,3,63
59,8,4,64
60,8,5,77
61,8,6,73
62,8,7,59
63,9,1,56
64,9,2,69
65,9,3,68
66,9,4,46
67,9,5,61
68,9,6,76
69,9,7,67
70,10,1,55
71,10,2,62
72,10,3,62
73,10,4,73
74,10,5,74
75,10,6,78
76,10,7,78
77,11,1,68
78,11,2,90
79,11,3,79
80,11,4,95
81,11,5,63
82,11,6,79
83,11,7,84
84,12,1,131
85,12,2,92
86,12,3,76
87,12,4,67
88,12,5,100
89,12,6,88
90,12,7,121
91,13,1,113
92,13,2,75
93,13,3,84
94,13,4,106
95,13,5,107
96,13,6,105
97,13,7,121
98,14,1,93
99,14,2,115
100,14,3,126
101,14,4,104
102,14,5,115
103,14,6,114
104,14,7,130
105,15,1,129
106,15,2,98
107,15,3,109
108,15,4,120
109,15,5,93
110,15,6,127
111,15,7,130
112,16,1,131
113,16,2,109
114,16,3,117
115,16,4,142
116,16,5,116
117,16,6,106
118,16,7,133
119,17,1,112
120,17,2,109
121,17,3,116
122,17,4,132
123,17,5,121
124,17,6,134
125,17,7,151
126,18,1,110
127,18,2,108
128,18,3,112
129,18,4,94
130,18,5,106
131,18,6,114
132,18,7,174
133,19,1,120
134,19,2,85
135,19,3,94
136,19,4,82
137,19,5,90
138,19,6,101
139,19,7,150
140,20,1,107
141,20,2,89
142,20,3,100
143,20,4,99
144,20,5,102
145,20,6,115
146,20,7,124
147,21,1,113
148,21,2,94
149,21,3,93
150,21,4,94
151,21,5,102
152,21,6,135
153,21,7,144
154,22,1,93
155,22,2,80
156,22,3,69
157,22,4,87
158,22,5,95
159,22,6,138
160,22,7,131
161,23,1,71
162,23,2,64
163,23,3,74
164,23,4,53
165,23,5,90
166,23,6,141
167,23,7,143
168,99,1,24
169,99,2,16
170,99,3,13
171,99,4,15
172,99,5,13
173,99,6,25
174,99,7,24
