,acchr,dayofweek,size
0,0,1,19
1,0,2,9
2,0,3,11
3,0,4,10
4,0,5,7
5,0,6,10
6,0,7,17
7,1,1,16
8,1,2,11
9,1,3,6
10,1,4,9
11,1,5,4
12,1,6,7
13,1,7,18
14,2,1,19
15,2,2,10
16,2,3,4
17,2,4,3
18,2,5,4
19,2,6,7
20,2,7,18
21,3,1,18
22,3,2,3
23,3,3,2
24,3,4,9
25,3,5,4
26,3,6,5
27,3,7,12
28,4,1,8
29,4,2,8
30,4,3,3
31,4,4,6
32,4,5,5
33,4,6,12
34,4,7,15
35,5,1,15
36,5,2,12
37,5,3,12
38,5,4,9
39,5,5,8
40,5,6,14
41,5,7,14
42,6,1,12
43,6,2,21
44,6,3,20
45,6,4,21
46,6,5,31
47,6,6,26
48,6,7,13
49,7,1,12
50,7,2,32
51,7,3,22
52,7,4,32
53,7,5,40
54,7,6,32
55,7,7,13
56,8,1,23
57,8,2,38
58,8,3,28
59,8,4,34
60,8,5,28
61,8,6,41
62,8,7,20
63,9,1,28
64,9,2,22
65,9,3,28
66,9,4,25
67,9,5,24
68,9,6,25
69,9,7,22
70,10,1,33
71,10,2,28
72,10,3,25
73,10,4,27
74,10,5,26
75,10,6,38
76,10,7,28
77,11,1,25
78,11,2,32
79,11,3,48
80,11,4,41
81,11,5,25
82,11,6,33
83,11,7,36
84,12,1,29
85,12,2,33
86,12,3,31
87,12,4,30
88,12,5,44
89,12,6,29
90,12,7,36
91,13,1,27
92,13,2,43
93,13,3,42
94,13,4,38
95,13,5,49
96,13,6,52
97,13,7,37
98,14,1,35
99,14,2,48
100,14,3,25
101,14,4,34
102,14,5,35
103,14,6,40
104,14,7,40
105,15,1,28
106,15,2,46
107,15,3,59
108,15,4,42
109,15,5,29
110,15,6,44
111,15,7,31
112,16,1,48
113,16,2,51
114,16,3,37
115,16,4,49
116,16,5,49
117,16,6,43
118,16,7,44
119,17,1,32
120,17,2,39
121,17,3,38
122,17,4,34
123,17,5,46
124,17,6,48
125,17,7,25
126,18,1,25
127,18,2,27
128,18,3,36
129,18,4,40
130,18,5,44
131,18,6,36
132,18,7,47
133,19,1,24
134,19,2,27
135,19,3,31
136,19,4,17
137,19,5,28
138,19,6,35
139,19,7,28
140,20,1,33
141,20,2,31
142,20,3,26
143,20,4,21
144,20,5,32
145,20,6,35
146,20,7,35
147,21,1,16
148,21,2,27
149,21,3,19
150,21,4,22
151,21,5,26
152,21,6,30
153,21,7,25
154,22,1,10
155,22,2,20
156,22,3,8
157,22,4,10
158,22,5,16
159,22,6,27
160,22,7,35
161,23,1,5
162,23,2,11
163,23,3,7
164,23,4,7
165,23,5,14
166,23,6,19
167,23,7,25
168,99,1,2
169,99,3,2
170,99,4,1
171,99,7,4
