,acchr,dayofweek
0,16,4
1,18,3
2,9,6
3,9,6
4,14,6
5,14,4
6,14,5
7,13,6
8,10,5
9,10,5
10,2,2
11,22,2
12,16,3
13,16,3
14,12,2
15,12,2
16,5,6
17,17,3
18,16,4
19,10,6
20,13,7
21,11,4
22,22,7
23,13,2
24,13,2
25,16,5
26,8,3
27,17,1
28,22,6
29,11,2
30,19,3
31,22,6
32,3,2
33,4,1
34,18,6
35,18,6
36,19,2
37,19,2
38,19,2
39,21,6
40,15,2
41,5,7
42,5,7
43,5,7
44,5,7
45,5,7
46,5,7
47,5,7
48,5,7
49,5,7
50,8,4
51,8,4
52,11,2
53,11,2
54,15,5
55,16,7
56,5,5
57,23,4
58,0,2
59,9,5
60,21,4
61,21,4
62,15,5
63,13,7
64,13,7
65,16,1
66,16,1
67,13,4
68,5,4
69,7,5
70,7,5
71,14,7
72,14,7
73,10,5
74,21,5
75,21,5
76,22,2
77,18,4
78,2,2
79,2,2
80,21,7
81,17,3
82,7,5
83,10,6
84,17,1
85,17,1
86,13,2
87,13,2
88,8,3
89,22,6
90,11,2
91,18,6
92,19,3
93,10,4
94,20,1
95,14,3
96,20,4
97,15,7
98,5,7
99,5,7
100,5,7
101,8,4
102,8,4
103,12,3
104,12,3
105,16,7
106,18,3
107,20,2
108,5,5
109,5,5
110,5,5
111,10,7
112,15,2
113,15,2
114,11,7
115,18,3
116,22,5
117,3,1
118,18,7
119,12,5
120,10,1
121,18,4
122,4,7
123,16,1
124,16,1
125,14,6
126,8,4
127,17,1
128,16,1
129,15,7
130,22,4
131,22,4
132,17,1
133,7,2
134,11,5
135,18,7
136,12,2
137,16,5
138,17,4
139,18,7
140,18,7
141,1,4
142,18,3
143,10,4
144,10,7
145,22,6
146,11,6
147,13,1
148,15,1
149,6,2
150,9,1
151,0,4
152,10,7
153,14,7
154,16,2
155,18,7
156,10,1
157,4,1
158,12,3
159,11,4
160,7,5
161,15,2
162,18,3
163,18,3
164,13,7
165,14,6
166,17,2
167,17,2
168,17,7
169,9,7
170,22,1
171,0,4
172,12,7
173,11,6
174,8,6
175,20,2
176,12,7
177,14,7
178,12,4
179,11,7
180,19,3
181,16,5
182,12,2
183,9,6
184,18,3
185,17,1
186,8,2
187,7,4
188,1,7
189,22,4
190,20,4
191,18,4
192,16,6
193,23,6
194,13,6
195,13,6
196,17,2
197,18,3
198,12,4
199,13,2
200,15,1
201,8,3
202,15,3
203,19,7
204,13,3
205,1,4
206,15,6
207,15,6
208,7,5
209,5,3
210,20,3
211,7,2
212,19,6
213,19,2
214,22,1
215,20,6
216,19,7
217,12,1
