,acchr,dayofweek
0,16,4
1,9,6
2,9,6
3,14,4
4,5,6
5,16,4
6,13,7
7,22,7
8,13,2
9,13,2
10,17,1
11,22,6
12,11,2
13,19,3
14,3,2
15,18,6
16,18,6
17,19,2
18,19,2
19,15,2
20,11,2
21,11,2
22,15,5
23,9,5
24,16,1
25,13,4
26,7,5
27,7,5
28,17,3
29,7,5
30,10,6
31,13,2
32,13,2
33,22,6
34,18,6
35,19,3
36,20,1
37,14,3
38,20,4
39,15,7
40,12,3
41,20,2
42,5,5
43,5,5
44,10,7
45,18,3
46,18,7
47,18,4
48,4,7
49,16,1
50,1,6
51,1,6
52,23,4
53,20,7
54,13,7
55,11,2
56,2,1
57,22,7
58,16,6
59,3,7
60,16,4
61,18,1
62,15,3
63,22,2
64,22,7
65,8,3
66,22,6
67,19,5
68,14,3
69,14,3
70,13,7
71,13,7
72,15,4
73,2,7
74,2,7
75,15,3
76,12,3
77,11,1
78,20,6
79,18,4
80,11,6
81,7,5
82,7,5
83,12,2
84,12,2
85,12,2
86,5,6
87,16,4
88,1,6
89,3,2
90,12,7
91,12,7
92,13,2
93,13,7
94,13,7
95,13,7
96,22,6
97,12,5
98,15,1
99,13,7
100,15,4
101,15,4
102,2,7
103,2,1
104,15,5
105,15,5
106,16,7
107,0,1
108,12,5
109,0,1
110,20,6
111,4,3
112,11,6
113,13,4
114,8,4
115,16,1
116,15,7
117,22,4
118,22,4
119,12,2
120,16,5
121,17,4
122,10,4
123,10,7
124,13,1
125,15,1
126,9,1
127,0,4
128,10,7
129,14,7
130,16,2
131,18,7
132,4,1
133,12,3
134,11,4
135,7,5
136,15,2
137,13,7
138,14,6
139,17,2
140,17,2
141,22,1
142,12,7
143,8,6
144,20,2
145,12,7
146,14,7
147,12,4
148,11,7
149,19,3
150,9,6
151,17,1
152,7,4
153,1,7
154,22,4
155,20,4
156,18,4
157,16,6
158,23,6
159,13,6
160,13,6
161,18,3
162,12,4
163,13,2
164,15,1
165,19,7
166,1,4
167,15,6
168,7,5
169,5,3
170,20,3
171,7,2
172,19,6
173,19,2
174,20,6
175,9,2
176,17,6
177,20,3
178,19,7
179,17,3
180,22,6
181,21,5
182,10,6
183,10,6
184,8,6
185,16,5
186,23,7
187,21,6
188,1,7
189,9,3
190,6,4
191,21,5
192,9,1
193,19,5
194,8,3
195,18,3
196,18,7
197,9,6
198,19,5
199,9,7
200,17,4
201,99,3
202,14,5
203,22,5
204,19,7
205,8,3
206,10,1
207,17,4
208,7,3
209,19,7
210,10,3
211,18,4
212,21,4
213,21,5
214,15,7
215,11,6
216,6,5
217,6,5
218,12,7
219,12,2
220,8,5
221,18,1
222,19,3
223,12,1
224,10,4
225,21,3
226,13,4
227,13,4
228,12,6
229,12,6
230,2,5
231,14,3
232,11,5
233,2,6
234,13,4
235,19,3
236,2,2
237,7,2
238,12,4
239,19,1
240,22,5
241,2,1
242,19,1
243,3,2
244,18,2
245,16,7
246,19,3
247,11,6
248,1,1
249,3,2
250,17,5
251,19,5
252,16,5
253,22,4
254,21,4
255,12,3
256,19,3
257,12,5
258,0,2
259,3,5
260,9,7
261,13,3
262,4,1
263,5,5
264,17,7
265,12,5
266,14,2
267,11,3
268,21,2
269,6,2
270,10,5
271,18,7
272,19,3
273,14,5
274,19,5
275,5,5
276,19,4
277,18,4
278,16,1
279,9,5
280,6,6
281,22,7
282,18,6
283,99,3
284,18,7
285,10,6
286,13,3
287,6,2
288,10,6
289,12,2
290,17,3
291,6,3
292,19,4
293,18,6
294,12,7
295,20,5
296,19,3
297,20,5
298,11,4
299,1,7
300,17,2
301,11,3
302,14,5
303,18,2
304,12,6
305,17,6
306,17,6
307,17,3
308,16,6
309,13,4
310,10,2
311,12,2
312,14,4
313,13,7
314,13,1
315,15,7
316,18,4
317,15,6
318,10,1
319,11,4
320,11,3
321,11,3
322,12,1
323,13,3
324,6,5
325,15,7
326,18,2
327,17,1
328,14,3
329,16,4
330,19,4
331,9,6
332,11,4
333,8,5
334,18,6
335,16,4
336,19,7
337,10,4
338,19,5
339,16,2
340,11,7
341,13,7
342,7,3
343,21,2
344,7,3
345,7,3
346,18,5
347,7,2
348,16,2
349,15,4
350,7,7
351,6,5
352,8,1
353,19,2
354,12,1
355,11,3
356,19,2
357,15,4
358,22,6
359,6,2
360,19,7
361,0,3
362,8,6
363,15,4
364,7,1
365,12,1
366,17,1
367,11,5
368,20,7
369,1,6
370,15,2
371,20,1
372,11,6
373,11,7
374,23,6
375,13,3
376,14,1
377,21,7
378,11,5
379,21,7
380,20,1
381,11,1
382,7,4
383,20,7
384,12,3
385,2,7
386,19,7
387,17,2
388,13,6
389,21,1
390,13,5
391,14,1
392,20,6
393,12,5
394,11,2
395,5,3
396,16,4
397,12,7
398,21,2
399,17,4
400,16,7
401,20,7
402,10,1
403,14,5
404,15,4
405,10,6
406,19,7
407,19,7
408,19,2
409,12,5
410,14,4
411,14,5
412,13,1
413,16,3
414,22,7
415,18,3
416,17,1
417,17,1
418,20,2
419,5,2
420,13,1
421,3,6
422,14,2
423,6,5
424,17,7
425,21,7
426,14,6
427,17,2
428,5,7
429,16,4
430,18,5
431,16,2
432,12,5
433,11,3
434,15,4
435,14,5
436,16,5
437,16,4
438,18,7
439,19,1
440,10,6
441,21,7
442,13,6
443,23,2
444,7,2
445,19,7
446,21,5
447,3,7
448,4,6
449,18,7
450,14,5
451,13,5
452,3,1
453,15,6
454,17,6
455,15,7
456,22,7
457,13,2
458,16,7
459,2,4
460,22,3
461,15,6
462,16,6
463,13,5
464,21,5
465,16,2
466,9,5
467,16,4
468,14,7
469,15,7
470,21,5
471,21,5
472,11,3
473,14,6
474,7,6
475,22,4
476,16,5
477,16,5
478,22,6
479,19,7
480,5,3
481,16,7
482,6,3
483,13,6
484,14,6
485,11,2
486,16,3
487,16,6
488,17,4
489,10,5
490,18,4
491,16,7
492,6,4
493,3,6
494,11,4
495,15,4
496,12,5
497,12,5
498,16,4
499,17,6
500,17,6
501,13,3
502,17,5
503,1,4
504,17,7
505,14,1
506,22,2
507,9,4
508,13,6
509,13,3
510,16,6
511,20,4
512,13,5
513,13,5
514,18,6
515,7,7
516,18,1
517,14,5
518,16,7
519,16,2
520,13,4
521,17,1
522,10,4
523,10,2
524,16,5
525,15,4
526,11,2
527,13,6
528,16,1
529,14,2
530,19,1
531,14,1
532,20,4
533,0,5
534,17,3
535,17,3
536,9,2
537,16,7
538,12,1
539,13,4
540,13,4
541,9,2
542,15,3
543,4,7
544,8,7
545,20,1
546,16,1
547,20,4
548,8,1
549,20,7
550,20,7
551,19,3
552,12,1
553,14,5
554,15,2
555,12,6
556,18,7
557,18,7
558,14,7
559,13,5
560,5,4
561,16,6
562,18,3
563,10,4
564,6,5
565,16,5
566,9,6
567,16,2
568,20,6
569,20,6
570,7,5
571,7,6
572,12,2
573,20,7
574,18,7
575,15,6
576,2,6
577,7,6
578,5,5
579,20,3
580,16,4
581,11,5
582,16,1
583,18,6
584,17,4
585,7,2
586,13,3
587,15,4
588,7,5
589,18,3
590,11,6
591,5,7
592,10,7
593,17,6
594,19,1
595,17,4
596,14,3
597,19,3
598,19,2
599,19,6
600,21,3
601,16,5
602,16,5
603,17,5
604,17,5
605,12,6
606,12,6
607,23,4
608,18,1
609,20,7
610,21,2
611,2,5
612,17,7
613,22,1
614,21,6
615,10,2
616,12,5
617,6,6
618,11,4
619,7,4
620,13,2
621,16,7
622,15,4
623,9,3
624,5,5
625,7,6
626,5,6
627,1,1
628,13,7
629,11,5
630,5,5
631,10,6
632,4,5
633,6,6
634,15,3
635,19,2
636,6,3
637,8,6
638,8,6
639,17,6
640,15,5
641,16,7
642,12,1
643,1,2
644,23,3
645,10,2
646,10,2
647,7,4
648,9,4
649,19,6
650,9,7
651,18,2
652,13,1
653,13,1
654,6,2
655,20,2
656,8,5
657,19,2
658,12,7
659,6,2
660,13,6
661,21,5
662,17,3
663,18,7
664,1,1
665,14,2
666,13,3
667,9,7
668,23,4
669,15,2
670,15,2
671,22,6
672,23,7
673,20,5
674,13,2
675,13,2
676,13,1
677,13,1
678,17,3
679,14,2
680,19,1
681,9,5
682,9,2
683,21,1
684,12,1
685,11,5
686,16,2
687,16,2
688,20,2
689,19,2
690,20,3
691,5,6
692,2,6
693,20,6
694,20,1
695,13,3
696,13,7
697,21,7
698,14,2
699,17,7
700,13,3
701,14,3
702,8,1
703,20,7
704,10,4
705,19,5
706,15,4
707,12,2
708,14,6
709,11,3
710,8,2
711,5,3
712,8,5
713,19,3
714,8,5
715,13,1
716,23,6
717,7,2
718,18,7
719,12,3
720,13,4
721,20,4
722,21,3
723,6,5
724,7,6
725,10,5
726,19,4
727,11,5
728,14,5
729,21,6
730,16,3
731,11,5
732,19,6
733,13,2
734,16,1
735,21,2
736,8,6
737,3,7
738,11,4
739,8,5
740,10,1
741,15,5
742,8,6
743,22,5
744,10,6
745,16,7
746,18,4
747,16,5
748,14,4
749,12,6
750,15,2
751,11,5
752,13,5
753,13,6
754,17,6
755,12,5
756,12,1
757,11,4
758,12,1
759,19,6
760,18,7
761,16,5
762,15,7
763,15,7
764,17,7
765,14,2
766,13,6
767,16,4
768,15,5
769,7,4
770,20,2
771,8,1
772,8,1
773,6,4
774,9,5
775,4,1
776,16,3
777,5,4
778,18,6
779,11,7
780,17,4
781,0,7
782,13,6
783,7,2
784,7,3
785,13,3
786,16,2
787,12,2
788,21,7
789,12,6
790,17,7
791,14,5
792,15,7
793,6,6
794,3,7
795,13,6
796,8,7
797,9,6
798,14,2
799,7,7
800,13,3
801,12,7
802,11,4
803,11,4
804,12,6
805,11,5
806,16,7
807,8,7
808,12,6
809,20,5
810,19,2
811,16,7
812,20,4
813,14,5
814,9,6
815,12,1
816,12,1
817,11,5
818,18,7
819,6,6
820,8,5
821,8,5
822,21,4
823,21,4
824,17,6
825,8,4
826,17,6
827,21,1
828,6,2
829,15,3
830,16,2
831,9,4
832,7,1
833,22,7
834,8,2
835,19,7
836,16,6
837,10,5
838,10,5
839,13,1
840,0,1
841,13,3
842,2,7
843,18,2
844,22,5
845,8,3
846,11,2
847,12,5
848,12,2
849,9,3
850,12,3
851,13,2
852,11,7
853,11,2
854,16,4
855,21,3
856,0,4
857,19,3
858,19,3
859,6,4
860,8,2
861,17,5
862,13,6
863,22,7
864,23,6
865,14,4
866,14,4
867,9,7
868,16,2
869,16,2
870,23,6
871,18,7
872,11,1
873,19,2
874,15,7
875,15,6
876,15,3
877,22,2
878,13,7
879,9,1
880,21,5
881,12,3
882,15,3
883,6,3
884,18,3
885,20,5
886,21,6
887,20,6
