,acchr,dayofweek
0,16,4
1,18,3
2,14,6
3,14,5
4,13,6
5,10,5
6,22,2
7,16,3
8,16,3
9,12,2
10,10,6
11,13,7
12,13,2
13,13,2
14,16,5
15,8,3
16,17,1
17,22,6
18,4,1
19,18,6
20,19,2
21,21,6
22,5,7
23,5,7
24,5,7
25,5,7
26,8,4
27,8,4
28,11,2
29,16,7
30,0,2
31,9,5
32,21,4
33,13,7
34,13,4
35,14,7
36,21,5
37,2,2
38,2,2
39,17,1
40,13,2
41,8,3
42,11,2
43,5,7
44,8,4
45,8,4
46,12,3
47,16,7
48,15,2
49,15,2
50,3,1
51,12,5
52,18,4
53,16,1
54,3,2
55,11,6
56,22,7
57,22,7
58,13,7
59,1,6
60,3,2
61,11,6
62,22,7
63,16,6
64,16,4
65,4,7
66,18,1
67,10,6
68,15,3
69,15,3
70,15,3
71,22,2
72,2,7
73,2,7
74,22,7
75,14,6
76,8,3
77,8,3
78,11,7
79,22,6
80,14,7
81,19,4
82,3,2
83,15,1
84,14,3
85,13,7
86,21,6
87,11,6
88,15,7
89,12,6
90,5,7
91,5,7
92,12,3
93,15,3
94,12,5
95,11,7
96,16,4
97,15,6
98,9,3
99,9,3
100,9,3
101,20,6
102,4,3
103,4,3
104,4,7
105,4,7
106,16,1
107,9,6
108,13,6
109,7,2
110,14,7
111,12,2
112,12,2
113,5,6
114,1,6
115,4,7
116,10,6
117,15,3
118,15,3
119,15,3
120,13,7
121,17,1
122,12,7
123,12,7
124,13,2
125,13,7
126,8,3
127,11,7
128,22,6
129,12,5
130,21,6
131,1,1
132,2,1
133,15,2
134,5,7
135,5,7
136,12,3
137,12,3
138,12,3
139,15,5
140,5,5
141,14,1
142,9,3
143,9,3
144,20,6
145,4,3
146,4,3
147,4,3
148,4,3
149,4,3
150,13,7
151,11,6
152,4,7
153,17,7
154,14,6
155,16,1
156,22,4
157,11,5
158,18,7
159,16,5
160,17,4
161,18,7
162,22,6
163,11,6
164,13,1
165,15,1
166,14,7
167,18,7
168,10,1
169,4,1
170,12,3
171,15,2
172,8,6
173,11,7
174,19,3
175,18,3
176,17,1
177,18,3
178,12,4
179,15,1
180,8,3
181,15,3
182,19,7
183,13,3
184,15,6
185,15,6
186,7,5
187,20,3
188,19,6
189,16,7
190,20,3
191,10,5
192,19,7
193,9,5
194,16,5
195,21,6
196,6,4
197,21,5
198,19,5
199,11,4
200,9,7
201,17,4
202,14,5
203,8,3
204,20,2
205,15,7
206,6,3
207,5,2
208,10,2
209,15,7
210,12,4
211,16,5
212,12,7
213,8,5
214,5,3
215,12,6
216,7,6
217,7,4
