,acchr,dayofweek
0,16,4
1,18,3
2,9,6
3,9,6
4,14,6
5,14,4
6,14,5
7,13,6
8,10,5
9,10,5
10,2,2
11,22,2
12,16,3
13,16,3
14,12,2
15,12,2
16,5,6
17,17,3
18,16,4
19,10,6
20,13,7
21,11,4
22,22,7
23,13,2
24,13,2
25,16,5
26,8,3
27,17,1
28,22,6
29,11,2
30,19,3
31,22,6
32,3,2
33,4,1
34,18,6
35,18,6
36,19,2
37,19,2
38,19,2
39,21,6
40,15,2
41,5,7
42,5,7
43,5,7
44,5,7
45,5,7
46,5,7
47,5,7
48,5,7
49,5,7
50,8,4
51,8,4
52,11,2
53,11,2
54,15,5
55,16,7
56,5,5
57,23,4
58,0,2
59,9,5
60,21,4
61,21,4
62,15,5
63,13,7
64,13,7
65,16,1
66,16,1
67,13,4
68,5,4
69,7,5
70,7,5
71,14,7
72,14,7
73,10,5
74,21,5
75,21,5
76,22,2
77,18,4
78,2,2
79,2,2
80,21,7
81,17,3
82,7,5
83,10,6
84,17,1
85,17,1
86,13,2
87,13,2
88,8,3
89,22,6
90,11,2
91,18,6
92,19,3
93,10,4
94,20,1
95,14,3
96,20,4
97,15,7
98,5,7
99,5,7
100,5,7
101,8,4
102,8,4
103,12,3
104,12,3
105,16,7
106,18,3
107,20,2
108,5,5
109,5,5
110,5,5
111,10,7
112,15,2
113,15,2
114,11,7
115,18,3
116,22,5
117,3,1
118,18,7
119,12,5
120,10,1
121,18,4
122,4,7
123,16,1
124,16,1
125,22,7
126,3,2
127,11,6
128,22,7
129,22,7
130,22,7
131,22,7
132,13,7
133,19,4
134,17,7
135,20,3
136,13,6
137,1,6
138,1,6
139,6,5
140,0,6
141,23,4
142,20,7
143,13,7
144,11,2
145,3,2
146,13,5
147,2,1
148,11,6
149,22,7
150,15,6
151,16,6
152,16,6
153,8,3
154,5,4
155,3,7
156,7,5
157,13,6
158,14,7
159,16,7
160,5,6
161,16,4
162,4,7
163,18,1
164,3,1
165,10,6
166,15,3
167,15,3
168,15,3
169,15,3
170,13,7
171,22,2
172,3,2
173,2,7
174,2,7
175,23,3
176,22,7
177,14,6
178,3,1
179,8,3
180,8,3
181,8,3
182,8,3
183,8,3
184,11,7
185,22,6
186,19,5
187,19,3
188,19,3
189,12,5
190,14,7
191,19,4
192,3,2
193,15,1
194,14,3
195,14,3
196,13,7
197,13,7
198,15,4
199,2,7
200,2,7
201,21,6
202,11,6
203,15,7
204,12,6
205,5,7
206,5,7
207,5,7
208,5,7
209,12,3
210,12,3
211,15,3
212,11,2
213,12,3
214,15,5
215,11,1
216,12,5
217,1,7
