,acchr,dayofweek
0,17,3
1,9,4
2,18,6
3,18,6
4,23,6
5,12,1
6,0,1
7,14,1
8,10,1
9,15,7
10,15,7
11,2,1
12,18,6
13,3,4
14,2,7
15,8,1
16,14,1
17,3,1
18,10,1
19,18,3
20,21,5
21,11,3
22,11,3
23,22,2
24,3,7
25,16,3
26,18,6
27,16,7
28,13,2
29,23,6
30,23,6
31,23,6
32,22,2
33,20,7
34,11,6
35,12,6
36,20,1
37,20,1
38,20,2
39,11,1
40,0,1
41,0,1
42,15,3
43,17,6
44,15,3
45,18,3
46,18,3
47,21,3
48,2,6
49,1,1
50,1,1
51,1,1
52,1,1
53,16,7
54,16,4
55,22,2
56,16,5
57,23,5
58,3,1
59,16,3
60,16,3
61,18,6
62,2,7
63,13,2
64,8,1
65,8,1
66,13,5
67,2,7
68,23,6
69,20,7
70,12,6
71,12,6
72,19,3
73,20,1
74,15,6
75,15,6
76,20,2
77,13,2
78,13,2
79,23,4
80,12,1
81,12,1
82,9,5
83,0,1
84,0,1
85,14,2
86,1,1
87,1,7
88,18,3
89,13,4
90,17,2
91,14,6
92,20,3
93,7,2
94,21,3
95,2,2
96,2,6
97,16,3
98,0,6
99,9,4
100,14,6
101,3,1
102,19,5
103,3,4
104,10,4
105,17,6
106,20,1
107,14,7
108,10,3
109,2,7
110,5,2
111,13,5
112,10,1
113,21,6
114,20,4
115,2,1
116,6,5
117,6,5
118,6,5
119,6,5
120,6,5
121,6,5
122,20,3
123,20,3
124,1,4
125,19,3
126,8,1
127,18,3
128,2,1
129,2,1
130,13,5
131,0,2
132,18,7
133,15,3
134,11,6
135,16,4
136,18,4
137,5,4
138,14,5
139,14,7
140,21,3
141,23,4
142,20,7
143,15,7
144,8,3
145,10,3
146,16,7
147,10,1
148,10,1
149,10,1
150,4,6
151,22,2
152,20,7
153,20,7
154,20,4
155,18,2
156,18,1
157,16,7
158,18,3
159,18,3
160,23,4
161,21,2
162,13,5
163,18,7
164,21,6
165,21,7
166,15,3
167,13,7
168,7,5
169,7,2
170,7,2
171,13,6
172,2,2
173,11,3
174,16,7
175,21,7
176,11,4
177,5,1
178,13,2
179,13,2
180,17,2
181,4,7
182,3,1
183,11,2
184,18,6
185,17,6
186,14,7
187,19,4
188,2,7
189,15,1
190,4,1
191,4,1
192,14,3
193,15,4
194,20,4
195,11,6
196,1,4
197,5,7
198,15,3
199,13,5
200,12,1
201,0,2
202,9,5
203,22,4
204,15,2
205,11,7
206,18,7
207,18,7
208,17,6
209,14,1
210,12,5
211,18,7
212,18,7
213,3,7
214,21,5
215,22,2
216,22,2
217,5,6
218,5,6
219,17,5
220,17,5
221,17,5
222,0,7
223,21,6
224,13,2
225,20,1
226,18,6
227,23,4
228,3,4
229,4,1
230,13,2
231,5,2
232,13,5
233,10,1
234,14,6
235,15,7
236,15,3
237,18,3
238,2,1
239,10,7
240,19,5
241,5,7
242,14,2
243,11,7
244,21,4
245,0,1
246,15,5
247,18,7
248,17,6
249,17,6
250,15,7
251,18,7
252,21,6
253,9,3
254,18,4
255,9,7
256,9,7
257,16,4
258,18,3
259,9,6
260,9,6
261,14,6
262,14,4
263,14,5
264,13,6
265,10,5
266,10,5
267,2,2
268,22,2
269,16,3
270,16,3
271,12,2
272,12,2
273,5,6
274,17,3
275,16,4
276,10,6
277,13,7
278,11,4
279,22,7
280,13,2
281,13,2
282,16,5
283,8,3
284,17,1
285,22,6
286,11,2
287,19,3
288,22,6
289,3,2
290,4,1
291,18,6
292,18,6
293,19,2
294,19,2
295,19,2
296,21,6
297,15,2
298,5,7
299,5,7
300,5,7
301,5,7
302,5,7
303,5,7
304,5,7
305,5,7
306,5,7
307,8,4
308,8,4
309,11,2
310,11,2
311,15,5
312,16,7
313,5,5
314,23,4
315,0,2
316,9,5
317,21,4
318,21,4
319,15,5
320,13,7
321,13,7
322,16,1
323,16,1
324,13,4
325,5,4
326,7,5
327,7,5
328,14,7
329,14,7
330,10,5
331,21,5
332,21,5
333,22,2
334,18,4
335,2,2
336,2,2
337,21,7
338,17,3
339,7,5
340,10,6
341,17,1
342,17,1
343,13,2
344,13,2
345,8,3
346,22,6
347,11,2
348,18,6
349,19,3
350,10,4
351,20,1
352,14,3
353,20,4
354,15,7
355,5,7
356,5,7
357,5,7
358,8,4
359,8,4
360,12,3
361,12,3
362,16,7
363,18,3
364,20,2
365,5,5
366,5,5
367,5,5
368,10,7
369,15,2
370,15,2
371,11,7
372,18,3
373,22,5
374,3,1
375,18,7
376,12,5
377,10,1
378,18,4
379,4,7
380,16,1
381,16,1
382,19,3
383,5,7
384,5,7
385,8,3
386,21,5
387,16,2
388,14,4
389,8,4
390,17,1
391,7,5
