,acchr,dayofweek
0,18,3
1,14,6
2,14,5
3,13,6
4,10,5
5,10,5
6,2,2
7,22,2
8,16,3
9,16,3
10,12,2
11,12,2
12,10,6
13,11,4
14,8,3
15,4,1
16,19,2
17,21,6
18,5,7
19,5,7
20,5,7
21,5,7
22,5,7
23,5,7
24,5,7
25,5,7
26,5,7
27,8,4
28,8,4
29,16,7
30,5,5
31,23,4
32,0,2
33,21,4
34,21,4
35,15,5
36,13,7
37,16,1
38,5,4
39,14,7
40,14,7
41,10,5
42,21,5
43,21,5
44,22,2
45,18,4
46,2,2
47,2,2
48,21,7
49,17,1
50,17,1
51,8,3
52,10,4
53,5,7
54,5,7
55,5,7
56,8,4
57,8,4
58,12,3
59,16,7
60,18,3
61,5,5
62,15,2
63,15,2
64,11,7
65,22,5
66,3,1
67,10,1
68,16,1
69,22,7
70,3,2
71,11,6
72,22,7
73,22,7
74,22,7
75,22,7
76,19,4
77,17,7
78,20,3
79,13,6
80,3,2
81,13,5
82,11,6
83,16,6
84,8,3
85,5,4
86,7,5
87,13,6
88,14,7
89,16,7
90,5,6
91,4,7
92,3,1
93,10,6
94,15,3
95,15,3
96,15,3
97,13,7
98,3,2
99,2,7
100,2,7
101,23,3
102,14,6
103,3,1
104,8,3
105,8,3
106,8,3
107,8,3
108,11,7
109,19,3
110,19,3
111,12,5
112,14,7
113,19,4
114,3,2
115,15,1
116,21,6
117,11,6
118,15,7
119,12,6
120,5,7
121,5,7
122,5,7
123,5,7
124,12,3
125,12,3
126,11,2
127,12,5
128,1,7
129,11,7
130,1,7
131,16,4
132,15,6
133,15,6
134,15,6
135,1,3
136,15,7
137,14,1
138,14,1
139,7,2
140,9,3
141,9,3
142,9,3
143,9,3
144,20,6
145,4,3
146,4,3
147,4,3
148,4,3
149,13,7
150,11,6
151,4,7
152,4,7
153,16,1
154,9,6
155,13,6
156,7,2
157,7,2
158,14,7
159,14,7
160,11,3
161,16,3
162,5,6
163,5,6
164,4,7
165,3,1
166,10,6
167,15,3
168,15,3
169,15,3
170,15,3
171,15,3
172,15,3
173,13,7
174,17,1
175,17,1
176,11,4
177,8,3
178,11,7
179,11,7
180,19,3
181,12,5
182,12,5
183,12,5
184,19,3
185,21,6
186,21,6
187,1,1
188,2,1
189,15,2
190,15,2
191,12,6
192,5,7
193,5,7
194,5,7
195,5,7
196,5,7
197,5,7
198,5,7
199,5,7
200,5,7
201,12,3
202,12,3
203,12,3
204,12,3
205,12,3
206,11,2
207,12,3
208,5,5
209,19,5
210,11,7
211,15,6
212,14,1
213,7,2
214,9,3
215,9,3
216,20,6
217,4,3
218,4,3
219,4,3
220,4,3
221,4,3
222,4,3
223,4,3
224,4,3
225,4,3
226,13,7
227,4,7
228,17,7
229,14,6
230,17,1
231,7,2
232,18,7
233,18,7
234,18,7
235,1,4
236,22,6
237,11,6
238,6,2
239,10,1
240,18,3
241,18,3
242,17,7
243,9,7
244,0,4
245,11,6
246,12,2
247,18,3
248,8,2
249,17,2
250,13,3
251,22,1
252,19,7
253,12,1
254,4,5
255,16,7
256,0,1
257,18,7
258,10,5
259,21,5
260,12,4
261,16,3
262,9,5
263,9,5
264,10,6
265,20,6
266,7,4
267,15,6
268,12,1
269,12,2
270,18,6
271,15,3
272,21,5
273,11,4
274,10,2
275,18,4
276,13,4
277,7,4
278,20,2
279,16,4
280,12,6
281,15,7
282,6,3
283,1,4
284,9,1
285,5,2
286,7,4
287,14,4
288,10,2
289,15,6
290,4,6
291,12,1
292,18,7
293,20,5
294,14,3
295,11,4
296,12,4
297,21,5
298,23,3
299,18,7
300,9,3
301,9,3
302,16,5
303,13,5
304,16,7
305,9,7
306,16,2
307,11,5
308,15,3
309,5,3
310,9,6
311,12,6
312,7,6
313,10,7
314,15,7
315,9,5
316,15,1
317,8,7
318,15,6
319,6,6
320,10,3
321,10,3
322,7,4
323,13,6
324,16,1
325,20,6
326,20,6
327,6,4
328,15,3
329,15,4
330,7,1
331,9,5
332,20,7
333,19,7
334,15,6
335,20,7
336,6,5
337,8,4
338,11,4
339,0,2
340,0,1
341,16,2
342,16,2
343,19,2
344,19,2
345,22,2
346,23,3
347,17,4
348,7,7
349,12,7
350,17,6
351,4,6
352,15,2
353,16,2
354,14,3
355,23,3
356,14,4
357,18,7
358,8,6
359,10,6
360,10,5
361,18,2
362,21,2
363,11,3
364,7,3
365,12,4
366,4,5
367,18,7
368,22,3
369,11,1
370,12,7
371,19,3
372,18,5
373,8,5
374,15,5
375,15,5
376,14,3
377,12,7
378,0,7
379,12,2
380,6,4
381,14,4
382,18,5
383,7,6
384,9,2
385,17,3
386,10,6
387,16,2
388,11,3
389,7,4
390,10,4
391,11,5
392,3,6
393,6,6
394,7,4
395,18,4
396,5,5
397,9,5
398,12,2
399,11,1
400,11,1
401,0,3
402,1,6
403,13,5
404,14,4
405,18,1
406,15,3
407,17,3
408,15,3
409,11,2
410,2,6
411,15,3
412,4,5
413,10,1
414,14,1
415,16,1
416,8,4
417,7,4
418,11,4
419,14,2
420,12,3
421,17,3
422,2,3
423,23,4
424,15,5
425,15,5
426,99,1
427,17,7
428,13,2
429,11,2
430,22,5
431,20,2
432,17,2
433,15,3
434,11,4
435,23,7
436,20,1
437,5,2
438,15,6
439,22,5
440,5,7
441,9,2
442,9,4
443,11,2
444,10,4
445,21,4
446,9,2
447,23,4
448,5,6
449,13,5
450,8,7
451,6,3
452,11,5
453,16,3
454,8,2
455,17,1
456,0,6
457,6,5
458,13,6
459,1,6
460,9,2
461,11,2
462,14,4
463,0,5
