,acchr,dayofweek
0,8,1
1,19,5
2,3,7
3,3,7
4,1,1
5,1,1
6,1,1
7,1,7
8,3,1
9,23,7
10,3,7
11,2,6
12,2,6
13,2,6
14,2,2
15,22,6
16,13,7
17,3,1
18,2,6
19,2,6
20,1,1
21,1,7
22,19,5
23,1,3
24,2,7
25,2,7
26,20,1
27,2,7
28,2,7
29,21,6
30,21,6
31,22,4
32,6,1
33,1,1
34,23,6
35,3,1
36,23,7
37,17,7
38,3,7
39,2,6
40,2,6
41,22,2
42,1,1
43,1,1
44,1,1
45,2,6
46,2,7
47,2,7
48,21,7
49,4,7
50,3,7
51,2,7
52,18,1
53,21,2
54,1,1
55,21,6
56,21,7
57,21,7
58,10,1
59,3,1
60,3,1
61,23,7
62,17,7
63,14,4
64,1,7
65,3,1
66,18,4
67,1,7
68,19,5
69,23,3
70,3,7
71,2,1
72,17,6
73,1,1
74,5,5
75,22,7
76,18,7
77,22,7
78,3,2
79,11,6
80,22,7
81,22,7
82,22,7
83,22,7
84,19,4
85,17,7
86,20,3
87,13,6
88,3,2
89,13,5
90,11,6
91,2,7
92,23,7
93,15,3
94,6,4
95,5,6
96,20,4
97,0,2
98,11,6
99,0,1
100,21,5
101,18,7
102,1,1
103,23,6
104,2,7
105,3,7
106,2,7
107,3,7
108,2,1
109,19,7
110,1,2
111,1,2
112,18,4
113,3,5
114,20,5
115,1,7
116,1,7
117,12,6
118,1,7
119,8,7
120,22,4
121,1,1
122,6,1
123,0,1
124,13,4
125,5,4
126,0,1
127,23,7
128,14,6
129,2,7
130,5,7
131,0,1
132,4,1
133,21,7
134,4,2
135,3,1
136,2,1
137,5,7
138,23,7
139,5,6
140,2,7
141,1,3
142,4,1
143,19,2
144,11,1
145,9,7
146,4,1
147,2,1
148,23,6
149,19,6
150,4,2
151,7,5
152,22,6
153,4,6
154,0,7
155,4,7
156,23,7
157,16,7
158,23,3
159,3,1
160,2,1
161,16,7
162,1,7
163,22,6
164,2,3
165,23,5
166,2,1
167,4,7
168,0,7
169,4,1
170,2,1
171,4,1
172,1,7
173,23,6
174,2,1
175,23,2
176,3,7
177,1,7
178,1,1
179,19,4
180,5,6
181,3,1
182,6,7
183,5,1
184,1,6
185,4,3
186,1,7
187,0,4
188,2,1
189,15,5
190,1,4
191,22,7
192,3,7
193,3,3
194,1,7
195,3,7
196,0,5
197,2,1
198,23,5
199,2,7
200,3,1
201,22,6
202,20,7
203,4,7
204,3,6
205,1,6
206,7,1
207,0,1
208,22,2
209,23,5
210,6,1
211,2,1
212,1,6
213,19,6
214,1,4
215,19,3
216,4,1
217,3,7
218,1,5
219,20,7
220,5,1
221,19,3
222,0,1
223,0,7
224,1,6
225,3,7
226,2,6
