,acchr,dayofweek
0,18,3
1,14,6
2,14,5
3,13,6
4,2,2
5,16,3
6,16,3
7,12,2
8,10,6
9,11,4
10,21,6
11,23,4
12,21,4
13,15,5
14,16,1
15,14,7
16,21,5
17,22,2
18,18,4
19,17,1
20,17,1
21,10,4
22,8,4
23,18,3
24,5,5
25,15,2
26,11,7
27,22,5
28,22,7
29,19,4
30,17,7
31,20,3
32,13,6
33,13,5
34,13,6
35,14,7
36,3,1
37,11,7
38,12,5
39,1,3
40,15,7
41,14,1
42,14,1
43,7,2
44,9,3
45,9,3
46,20,6
47,14,7
48,14,7
49,11,3
50,3,1
51,11,7
52,19,3
53,12,5
54,21,6
55,12,6
56,19,5
57,11,7
58,9,3
59,9,3
60,7,2
61,18,7
62,18,7
63,18,7
64,1,4
65,11,6
66,6,2
67,10,1
68,18,3
69,18,3
70,17,7
71,9,7
72,11,6
73,12,2
74,18,3
75,8,2
76,17,2
77,13,3
78,19,7
79,12,1
80,4,5
81,16,7
82,0,1
83,10,5
84,12,4
85,16,3
86,9,5
87,10,6
88,20,6
89,7,4
90,15,6
91,12,1
92,12,2
93,15,3
94,11,4
95,10,2
96,13,4
97,7,4
98,12,6
99,1,4
100,5,2
101,7,4
102,14,4
103,10,2
104,15,6
105,4,6
106,12,1
107,18,7
108,11,4
109,12,4
110,21,5
111,18,7
112,9,3
113,9,3
114,16,5
115,13,5
116,16,7
117,9,7
118,16,2
119,11,5
120,15,3
121,5,3
122,9,6
123,12,6
124,7,6
125,10,7
126,15,7
127,9,5
128,15,1
129,15,6
130,6,6
131,10,3
132,10,3
133,13,6
134,16,1
135,20,6
136,20,6
137,6,4
138,15,3
139,15,4
140,7,1
141,20,7
142,19,7
143,15,6
144,20,7
145,6,5
146,8,4
147,11,4
148,16,2
149,19,2
150,19,2
151,22,2
152,23,3
153,17,4
154,7,7
155,12,7
156,4,6
157,15,2
158,16,2
159,14,3
160,8,6
161,10,6
162,18,2
163,11,3
164,12,4
165,18,7
166,22,3
167,12,7
168,8,5
169,15,5
170,14,3
171,0,7
172,12,2
173,14,4
174,18,5
175,9,2
176,17,3
177,10,6
178,11,5
179,6,6
180,18,4
181,5,5
182,9,5
183,11,1
184,0,3
185,1,6
186,14,4
187,18,1
188,15,3
189,17,3
190,15,3
191,4,5
192,14,1
193,16,1
194,8,4
195,11,4
196,14,2
197,12,3
198,17,3
199,23,4
200,15,5
201,99,1
202,13,2
203,11,2
204,22,5
205,17,2
206,15,3
207,11,4
208,20,1
209,5,2
210,15,6
211,22,5
212,5,7
213,9,2
214,11,2
215,8,7
216,16,3
217,17,1
218,1,6
219,9,2
220,11,2
221,14,4
222,0,5
223,17,6
224,19,1
225,15,7
226,9,4
227,14,1
228,12,6
229,15,7
230,18,1
231,9,2
232,12,3
233,11,4
234,18,4
235,5,2
236,14,4
237,4,1
238,16,1
239,1,2
240,13,3
241,16,5
242,13,6
243,13,1
244,21,3
245,5,6
246,14,3
247,11,6
248,0,4
249,17,6
250,16,6
251,14,3
252,23,2
253,19,7
254,12,1
255,14,6
256,16,7
257,20,7
258,15,1
259,9,1
260,7,4
261,15,7
262,15,4
263,16,2
264,14,2
265,14,4
266,13,5
267,4,6
268,16,6
269,8,1
270,3,2
271,9,2
272,15,3
273,12,5
274,14,6
275,22,7
276,11,6
277,11,7
278,7,1
279,5,6
280,16,7
281,14,3
282,20,4
283,9,1
284,0,2
285,20,2
286,23,7
287,1,1
288,4,1
289,15,3
290,7,3
291,3,5
292,15,7
293,0,4
294,11,2
295,10,2
296,11,3
297,9,7
298,14,7
299,11,5
300,7,1
301,7,6
302,17,3
303,6,2
304,11,2
305,12,2
306,13,6
307,16,2
308,10,6
309,12,2
310,6,2
311,12,7
312,16,5
313,8,6
314,17,4
315,7,2
316,14,3
317,1,6
318,19,6
319,14,3
320,19,6
321,0,6
322,17,6
323,15,4
324,15,2
325,13,5
326,16,4
327,12,7
328,15,2
329,10,6
330,10,5
331,21,6
332,3,6
333,15,4
334,2,1
335,20,7
336,23,2
337,14,5
338,7,3
339,10,1
340,7,4
341,7,3
342,9,5
343,20,3
344,15,1
345,14,3
346,14,3
347,14,5
348,20,6
349,12,2
350,9,5
351,5,2
352,9,4
353,9,4
354,14,1
355,5,5
356,5,5
357,20,6
358,14,5
359,9,1
360,9,1
361,2,7
362,7,6
363,16,1
364,21,3
365,12,3
366,8,6
367,17,4
368,16,3
369,13,3
370,5,4
371,19,5
372,0,2
373,12,1
374,22,4
375,18,5
376,16,6
377,10,1
378,20,6
379,12,5
380,13,5
381,7,3
382,20,3
383,8,5
384,11,5
385,20,7
386,8,2
387,10,6
388,1,2
389,16,4
390,18,2
391,8,2
392,21,2
393,22,7
394,5,3
395,10,4
396,21,2
397,2,1
398,12,5
399,12,4
400,16,3
401,14,6
402,9,6
403,6,4
404,12,3
405,2,4
406,17,4
407,15,4
408,8,7
409,15,5
410,17,7
411,20,5
412,13,7
413,20,3
414,16,2
415,11,5
416,16,4
417,12,1
418,22,2
419,20,3
420,12,2
421,18,1
422,22,5
423,15,2
424,7,5
425,12,7
426,23,7
427,13,2
428,18,3
429,18,3
430,16,4
431,20,5
432,15,1
433,16,2
434,9,3
435,12,5
436,14,6
437,12,3
438,12,3
439,16,5
440,17,6
441,8,2
442,20,4
443,14,6
444,15,4
445,13,4
446,10,3
447,9,7
448,12,2
449,6,5
450,6,5
451,3,6
452,10,6
453,9,2
454,15,3
455,10,6
456,11,3
457,20,7
458,15,1
459,14,1
460,23,2
461,15,1
462,20,2
463,15,1
