,acchr,dayofweek
0,16,7
1,23,6
2,18,3
3,22,2
4,3,1
5,13,2
6,1,1
7,14,6
8,20,3
9,7,2
10,21,3
11,2,2
12,0,6
13,9,4
14,14,6
15,10,4
16,10,1
17,21,6
18,1,4
19,19,3
20,0,2
21,15,3
22,11,6
23,5,4
24,14,5
25,14,7
26,15,7
27,8,3
28,4,6
29,18,3
30,23,4
31,13,6
32,11,3
33,21,7
34,11,4
35,13,2
36,4,7
37,19,4
38,1,4
39,0,2
40,15,2
41,11,7
42,18,7
43,3,7
44,21,5
45,22,2
46,21,6
47,3,4
48,13,5
49,10,1
50,15,3
51,19,5
52,11,7
53,15,7
54,9,7
55,18,3
56,14,6
57,14,5
58,13,6
59,2,2
60,16,3
61,16,3
62,12,2
63,10,6
64,11,4
65,21,6
66,23,4
67,21,4
68,15,5
69,16,1
70,14,7
71,21,5
72,22,2
73,18,4
74,17,1
75,17,1
76,10,4
77,8,4
78,18,3
79,5,5
80,15,2
81,11,7
82,22,5
83,8,2
84,19,6
85,0,4
86,5,6
87,18,2
88,9,3
89,2,5
90,15,7
91,6,6
92,12,5
93,7,2
94,11,6
95,15,3
96,16,5
97,3,6
98,15,1
99,14,7
100,10,1
101,19,1
102,15,6
103,2,3
104,2,6
105,0,7
106,22,5
107,18,1
108,20,1
109,21,1
110,18,1
111,18,7
112,17,3
113,6,3
114,0,5
115,10,3
116,1,7
117,19,5
118,22,7
119,19,7
120,20,3
121,14,3
122,1,7
123,13,6
124,2,7
125,22,7
126,18,4
127,14,7
128,9,5
129,18,4
130,22,7
131,12,7
132,20,5
133,0,1
134,13,1
135,21,2
136,22,2
137,19,2
138,15,4
139,12,1
140,16,6
141,15,2
142,0,3
143,16,4
144,15,7
145,0,1
146,18,7
147,12,5
148,14,3
149,10,7
150,18,1
151,22,6
152,20,2
153,16,5
154,2,5
155,23,2
156,16,3
157,22,6
158,17,5
159,13,5
160,13,7
161,13,7
162,7,6
163,22,4
164,22,3
165,8,2
166,20,7
167,1,7
168,19,5
169,15,1
170,20,3
171,15,7
172,17,5
173,21,6
174,13,4
175,14,1
176,4,6
177,13,1
178,14,1
179,21,3
180,11,3
181,21,2
182,0,5
183,15,4
184,12,5
185,21,2
186,16,4
187,19,3
188,18,7
189,1,7
190,11,4
191,23,2
192,15,2
193,0,7
