,acchr,dayofweek
0,16,7
1,23,6
2,18,3
3,22,2
4,3,1
5,13,2
6,1,1
7,14,6
8,20,3
9,7,2
10,21,3
11,2,2
12,0,6
13,9,4
14,14,6
15,10,4
16,10,1
17,21,6
18,1,4
19,19,3
20,0,2
21,15,3
22,11,6
23,5,4
24,14,5
25,14,7
26,15,7
27,8,3
28,4,6
29,18,3
30,23,4
31,13,6
32,11,3
33,21,7
34,11,4
35,13,2
36,4,7
37,19,4
38,1,4
39,0,2
40,15,2
41,11,7
42,18,7
43,3,7
44,21,5
45,22,2
46,21,6
47,3,4
48,13,5
49,10,1
50,15,3
51,19,5
52,11,7
53,15,7
54,9,7
55,18,3
56,14,6
57,14,5
58,13,6
59,2,2
60,16,3
61,16,3
62,12,2
63,10,6
64,11,4
65,21,6
66,23,4
67,21,4
68,15,5
69,16,1
70,14,7
71,21,5
72,22,2
73,18,4
74,17,1
75,17,1
76,10,4
77,8,4
78,18,3
79,5,5
80,15,2
81,11,7
82,22,5
83,19,5
84,3,7
85,1,1
86,1,1
87,3,1
88,2,6
89,2,2
90,13,7
91,1,7
92,2,7
93,20,1
94,2,7
95,21,6
96,6,1
97,23,7
98,3,7
99,2,6
100,1,1
101,2,6
102,2,7
103,4,7
104,21,6
105,10,1
106,3,1
107,14,4
108,3,1
109,23,3
110,3,7
111,2,1
112,17,6
113,1,1
114,22,7
115,18,7
116,22,7
117,19,4
118,17,7
119,20,3
120,13,6
121,13,5
122,14,7
123,22,7
124,17,3
125,19,4
126,14,7
127,2,7
128,22,7
129,16,4
130,15,4
131,18,4
132,10,5
133,21,5
134,7,2
135,21,3
136,21,3
137,13,6
138,11,6
139,14,7
140,9,4
141,4,7
142,20,5
143,23,4
144,22,6
145,22,5
146,11,6
147,2,7
148,3,2
149,3,7
150,19,5
151,18,1
152,5,7
153,12,3
154,22,6
155,1,7
156,1,7
157,1,1
158,14,1
159,23,7
160,14,1
161,3,7
162,14,7
163,14,7
164,22,2
165,2,1
166,14,6
167,3,4
168,18,1
169,12,3
170,12,3
171,18,3
172,16,4
173,23,7
174,3,1
175,16,7
176,13,6
177,14,7
178,3,1
179,11,7
180,12,5
181,1,3
182,15,7
183,14,1
184,14,1
185,7,2
186,9,3
187,9,3
188,20,6
189,14,7
190,14,7
191,11,3
192,3,1
193,11,7
