,acchr,dayofweek
0,10,5
1,2,2
2,12,2
3,11,4
4,5,7
5,5,7
6,5,7
7,5,7
8,5,7
9,5,5
10,23,4
11,21,4
12,15,5
13,16,1
14,5,4
15,14,7
16,10,5
17,21,5
18,22,2
19,18,4
20,21,7
21,17,1
22,10,4
23,5,7
24,5,7
25,18,3
26,5,5
27,11,7
28,22,5
29,10,1
30,22,7
31,22,7
32,22,7
33,19,4
34,17,7
35,20,3
36,13,6
37,13,5
38,16,6
39,8,3
40,5,4
41,7,5
42,13,6
43,14,7
44,16,7
45,5,6
46,3,1
47,13,7
48,3,2
49,23,3
50,3,1
51,8,3
52,8,3
53,8,3
54,19,3
55,19,3
56,12,5
57,5,7
58,5,7
59,12,3
60,11,2
61,1,7
62,1,7
63,15,6
64,15,6
65,1,3
66,15,7
67,14,1
68,14,1
69,7,2
70,9,3
71,4,3
72,13,7
73,11,6
74,7,2
75,14,7
76,11,3
77,16,3
78,5,6
79,3,1
80,15,3
81,15,3
82,15,3
83,17,1
84,11,4
85,11,7
86,19,3
87,12,5
88,12,5
89,19,3
90,21,6
91,15,2
92,12,6
93,5,7
94,5,7
95,5,7
96,5,7
97,5,7
98,5,7
99,5,7
100,12,3
101,12,3
102,12,3
103,11,2
104,19,5
105,11,7
106,15,6
107,7,2
108,4,3
109,17,1
110,7,2
111,18,7
112,1,4
113,6,2
114,18,3
115,18,3
116,17,7
117,9,7
118,0,4
119,11,6
120,12,2
121,8,2
122,17,2
123,22,1
124,19,7
125,12,1
126,4,5
127,0,1
128,18,7
129,21,5
130,12,4
131,16,3
132,9,5
133,10,6
134,20,6
135,7,4
136,15,6
137,12,1
138,12,2
139,18,6
140,15,3
141,21,5
142,10,2
143,18,4
144,13,4
145,7,4
146,16,4
147,12,6
148,1,4
149,9,1
150,7,4
151,14,4
152,15,6
153,4,6
154,12,1
155,18,7
156,20,5
157,14,3
158,11,4
159,21,5
160,23,3
161,18,7
162,9,3
163,9,3
164,13,5
165,16,7
166,9,7
167,16,2
168,11,5
169,15,3
170,9,6
171,10,7
172,15,7
173,9,5
174,15,1
175,8,7
176,15,6
177,6,6
178,10,3
179,10,3
180,7,4
181,13,6
182,16,1
183,20,6
184,20,6
185,6,4
186,15,3
187,15,4
188,7,1
189,9,5
190,19,7
191,6,5
192,8,4
193,11,4
194,0,2
195,0,1
196,16,2
197,19,2
198,19,2
199,23,3
200,17,4
201,7,7
202,12,7
203,4,6
204,15,2
205,16,2
206,23,3
207,10,6
208,10,5
209,18,2
210,21,2
211,11,3
212,12,4
213,18,7
214,22,3
215,12,7
216,19,3
217,18,5
218,8,5
219,15,5
220,14,3
221,12,7
222,0,7
223,12,2
224,14,4
225,18,5
226,7,6
227,9,2
228,17,3
229,10,6
230,7,4
231,11,5
232,3,6
233,6,6
234,7,4
235,5,5
236,9,5
237,11,1
238,13,5
239,14,4
240,18,1
241,15,3
