,acchr,dayofweek
0,19,5
1,1,1
2,1,1
3,1,1
4,1,7
5,3,1
6,23,7
7,3,7
8,2,6
9,2,6
10,2,6
11,2,2
12,22,6
13,13,7
14,3,1
15,2,6
16,1,7
17,19,5
18,1,3
19,2,7
20,20,1
21,2,7
22,2,7
23,21,6
24,21,6
25,22,4
26,6,1
27,3,1
28,23,7
29,3,7
30,2,6
31,2,6
32,1,1
33,1,1
34,1,1
35,2,6
36,2,7
37,2,7
38,21,7
39,4,7
40,2,7
41,18,1
42,21,2
43,21,6
44,21,7
45,21,7
46,10,1
47,3,1
48,3,1
49,23,7
50,17,7
51,3,1
52,18,4
53,19,5
54,23,3
55,2,1
56,17,6
57,1,1
58,22,7
59,22,7
60,22,7
61,22,7
62,19,4
63,17,7
64,20,3
65,13,6
66,13,5
67,15,3
68,6,4
69,20,4
70,0,2
71,11,6
72,0,1
73,21,5
74,18,7
75,23,6
76,2,7
77,3,7
78,2,1
79,19,7
80,1,2
81,1,2
82,18,4
83,3,5
84,20,5
85,1,7
86,1,7
87,12,6
88,1,7
89,8,7
90,22,4
91,1,1
92,6,1
93,0,1
94,13,4
95,0,1
96,14,6
97,5,7
98,0,1
99,4,1
100,21,7
101,4,2
102,3,1
103,2,1
104,5,6
105,2,7
106,11,1
107,4,1
108,2,1
109,23,6
110,19,6
111,7,5
112,22,6
113,4,6
114,0,7
115,4,7
116,23,3
117,3,1
118,2,1
119,16,7
120,1,7
121,22,6
122,2,3
123,23,5
124,2,1
125,4,7
126,0,7
127,4,1
128,2,1
129,1,7
130,23,6
131,2,1
132,23,2
133,3,7
134,1,7
135,1,1
136,5,6
137,3,1
138,5,1
139,1,6
140,4,3
141,1,7
142,0,4
143,15,5
144,1,4
145,22,7
146,3,7
147,3,3
148,1,7
149,3,7
150,0,5
151,2,7
152,3,1
153,20,7
154,4,7
155,3,6
156,1,6
157,7,1
158,0,1
159,22,2
160,23,5
161,1,6
162,19,6
163,1,4
164,19,3
165,4,1
166,3,7
167,1,5
168,20,7
169,5,1
170,19,3
171,0,1
172,0,7
173,1,6
174,21,5
175,17,6
176,2,2
177,4,1
178,6,7
179,23,6
180,22,7
181,3,7
182,12,7
183,3,6
184,23,5
185,2,1
186,1,1
187,18,1
188,3,7
189,23,7
190,2,1
191,12,4
192,12,6
193,1,6
194,19,2
195,5,7
196,1,4
197,6,1
198,2,7
199,6,7
200,0,7
201,4,1
202,23,5
203,0,1
204,22,6
205,11,3
206,3,1
207,3,1
208,1,7
209,1,1
210,1,7
211,23,5
212,1,4
213,12,5
214,2,6
215,14,3
216,4,7
217,21,2
218,19,6
219,2,7
220,21,4
221,22,6
222,22,4
223,13,6
224,2,7
225,23,2
226,7,1
227,3,1
228,2,7
229,19,1
230,7,7
231,2,7
232,0,1
233,2,5
234,21,6
235,16,1
236,0,1
237,3,2
238,7,1
239,0,7
240,3,7
241,7,1
242,23,7
243,22,6
244,2,1
245,6,6
246,2,7
247,5,7
248,22,6
249,0,1
250,23,2
251,1,2
252,2,4
253,6,1
254,4,1
255,23,1
256,3,6
257,3,7
258,3,6
259,23,4
260,18,2
261,5,1
262,23,1
263,1,4
264,2,2
265,3,1
266,13,6
267,2,5
268,2,5
269,13,5
270,2,7
271,8,3
272,23,5
273,19,7
274,0,2
275,21,5
276,15,1
277,9,3
278,17,6
279,3,5
280,2,1
281,7,7
282,1,1
283,6,7
284,23,3
285,19,3
286,4,1
287,20,2
288,23,2
289,2,7
290,1,2
291,5,7
292,5,2
293,0,5
294,99,7
295,21,7
296,22,2
297,3,1
298,1,2
299,23,7
300,2,7
301,21,2
302,0,1
303,99,1
304,1,1
305,2,2
306,21,6
307,5,7
308,20,5
309,23,6
310,17,1
311,22,6
312,1,6
313,4,5
314,1,1
315,20,3
316,0,6
317,19,2
318,1,5
319,19,5
320,21,7
321,23,4
322,23,6
323,0,1
324,18,6
325,4,7
326,16,1
327,18,3
328,17,7
329,22,3
330,20,3
331,19,7
332,7,7
333,1,5
334,17,2
335,21,2
336,2,7
337,13,2
338,99,7
339,15,6
340,17,7
341,5,7
342,20,3
343,18,4
344,8,7
345,23,7
346,3,1
347,4,1
348,21,1
349,2,2
350,19,4
351,22,1
352,3,1
353,1,6
354,1,1
355,2,1
356,22,1
357,99,1
358,23,4
359,2,1
360,18,1
361,23,7
362,18,2
363,22,5
364,3,7
365,19,7
366,20,1
367,1,4
368,21,1
369,2,7
370,2,7
371,3,6
372,21,2
373,21,7
374,2,1
375,99,4
376,18,4
377,23,7
378,15,1
379,0,4
380,3,5
381,3,5
382,23,7
383,3,1
384,15,1
385,19,1
386,2,1
387,2,6
388,18,5
389,15,5
390,1,1
391,3,7
392,1,6
393,1,1
394,23,5
395,22,3
396,1,7
397,17,4
398,1,2
399,3,7
400,2,7
401,4,1
402,2,5
403,1,6
404,21,2
405,0,3
406,3,1
407,20,7
408,21,2
409,0,1
410,0,7
411,0,2
412,0,2
413,4,7
414,3,7
415,2,6
416,20,4
417,2,1
418,22,4
419,17,6
420,0,7
421,2,4
422,5,7
423,23,5
424,1,1
425,4,1
426,20,4
427,21,1
428,7,4
429,3,7
430,3,7
431,20,5
432,17,2
433,22,2
434,0,1
435,19,2
436,3,1
437,0,1
438,22,5
439,21,1
440,23,7
441,19,7
442,2,6
443,23,5
444,23,5
445,10,1
446,16,7
447,12,1
448,17,7
449,18,5
450,3,1
451,2,7
452,18,2
453,23,6
454,5,2
455,21,7
456,2,2
457,2,2
458,16,1
459,16,1
460,2,7
461,10,4
462,0,5
463,21,3
464,20,3
465,19,5
466,4,1
467,11,1
468,5,5
469,9,4
470,23,6
471,23,6
472,2,6
473,3,7
474,2,1
475,2,1
476,5,7
477,2,7
478,3,6
479,3,6
480,6,1
481,0,7
482,2,2
483,2,6
484,2,1
485,21,4
486,4,1
487,6,7
488,3,4
489,23,5
490,18,7
491,2,5
492,23,1
493,20,6
494,2,6
495,0,1
496,2,3
497,23,3
498,2,3
499,21,4
500,23,6
501,22,1
502,15,3
503,17,7
504,3,7
505,1,6
506,3,5
507,2,1
508,0,7
509,17,6
510,0,2
511,23,3
512,4,7
513,23,7
514,1,3
515,2,1
516,0,6
517,1,6
518,2,7
519,1,1
520,2,1
521,2,1
522,23,7
523,23,2
524,22,3
525,11,2
526,1,7
527,1,6
528,9,7
529,20,7
530,19,1
531,23,3
532,2,6
533,1,6
534,0,4
535,20,5
536,2,4
537,22,7
538,18,5
539,20,2
540,13,1
541,12,5
542,20,3
543,3,1
544,2,6
545,22,7
546,22,5
547,2,3
548,2,3
549,16,7
550,0,4
551,0,7
552,1,6
553,15,6
554,3,6
555,6,1
556,23,7
557,3,7
558,3,1
559,3,7
560,2,1
561,3,4
562,0,5
563,1,2
564,1,2
565,2,6
566,16,1
567,23,6
568,2,7
569,3,2
570,3,1
571,5,1
572,2,3
573,21,5
574,0,2
575,6,2
576,0,7
577,3,7
578,0,3
579,20,3
580,5,6
581,3,7
582,22,5
583,2,6
584,19,7
585,5,6
586,19,7
587,2,5
588,2,1
589,22,4
590,2,3
591,3,1
592,20,5
593,1,5
594,0,6
595,21,6
596,21,1
597,23,1
598,17,7
599,23,7
600,0,4
601,5,1
602,1,1
603,2,6
604,23,6
605,1,1
606,23,7
607,2,7
608,19,5
609,3,4
610,3,7
611,6,6
612,2,7
613,1,6
614,2,6
615,18,7
616,3,3
617,21,4
618,2,1
619,2,4
620,4,1
621,1,2
622,12,3
623,21,6
624,2,2
625,1,1
626,5,5
627,7,6
628,2,7
629,7,7
630,1,7
631,2,4
632,23,4
633,2,7
634,20,7
635,20,3
636,4,7
637,12,2
638,7,1
639,5,1
640,13,1
641,17,7
642,1,7
643,4,6
644,4,1
645,1,1
646,1,6
647,1,7
648,0,2
649,14,1
650,4,1
651,20,2
652,21,1
653,23,7
654,2,7
655,0,1
656,23,6
657,23,6
658,22,6
659,22,7
660,99,1
661,21,6
662,12,5
663,23,1
664,2,7
665,20,7
666,1,2
667,1,3
668,2,5
669,21,4
670,21,7
671,16,7
672,1,1
673,20,1
674,4,1
675,1,2
676,17,2
677,22,1
678,0,7
679,1,1
680,19,3
681,20,7
682,22,7
683,22,1
