,acchr,dayofweek
0,17,3
1,23,6
2,15,7
3,15,7
4,18,6
5,18,3
6,18,6
7,13,2
8,20,7
9,11,1
10,15,3
11,17,6
12,16,4
13,23,5
14,18,6
15,13,2
16,8,1
17,8,1
18,20,7
19,12,6
20,20,1
21,15,6
22,12,1
23,0,1
24,14,2
25,13,4
26,17,2
27,16,3
28,19,5
29,20,1
30,14,7
31,10,3
32,2,7
33,5,2
34,20,4
35,2,1
36,6,5
37,6,5
38,6,5
39,20,3
40,2,1
41,18,7
42,16,4
43,18,4
44,23,4
45,20,7
46,10,3
47,16,7
48,20,7
49,20,7
50,20,4
51,18,2
52,18,1
53,16,7
54,13,5
55,21,6
56,16,7
57,5,1
58,13,2
59,17,2
60,18,6
61,14,7
62,15,1
63,4,1
64,14,3
65,15,4
66,20,4
67,11,6
68,13,5
69,9,5
70,22,4
71,18,7
72,18,7
73,17,6
74,14,1
75,12,5
76,17,5
77,17,5
78,17,5
79,0,7
80,13,2
81,20,1
82,18,6
83,23,4
84,13,2
85,5,2
86,14,6
87,10,7
88,5,7
89,14,2
90,15,5
91,18,7
92,21,6
93,9,3
94,16,4
95,9,6
96,9,6
97,14,4
98,5,6
99,16,4
100,13,7
101,22,7
102,13,2
103,13,2
104,17,1
105,22,6
106,11,2
107,19,3
108,3,2
109,18,6
110,18,6
111,19,2
112,19,2
113,15,2
114,11,2
115,11,2
116,15,5
117,9,5
118,16,1
119,13,4
120,7,5
121,7,5
122,17,3
123,7,5
124,10,6
125,13,2
126,13,2
127,22,6
128,18,6
129,19,3
130,20,1
131,14,3
132,20,4
133,15,7
134,12,3
135,20,2
136,5,5
137,5,5
138,10,7
139,18,3
140,18,7
141,18,4
142,4,7
143,16,1
144,8,3
145,21,5
146,7,5
147,17,1
148,19,5
149,9,1
150,18,1
151,21,4
152,21,5
153,15,2
154,16,2
155,21,1
156,15,4
157,20,1
158,11,4
159,20,6
160,17,1
161,12,2
162,18,1
163,14,4
164,18,4
165,14,7
166,11,5
167,14,1
168,6,3
169,13,2
170,22,6
171,12,7
172,16,1
173,17,4
174,20,5
175,16,4
176,16,6
177,21,2
178,14,7
179,14,6
180,18,7
181,0,1
182,14,6
183,15,2
184,23,6
185,20,7
186,16,1
187,23,5
188,13,6
189,13,7
190,19,5
191,13,1
192,7,5
193,15,7
194,0,1
195,22,5
196,21,5
197,21,6
198,21,5
199,7,2
200,1,7
201,6,2
202,2,1
203,17,3
204,16,4
205,12,7
206,15,3
207,19,6
208,23,2
209,21,2
210,21,6
211,20,2
212,19,3
213,18,7
214,9,1
215,15,6
216,14,6
217,16,7
218,20,2
219,22,6
220,17,6
221,15,4
222,11,7
223,13,7
224,17,3
225,20,2
226,16,5
227,4,3
228,22,4
229,15,2
230,16,4
231,15,2
232,5,4
233,13,3
234,14,5
235,19,1
236,19,4
237,19,4
238,6,2
239,1,2
240,19,5
241,17,4
242,21,2
243,19,2
244,15,5
245,18,5
246,16,7
247,14,5
248,21,2
249,10,2
250,18,6
251,1,7
252,9,1
253,22,7
254,7,6
255,16,6
256,20,6
257,4,3
258,9,4
259,18,7
260,15,2
261,21,5
262,19,2
263,14,3
264,11,6
265,20,7
266,5,4
267,14,2
268,17,6
269,18,3
270,18,3
271,20,4
272,15,5
273,21,6
274,19,2
275,19,6
276,0,3
277,19,6
278,21,1
279,13,1
280,12,3
281,11,7
282,13,4
283,17,7
284,17,7
285,1,5
286,16,4
287,16,6
288,11,7
289,13,4
290,19,5
291,19,5
292,22,1
293,14,4
294,8,2
295,19,3
296,20,3
297,18,6
298,16,6
299,10,4
300,10,4
301,7,3
302,20,2
303,17,2
304,22,7
305,21,2
306,9,4
307,13,3
308,14,4
309,20,7
310,16,7
311,17,2
312,5,7
313,1,4
314,15,7
315,22,4
316,19,1
317,18,1
318,18,2
319,3,5
320,7,5
321,14,1
322,23,6
323,8,5
324,18,4
325,3,7
326,15,6
327,17,3
328,12,4
329,2,1
330,2,7
331,11,6
332,14,7
333,18,4
334,19,3
335,0,7
336,12,6
337,17,1
338,14,7
339,7,5
340,18,3
341,19,7
342,9,7
343,18,6
344,12,2
345,19,7
346,21,7
347,14,2
348,17,3
349,23,7
350,1,7
351,7,3
352,21,2
353,15,4
354,22,3
355,21,4
356,19,4
357,18,2
358,21,2
359,5,3
360,21,7
361,22,6
362,19,2
363,15,3
364,12,3
365,17,2
366,23,1
367,22,2
368,22,6
369,1,2
370,13,2
371,20,6
372,17,2
373,13,3
374,99,2
375,11,2
376,19,3
377,13,4
378,20,7
379,13,4
380,15,6
381,19,2
382,3,7
383,13,4
384,19,3
385,21,6
386,18,3
387,2,4
388,2,4
389,9,2
390,18,3
391,12,3
392,6,6
393,18,7
394,15,2
395,18,7
396,16,5
397,17,3
398,12,1
399,14,2
400,16,4
401,23,3
402,15,7
403,13,1
404,20,5
405,19,6
406,4,1
407,99,1
408,23,7
409,4,6
410,16,3
411,8,6
412,7,4
413,16,4
414,10,7
415,14,4
416,21,2
417,0,3
418,8,5
419,17,3
420,18,5
421,2,7
422,19,7
423,18,6
424,18,4
425,21,4
426,14,3
427,99,3
428,13,5
429,10,2
430,9,1
431,21,3
432,22,1
433,19,1
434,13,6
435,15,6
436,13,6
437,0,3
438,5,5
439,17,3
440,15,6
441,20,3
442,19,2
443,17,5
444,23,7
445,16,7
446,16,3
447,20,7
448,21,2
449,10,1
450,4,3
451,18,1
452,15,1
453,22,7
454,21,7
455,13,3
456,3,4
457,14,6
458,20,4
459,9,2
460,22,6
461,19,4
462,11,4
463,16,3
464,22,6
465,16,4
466,16,1
467,5,6
468,23,7
469,15,1
470,16,4
471,22,5
472,99,4
473,1,7
474,20,2
475,23,5
476,18,4
477,9,3
478,15,4
479,22,6
480,13,5
481,20,2
482,13,5
483,15,6
484,14,6
485,20,6
486,0,2
487,21,2
488,17,5
489,16,2
490,14,5
491,1,1
492,13,6
493,22,3
494,12,6
495,10,6
496,22,4
497,11,1
498,17,3
499,13,7
500,23,4
501,1,3
502,13,7
503,1,6
504,18,5
505,16,5
506,9,7
507,0,1
508,1,4
509,13,3
510,20,4
511,10,6
512,22,4
513,7,6
514,6,5
515,19,6
516,7,2
517,19,5
518,1,1
519,21,4
520,20,1
521,15,4
522,19,6
523,20,5
524,7,4
525,18,1
526,18,2
527,18,2
528,15,2
529,13,3
530,12,5
531,7,4
532,12,7
533,20,2
534,22,3
535,18,2
536,20,2
537,18,1
538,8,2
539,20,4
540,21,6
541,15,1
542,13,6
543,20,5
544,13,1
545,18,7
546,2,5
547,13,1
548,22,6
549,18,7
550,17,4
551,21,5
552,15,2
553,3,2
554,1,1
555,20,2
556,0,4
557,23,3
558,14,3
559,18,7
560,19,2
561,21,1
562,15,7
563,15,2
564,23,2
565,17,5
566,13,5
567,21,2
568,15,4
569,19,4
570,21,3
571,20,5
572,20,7
573,21,6
574,16,7
575,18,2
576,16,6
577,16,4
578,21,2
579,22,7
580,14,6
581,19,6
582,12,1
583,19,7
584,23,7
585,19,5
586,9,4
587,12,1
588,19,1
589,19,6
590,21,6
591,22,3
592,20,7
593,17,1
594,2,7
595,23,1
596,17,2
597,20,7
598,8,1
599,18,5
600,20,7
601,20,5
602,20,5
603,7,3
604,20,1
605,1,2
606,12,6
607,20,6
608,22,1
609,16,4
610,19,7
611,0,7
612,19,4
613,21,1
614,20,2
615,10,4
616,23,4
617,17,5
618,18,5
619,19,5
620,17,2
621,17,5
622,7,4
623,23,7
624,1,1
625,22,1
626,18,6
627,19,5
628,18,3
629,7,1
630,15,2
631,14,1
632,23,6
633,17,3
634,17,7
635,18,4
636,15,5
637,15,1
638,11,5
639,15,2
640,5,4
641,17,6
642,2,5
643,8,1
644,15,1
645,0,4
646,6,4
647,23,3
648,21,3
649,17,6
650,2,7
651,10,1
652,16,4
653,22,6
654,5,3
655,22,7
656,6,7
657,17,1
658,12,5
659,11,5
660,14,3
661,22,2
662,22,6
663,22,4
664,7,2
665,21,4
666,18,5
667,3,7
668,16,7
669,18,7
670,21,5
671,12,2
672,13,6
673,22,7
674,7,3
675,5,3
676,19,5
677,18,4
678,16,2
679,21,3
680,5,3
681,17,4
682,16,3
683,20,3
684,20,3
685,14,7
686,15,7
687,17,1
688,9,3
689,14,7
690,20,4
691,6,2
692,7,2
693,20,2
694,22,1
695,20,6
696,18,4
697,16,1
698,19,4
699,19,4
700,12,1
701,3,7
702,20,3
703,19,2
704,8,2
705,9,1
706,7,3
707,20,7
708,18,4
709,1,4
710,18,4
711,12,5
712,18,6
713,19,4
714,23,4
715,2,1
716,23,5
717,18,1
718,18,2
719,20,3
720,7,5
721,21,5
722,22,3
723,18,1
724,17,2
725,11,5
726,23,6
727,7,3
728,18,7
729,20,5
730,7,7
731,11,3
732,22,4
733,5,2
734,16,6
735,20,1
736,0,2
737,13,3
738,16,5
739,13,6
740,15,7
741,23,7
742,16,7
743,13,7
744,14,5
745,18,5
746,18,5
747,19,7
748,20,3
749,0,3
750,19,3
751,23,7
752,20,4
753,20,3
754,6,2
755,0,6
756,13,7
757,23,1
758,23,6
759,20,7
760,6,4
761,11,5
762,6,5
763,5,7
764,20,3
765,2,1
766,11,4
767,15,6
768,9,2
769,8,3
770,7,3
771,18,2
772,4,5
773,17,1
774,19,2
775,11,5
776,11,3
777,19,2
778,18,5
779,11,3
780,6,3
781,20,1
782,15,1
783,10,2
784,15,6
785,19,1
786,21,1
787,12,7
788,22,6
789,23,1
790,14,2
791,16,4
792,15,7
793,14,2
794,21,6
795,0,2
796,5,4
797,20,5
798,10,5
799,6,3
800,19,6
801,17,2
802,10,1
803,6,4
804,6,4
805,10,6
806,15,2
807,18,4
808,12,5
809,16,6
810,10,1
811,14,5
812,8,4
813,7,7
814,8,2
815,1,6
816,14,6
817,17,3
818,19,2
819,19,2
820,21,7
821,22,6
822,22,6
823,18,2
824,21,7
825,7,6
826,7,4
827,16,7
828,21,2
829,22,6
830,19,1
831,14,3
832,19,7
833,0,7
834,12,1
835,10,4
836,15,4
837,12,7
838,20,4
839,5,7
840,22,7
841,20,2
842,0,6
843,20,1
844,9,6
845,14,1
846,16,2
847,12,6
848,8,6
849,16,1
850,12,3
851,21,7
852,22,5
853,7,2
854,12,6
855,7,5
856,22,6
857,5,7
858,18,3
859,11,2
860,13,7
861,1,7
862,18,3
863,23,7
864,20,2
865,17,5
866,22,6
867,11,4
868,13,4
869,2,1
870,5,2
871,19,3
872,2,1
873,19,5
874,15,7
875,12,7
876,22,3
877,6,6
878,19,7
879,2,7
880,0,1
881,10,1
882,19,7
883,0,3
884,18,2
885,6,2
886,15,7
887,10,7
888,22,6
889,18,7
890,18,3
891,2,7
892,0,6
893,15,5
894,6,4
895,20,1
896,7,2
897,20,1
898,22,5
899,18,6
900,20,5
901,18,1
902,22,7
903,7,3
904,19,1
905,20,1
906,20,1
907,20,2
908,14,1
909,16,5
910,14,2
911,13,7
912,12,1
913,20,1
914,8,6
915,11,7
916,19,1
917,18,7
918,14,2
919,8,1
920,18,6
921,16,3
922,7,4
923,6,5
924,13,6
925,16,7
926,0,7
927,11,6
928,22,6
929,20,2
930,20,2
931,8,5
932,22,4
933,18,2
934,17,4
935,17,1
936,18,1
937,16,4
938,18,1
939,18,7
940,19,7
941,1,7
942,6,4
943,10,6
944,10,2
945,17,2
946,19,5
947,5,7
948,10,4
949,20,6
950,21,7
951,18,1
952,20,4
953,21,3
954,1,2
955,18,3
956,20,5
957,20,6
958,18,7
959,14,7
960,13,2
961,11,1
962,9,5
963,21,1
964,14,7
965,18,3
966,17,2
967,15,5
968,16,5
969,10,4
970,19,7
971,6,2
972,11,3
973,8,5
974,16,6
975,12,6
976,18,2
977,7,3
978,2,3
979,18,2
980,1,1
981,18,7
982,10,7
983,16,4
984,9,2
985,16,1
986,17,1
987,9,3
988,11,3
989,19,2
990,16,4
991,22,3
992,18,4
993,13,2
994,1,7
995,3,3
996,2,7
997,12,3
998,12,6
999,7,2
1000,14,7
1001,12,2
1002,23,7
1003,23,6
1004,20,6
1005,15,3
1006,15,4
1007,13,6
1008,21,6
1009,15,3
1010,14,5
1011,10,5
1012,12,1
1013,13,1
1014,1,2
1015,20,3
1016,19,3
1017,11,2
1018,20,3
1019,4,7
1020,6,7
1021,17,1
1022,21,7
1023,16,6
1024,13,7
1025,21,3
1026,0,7
1027,22,5
1028,17,6
1029,14,7
1030,21,2
1031,7,3
1032,6,6
1033,17,7
1034,18,4
1035,12,5
1036,7,5
1037,18,2
1038,21,5
1039,5,2
1040,11,6
1041,9,4
1042,15,6
1043,5,2
1044,19,2
1045,6,6
1046,17,7
1047,19,6
1048,16,4
1049,18,4
1050,23,7
1051,22,3
1052,16,4
1053,15,5
1054,7,6
1055,7,6
1056,14,6
1057,7,2
1058,18,4
1059,8,1
1060,5,5
1061,3,4
1062,15,5
1063,15,2
1064,12,3
1065,23,7
1066,18,7
1067,15,6
1068,8,2
1069,8,5
1070,18,6
1071,18,6
1072,17,2
1073,17,2
1074,3,1
1075,15,3
1076,20,4
1077,10,1
1078,10,1
1079,5,7
1080,7,7
1081,21,2
1082,20,2
1083,10,7
1084,16,2
1085,20,1
1086,17,7
1087,11,7
1088,99,7
1089,12,1
1090,20,2
1091,17,2
1092,4,6
1093,22,2
1094,10,1
1095,19,7
1096,22,6
1097,6,5
1098,23,6
1099,6,3
1100,17,6
1101,15,2
1102,17,6
1103,5,1
1104,18,1
1105,3,6
1106,22,2
1107,11,5
1108,22,1
1109,18,5
1110,17,4
1111,20,5
1112,17,1
1113,8,4
1114,0,4
1115,3,1
1116,18,1
1117,1,7
1118,21,3
1119,19,6
1120,18,3
1121,15,7
1122,0,7
1123,15,2
1124,18,7
1125,23,6
1126,13,5
1127,9,7
1128,12,1
1129,10,2
1130,19,4
1131,8,6
1132,8,3
1133,1,1
1134,16,7
1135,22,4
1136,15,6
1137,13,4
1138,1,2
1139,2,3
1140,14,1
1141,23,2
1142,12,1
1143,17,4
1144,22,6
1145,0,4
1146,12,4
1147,7,5
1148,8,1
1149,15,2
1150,16,7
1151,16,2
1152,23,7
1153,7,6
1154,22,5
1155,19,3
1156,17,4
1157,16,5
1158,15,2
1159,1,7
1160,22,7
1161,15,5
1162,19,7
1163,23,1
1164,19,1
1165,8,5
1166,9,2
1167,1,1
1168,8,6
1169,8,5
1170,22,1
1171,10,6
1172,19,6
1173,9,7
1174,18,1
1175,7,1
1176,15,6
1177,23,6
1178,10,7
1179,4,7
1180,18,5
1181,22,4
1182,22,4
1183,4,2
1184,18,3
1185,22,1
1186,8,6
1187,17,5
1188,9,6
1189,6,1
1190,99,3
1191,20,6
1192,99,2
1193,17,1
1194,18,6
1195,22,6
1196,22,6
1197,5,2
1198,12,7
1199,8,4
1200,15,3
1201,7,2
1202,20,2
1203,6,3
1204,17,7
1205,22,1
1206,4,4
1207,22,1
1208,21,1
1209,14,2
1210,22,7
1211,18,5
1212,19,2
1213,2,7
1214,0,7
1215,12,4
1216,9,7
1217,14,1
1218,17,2
1219,0,2
1220,2,7
1221,14,3
1222,20,7
1223,17,5
1224,16,4
1225,5,7
1226,3,2
1227,1,5
1228,13,3
1229,10,2
1230,14,6
1231,14,3
1232,23,7
1233,18,6
1234,12,1
1235,5,3
