,acchr,dayofweek
0,17,3
1,9,4
2,18,6
3,18,6
4,12,1
5,14,1
6,10,1
7,2,1
8,18,6
9,3,4
10,8,1
11,14,1
12,3,1
13,10,1
14,18,3
15,21,5
16,11,3
17,11,3
18,3,7
19,18,6
20,16,7
21,20,7
22,20,2
23,15,3
24,17,6
25,21,3
26,16,4
27,22,2
28,23,5
29,3,1
30,18,6
31,13,5
32,20,7
33,20,2
34,23,4
35,12,1
36,12,1
37,9,5
38,14,2
39,1,1
40,13,4
41,17,2
42,14,6
43,20,3
44,21,3
45,2,2
46,16,3
47,0,6
48,9,4
49,14,6
50,3,1
51,3,4
52,10,4
53,20,1
54,10,3
55,5,2
56,13,5
57,10,1
58,21,6
59,20,4
60,20,3
61,20,3
62,1,4
63,8,1
64,18,3
65,2,1
66,2,1
67,13,5
68,0,2
69,18,7
70,11,6
71,18,4
72,14,5
73,14,7
74,21,3
75,20,7
76,8,3
77,10,3
78,16,7
79,10,1
80,10,1
81,10,1
82,20,7
83,20,7
84,20,4
85,18,3
86,18,3
87,23,4
88,13,5
89,18,7
90,21,6
91,13,7
92,7,5
93,13,6
94,2,2
95,11,3
96,11,4
97,13,2
98,13,2
99,17,2
100,3,1
101,11,2
102,18,6
103,15,1
104,4,1
105,4,1
106,14,3
107,15,4
108,20,4
109,1,4
110,15,3
111,13,5
112,12,1
113,0,2
114,9,5
115,15,2
116,11,7
117,18,7
118,18,7
119,17,6
120,14,1
121,12,5
122,18,7
123,18,7
124,3,7
125,21,5
126,22,2
127,17,5
128,17,5
129,17,5
130,0,7
131,13,2
132,20,1
133,18,6
134,23,4
135,3,4
136,4,1
137,5,2
138,13,5
139,10,1
140,15,7
141,15,3
142,18,3
143,2,1
144,19,5
145,14,2
146,11,7
147,15,5
148,18,7
149,17,6
150,17,6
151,15,7
152,18,7
153,21,6
154,9,3
155,18,4
156,9,7
157,9,7
158,18,3
159,9,6
160,9,6
161,14,6
162,14,4
163,14,5
164,13,6
165,2,2
166,16,3
167,16,3
168,12,2
169,12,2
170,17,3
171,16,4
172,10,6
173,13,7
174,11,4
175,22,7
176,13,2
177,13,2
178,8,3
179,22,6
180,11,2
181,19,3
182,22,6
183,3,2
184,4,1
185,18,6
186,18,6
187,19,2
188,19,2
189,19,2
190,21,6
191,15,2
192,11,2
193,11,2
194,15,5
195,5,5
196,23,4
197,0,2
198,9,5
199,15,5
200,13,7
201,13,7
202,16,1
203,16,1
204,13,4
205,7,5
206,7,5
207,14,7
208,14,7
209,21,5
210,21,5
211,22,2
212,2,2
213,2,2
214,21,7
215,17,3
216,7,5
217,10,6
218,17,1
219,17,1
220,13,2
221,13,2
222,8,3
223,22,6
224,11,2
225,18,6
226,19,3
227,10,4
228,20,1
229,14,3
230,20,4
231,15,7
232,12,3
233,12,3
234,18,3
235,20,2
236,5,5
237,5,5
238,5,5
239,15,2
240,15,2
241,11,7
242,18,3
243,22,5
244,3,1
245,18,7
246,12,5
247,10,1
248,18,4
249,16,1
250,16,1
251,17,2
252,10,7
253,14,4
254,13,7
255,19,5
256,8,6
257,0,1
258,13,2
259,17,2
260,20,7
261,23,3
262,9,7
263,16,1
264,17,1
265,16,2
266,18,4
267,13,2
268,6,1
269,23,2
270,20,7
271,13,2
272,17,2
273,20,2
274,16,4
275,17,3
276,16,5
277,13,7
278,10,6
279,7,4
280,18,7
281,15,2
282,23,6
283,16,1
284,15,7
285,22,5
286,21,5
287,9,3
288,16,5
289,16,4
290,12,7
291,6,6
292,15,3
293,16,5
294,15,1
295,14,7
296,10,1
297,12,6
298,0,7
299,22,5
300,18,7
301,17,3
302,6,3
303,0,5
304,11,4
305,10,3
306,1,7
307,19,5
308,4,2
309,13,6
310,22,7
311,18,4
312,22,6
313,17,6
314,15,4
315,22,7
316,11,7
317,17,3
318,22,2
319,19,6
320,15,4
321,12,1
322,19,6
323,16,6
324,15,2
325,0,3
326,15,7
327,15,7
328,19,1
329,0,1
330,23,6
331,14,3
332,10,7
333,18,7
334,22,6
335,21,2
336,7,6
337,22,4
338,8,2
339,15,5
340,18,5
341,14,5
342,20,7
343,10,2
344,9,1
345,7,5
346,1,7
347,7,6
348,20,6
349,4,3
350,9,4
351,15,2
352,15,1
353,20,3
354,17,5
355,21,6
356,14,1
357,13,1
358,14,1
359,21,5
360,19,2
361,21,3
362,17,6
363,18,3
364,15,4
365,16,4
366,18,7
367,13,2
368,11,4
369,7,6
370,19,6
371,0,3
372,21,1
373,13,1
374,12,3
375,17,7
376,17,7
377,13,1
378,6,5
379,11,7
380,16,6
381,11,7
382,14,5
383,15,6
384,15,6
385,18,4
386,21,1
387,16,5
388,6,5
389,19,7
390,10,6
391,17,5
