,acchr,dayofweek
0,17,2
1,14,6
2,20,3
3,7,2
4,21,3
5,2,2
6,16,3
7,0,6
8,9,4
9,14,6
10,19,5
11,10,4
12,20,1
13,14,7
14,10,3
15,2,7
16,5,2
17,10,1
18,21,6
19,6,5
20,6,5
21,20,3
22,20,3
23,1,4
24,19,3
25,2,1
26,0,2
27,18,7
28,15,3
29,11,6
30,16,4
31,18,4
32,5,4
33,14,5
34,14,7
35,21,3
36,20,7
37,15,7
38,8,3
39,10,3
40,16,7
41,4,6
42,20,7
43,20,4
44,18,2
45,18,1
46,16,7
47,18,3
48,23,4
49,13,5
50,21,6
51,1,7
52,2,7
53,1,4
54,20,1
55,4,1
56,2,7
57,21,6
58,1,7
59,1,7
60,0,1
61,6,1
62,23,6
63,3,1
64,23,7
65,3,7
66,2,6
67,1,1
68,2,6
69,2,7
70,21,7
71,4,7
72,3,1
73,2,7
74,8,1
75,21,6
76,21,7
77,10,1
78,3,1
79,16,6
80,16,6
81,16,4
82,18,4
83,10,5
84,21,5
85,21,7
86,7,5
87,16,3
88,1,4
89,14,1
90,15,4
91,12,1
92,0,2
93,12,5
94,7,2
95,21,3
96,21,3
97,13,6
98,11,6
99,8,3
100,14,7
101,1,3
102,3,1
103,23,5
104,9,4
105,16,1
106,20,1
107,4,7
108,14,1
109,20,5
110,23,4
111,8,1
112,22,6
113,22,5
114,11,6
115,13,7
116,15,5
117,18,7
118,22,1
119,7,3
120,15,1
121,4,1
122,15,1
123,4,1
124,18,6
125,11,5
126,15,2
127,1,4
128,5,4
129,17,6
130,2,5
131,16,4
132,23,7
133,8,6
134,8,1
135,15,1
136,0,4
137,6,4
138,19,6
139,23,3
140,21,3
141,17,6
142,2,7
143,10,1
144,16,3
145,16,4
146,16,1
147,7,4
148,22,6
149,14,6
150,5,3
151,3,1
152,22,7
153,6,7
154,1,6
155,17,1
156,12,5
157,11,5
158,18,3
159,14,3
160,15,5
161,22,2
162,14,5
163,22,6
164,15,7
165,13,1
166,22,4
167,7,2
168,21,4
169,18,5
170,3,7
171,20,6
