,acchr,dayofweek
0,16,4
1,18,3
2,9,6
3,9,6
4,14,6
5,14,4
6,14,5
7,13,6
8,2,2
9,16,3
10,16,3
11,12,2
12,5,6
13,17,3
14,16,4
15,10,6
16,13,7
17,11,4
18,22,7
19,13,2
20,13,2
21,16,5
22,17,1
23,22,6
24,11,2
25,19,3
26,22,6
27,3,2
28,18,6
29,18,6
30,19,2
31,19,2
32,21,6
33,15,2
34,11,2
35,11,2
36,15,5
37,23,4
38,9,5
39,21,4
40,15,5
41,13,7
42,16,1
43,16,1
44,13,4
45,7,5
46,7,5
47,14,7
48,21,5
49,22,2
50,18,4
51,17,3
52,7,5
53,10,6
54,17,1
55,17,1
56,13,2
57,13,2
58,22,6
59,11,2
60,18,6
61,19,3
62,10,4
63,20,1
64,14,3
65,20,4
66,15,7
67,8,4
68,12,3
69,18,3
70,20,2
71,5,5
72,5,5
73,5,5
74,10,7
75,15,2
76,11,7
77,18,3
78,22,5
79,18,7
80,12,5
81,18,4
82,4,7
83,16,1
84,8,4
85,16,1
86,15,7
87,22,4
88,22,4
89,17,1
90,7,2
91,11,5
92,18,7
93,12,2
94,16,5
95,17,4
96,18,7
97,18,7
98,1,4
99,18,3
100,10,4
101,10,7
102,11,6
103,13,1
104,15,1
105,6,2
106,9,1
107,0,4
108,10,7
109,14,7
110,16,2
111,18,7
112,10,1
113,4,1
114,12,3
115,11,4
116,7,5
117,15,2
118,18,3
119,18,3
120,13,7
121,14,6
122,17,2
123,17,2
124,17,7
125,9,7
126,22,1
127,12,7
128,11,6
129,8,6
130,20,2
131,12,7
132,14,7
133,12,4
134,11,7
135,19,3
136,16,5
137,12,2
138,9,6
139,18,3
140,17,1
141,8,2
142,7,4
143,22,4
144,20,4
145,16,6
146,23,6
147,13,6
148,13,6
149,17,2
150,18,3
151,12,4
152,15,1
153,8,3
154,15,3
155,13,3
156,1,4
157,15,6
158,7,5
159,5,3
160,20,3
161,7,2
162,19,2
163,20,6
164,19,7
165,12,1
166,17,3
167,9,2
168,4,5
169,17,6
170,16,7
171,20,3
172,0,1
173,10,5
174,19,7
175,17,3
176,12,4
177,22,6
178,22,6
179,16,3
180,9,5
181,21,5
182,10,6
183,10,6
184,10,6
185,20,6
186,8,6
187,7,4
188,15,6
189,16,5
190,23,7
191,21,6
192,12,1
193,1,7
194,9,3
195,21,5
196,19,5
197,8,3
198,12,2
199,18,3
200,18,7
201,15,3
202,9,6
203,19,5
204,11,4
205,9,7
206,17,4
207,10,2
208,99,3
209,14,5
210,13,4
211,22,5
212,7,4
213,8,3
214,17,4
215,7,3
216,12,6
217,19,7
