,acchr,dayofweek
0,19,5
1,18,7
2,5,1
3,3,7
4,2,1
5,22,6
6,15,3
7,1,1
8,1,1
9,3,1
10,2,6
11,2,2
12,22,2
13,21,2
14,3,7
15,1,7
16,13,7
17,1,7
18,2,7
19,1,4
20,20,1
21,4,1
22,2,7
23,21,6
24,1,7
25,1,7
26,0,1
27,6,1
28,23,6
29,3,1
30,23,7
31,3,7
32,2,6
33,1,1
34,2,6
35,2,7
36,21,7
37,4,7
38,3,1
39,2,7
40,8,1
41,21,6
42,21,7
43,10,1
44,3,1
45,14,4
46,0,7
47,6,5
48,22,6
49,0,1
50,3,1
51,10,1
52,0,7
53,16,3
54,23,3
55,3,7
56,2,1
57,20,1
58,17,6
59,3,2
60,1,1
61,22,7
62,18,7
63,18,7
64,22,7
65,13,7
66,19,4
67,17,7
68,20,3
69,13,6
70,1,6
71,0,6
72,23,4
73,20,7
74,13,5
75,22,7
76,15,6
77,2,7
78,17,7
79,23,7
80,21,3
81,15,3
82,6,4
83,5,6
84,3,5
85,14,5
86,23,2
87,1,3
88,0,2
89,0,1
90,21,5
91,18,7
92,23,6
93,2,7
94,3,7
95,2,1
96,19,7
97,1,2
98,20,7
99,1,7
100,12,6
101,18,2
102,9,6
103,8,7
104,22,4
105,1,4
106,2,6
107,2,7
108,1,7
109,4,7
110,3,5
111,6,1
112,0,1
113,13,4
114,23,3
115,2,7
116,22,7
117,6,6
118,5,4
119,4,1
120,0,1
121,23,7
122,6,6
123,5,6
124,15,7
125,0,1
126,4,1
127,7,3
128,2,7
129,4,2
130,3,1
131,2,1
132,5,6
133,6,1
134,2,7
135,5,5
136,1,3
137,3,6
138,23,3
139,4,1
140,19,2
141,11,1
142,9,7
143,4,1
144,4,1
145,2,1
146,99,2
147,23,6
148,19,6
149,4,2
150,1,3
151,7,5
152,4,6
153,0,7
154,23,6
155,4,6
156,23,1
157,15,4
158,0,1
159,4,1
160,21,6
161,4,7
162,23,2
163,23,7
164,16,7
165,23,3
166,20,7
