,acchr,dayofweek
0,18,3
1,18,6
2,16,7
3,20,7
4,15,3
5,17,6
6,22,2
7,23,5
8,3,1
9,20,2
10,12,1
11,14,2
12,1,1
13,13,4
14,17,2
15,14,6
16,20,3
17,21,3
18,2,2
19,16,3
20,0,6
21,9,4
22,14,6
23,10,4
24,20,1
25,10,3
26,5,2
27,10,1
28,21,6
29,20,3
30,20,3
31,1,4
32,2,1
33,0,2
34,18,7
35,11,6
36,18,4
37,14,5
38,14,7
39,21,3
40,20,7
41,8,3
42,10,3
43,16,7
44,20,7
45,20,4
46,18,3
47,23,4
48,13,5
49,21,6
50,13,6
51,11,3
52,11,4
53,13,2
54,13,2
55,17,2
56,11,2
57,18,6
58,15,1
59,4,1
60,14,3
61,15,4
62,20,4
63,1,4
64,13,5
65,0,2
66,9,5
67,15,2
68,11,7
69,18,7
70,17,6
71,14,1
72,12,5
73,18,7
74,3,7
75,21,5
76,22,2
77,17,5
78,17,5
79,13,2
80,20,1
81,23,4
82,3,4
83,13,5
84,10,1
85,15,7
86,15,3
87,19,5
88,14,2
89,11,7
90,15,5
91,15,7
92,18,7
93,21,6
94,9,3
95,18,4
96,9,7
97,18,3
98,9,6
99,9,6
100,14,6
101,14,4
102,14,5
103,13,6
104,2,2
105,16,3
106,16,3
107,12,2
108,17,3
109,16,4
110,10,6
111,13,7
112,11,4
113,22,7
114,13,2
115,13,2
116,22,6
117,11,2
118,19,3
119,22,6
120,3,2
121,18,6
122,18,6
123,19,2
124,19,2
125,21,6
126,15,2
127,11,2
128,11,2
129,15,5
130,23,4
131,9,5
132,15,5
133,13,7
134,16,1
135,16,1
136,13,4
137,7,5
138,7,5
139,14,7
140,21,5
141,22,2
142,17,3
143,7,5
144,10,6
145,17,1
146,17,1
147,13,2
148,13,2
149,22,6
150,11,2
151,18,6
152,19,3
153,10,4
154,20,1
155,14,3
156,20,4
157,15,7
158,12,3
159,18,3
160,20,2
161,5,5
162,5,5
163,5,5
164,15,2
165,11,7
166,18,3
167,22,5
168,18,7
169,12,5
170,18,4
171,16,1
172,17,1
173,18,4
174,13,2
175,18,7
176,15,2
177,23,6
178,16,1
179,15,7
180,22,5
181,21,5
182,9,3
183,16,4
184,12,7
185,6,6
186,15,3
187,16,5
188,15,1
189,14,7
190,10,1
191,12,6
192,0,7
193,22,5
194,18,7
195,17,3
196,6,3
197,0,5
198,10,3
199,1,7
200,19,5
201,13,6
202,22,7
203,18,4
204,22,6
205,17,6
206,15,4
207,22,7
208,11,7
209,17,3
210,22,2
211,19,6
212,15,4
213,12,1
214,16,6
215,15,2
216,0,3
217,15,7
218,19,1
219,0,1
220,23,6
221,14,3
222,10,7
223,18,7
224,22,6
225,21,2
226,7,6
227,22,4
228,8,2
229,15,5
230,18,5
231,14,5
232,20,7
233,10,2
234,9,1
235,7,5
236,1,7
237,7,6
238,20,6
239,4,3
240,9,4
241,15,2
242,15,1
243,20,3
244,17,5
245,21,6
246,14,1
247,13,1
248,14,1
249,21,5
250,19,2
251,21,3
252,17,6
253,18,3
254,15,4
255,16,4
256,18,7
257,11,4
258,19,6
259,0,3
260,21,1
261,13,1
262,12,3
263,17,7
264,17,7
265,13,1
266,6,5
267,11,7
268,16,6
269,11,7
270,14,5
271,15,6
272,18,4
273,21,1
274,6,5
275,19,7
276,10,6
277,17,5
278,18,6
279,16,6
280,19,4
281,10,4
282,10,4
283,7,3
284,17,2
285,13,3
286,20,7
287,1,4
288,15,7
289,3,5
290,23,7
291,15,6
292,17,6
293,17,6
294,7,2
295,20,5
296,17,3
297,8,6
298,18,2
299,14,4
300,12,6
301,14,7
302,7,5
303,18,3
304,9,7
305,18,6
306,12,2
307,11,4
308,12,2
309,17,5
310,11,3
311,14,2
312,17,3
313,23,7
314,1,7
315,7,3
316,15,4
317,17,5
318,19,4
319,1,6
320,22,7
321,18,7
322,21,7
323,2,5
324,12,3
325,17,2
326,5,1
327,13,2
328,15,3
329,20,5
330,6,4
331,14,3
332,13,3
333,11,6
334,11,2
335,13,7
336,2,5
337,17,7
338,20,4
339,9,6
340,22,7
341,19,3
342,15,3
343,16,5
344,18,3
345,18,6
346,2,4
347,6,6
348,15,2
349,18,7
350,16,5
351,10,5
352,17,3
353,18,7
354,16,2
355,23,3
356,15,7
357,13,1
358,20,5
359,19,6
360,16,4
361,15,2
362,18,7
363,19,2
364,4,1
365,23,7
366,4,6
367,16,3
368,8,6
369,7,4
370,8,5
371,2,7
372,18,4
373,14,3
374,99,3
375,10,2
376,15,6
377,18,7
378,14,3
379,14,4
380,18,3
381,22,1
382,22,1
383,15,6
384,0,3
385,15,5
386,10,6
387,20,3
388,19,2
389,17,5
390,16,3
391,4,3
