,acchr,dayofweek
0,16,5
1,2,1
2,8,4
3,8,4
4,5,5
5,8,4
6,5,5
7,11,2
8,16,5
9,4,7
10,19,3
11,1,1
12,1,1
13,1,1
14,4,7
15,1,3
16,1,3
17,1,1
18,4,7
19,1,3
20,4,7
21,3,2
22,19,3
23,19,3
24,4,7
25,3,2
26,1,1
27,5,5
28,8,3
29,21,5
30,16,2
31,17,1
32,7,5
33,19,3
34,18,2
35,19,5
36,18,1
37,21,4
38,19,2
39,18,7
40,17,5
41,13,3
42,15,2
43,17,2
44,21,2
45,19,6
46,21,1
47,17,5
48,20,4
49,8,4
50,18,4
51,22,6
52,19,6
53,19,6
54,21,5
55,18,1
56,14,4
57,14,1
58,6,3
59,22,6
60,7,4
61,16,2
62,19,3
63,8,1
64,20,5
65,16,4
66,18,1
67,17,5
68,16,4
69,11,7
70,21,2
71,14,7
72,6,6
73,14,6
74,20,4
75,7,5
76,7,5
77,22,7
78,8,4
79,18,1
80,4,2
81,21,2
82,21,6
83,21,1
84,18,3
85,19,3
86,0,7
87,23,6
88,20,2
89,4,3
90,6,4
91,19,7
92,20,4
93,15,7
94,12,7
95,5,2
96,21,5
97,18,3
98,18,4
99,18,4
100,15,5
101,21,6
102,19,6
103,13,3
104,16,5
105,6,6
106,22,7
107,16,4
108,23,7
109,12,3
110,0,4
111,21,6
112,3,7
113,2,1
114,19,3
115,0,7
116,19,7
117,21,7
118,22,7
119,19,2
120,15,3
121,23,1
122,19,5
123,15,5
124,20,7
125,20,3
126,16,5
127,15,3
128,14,4
129,13,5
130,6,3
131,19,1
132,11,2
133,21,3
134,6,6
135,0,1
136,23,7
137,15,3
138,22,3
139,13,6
140,5,5
141,3,1
142,22,6
143,17,3
144,18,4
145,21,6
146,22,7
147,21,7
148,2,6
149,18,4
150,13,7
151,18,5
152,16,5
153,11,5
154,23,6
155,19,6
156,18,6
157,20,2
158,20,4
159,3,7
160,21,3
161,8,4
162,13,1
163,10,6
164,16,6
165,23,3
166,20,7
167,2,2
168,14,5
169,21,6
170,21,4
171,2,1
172,2,6
173,23,4
174,2,7
175,14,3
176,7,4
177,18,2
178,22,1
179,19,5
180,18,3
181,23,6
182,21,7
183,23,3
184,22,4
185,18,2
186,2,5
187,0,1
188,14,3
189,22,6
190,18,5
191,19,7
192,14,6
193,20,4
194,4,2
195,18,1
196,18,5
197,19,6
198,20,3
199,18,5
200,19,3
201,13,7
202,1,5
203,18,2
204,20,1
205,0,2
206,19,4
207,19,2
208,18,4
209,20,2
210,22,6
211,0,7
212,15,5
213,15,4
214,22,6
215,19,7
216,22,6
217,22,4
218,23,7
219,4,6
220,21,6
221,0,2
222,0,7
223,19,5
224,0,1
225,19,7
226,5,2
227,11,3
228,21,5
229,6,4
230,20,1
231,19,3
232,20,2
233,20,1
234,19,2
235,21,4
236,19,7
237,1,7
238,16,1
239,11,3
240,19,2
241,19,2
242,1,1
243,7,1
244,3,4
245,4,2
246,22,3
247,21,5
248,6,2
249,18,2
250,1,4
251,10,7
252,22,3
253,3,2
254,21,2
255,2,7
256,18,4
257,19,5
258,3,2
259,5,5
260,15,2
261,3,7
262,2,1
263,1,4
264,22,2
265,4,6
266,5,6
267,0,2
268,20,1
