,acchr,dayofweek
0,20,3
1,2,2
2,2,6
3,16,3
4,0,6
5,9,4
6,14,6
7,3,1
8,19,5
9,3,4
10,10,4
11,2,7
12,5,2
13,13,5
14,10,1
15,21,6
16,20,4
17,2,1
18,6,5
19,6,5
20,6,5
21,6,5
22,6,5
23,20,3
24,20,3
25,19,3
26,8,1
27,18,3
28,0,2
29,18,7
30,11,6
31,16,4
32,18,4
33,21,3
34,15,7
35,8,3
36,10,3
37,16,7
38,10,1
39,10,1
40,10,1
41,22,2
42,20,7
43,20,4
44,18,2
45,18,3
46,18,3
47,23,4
48,21,2
49,13,5
50,21,6
51,21,7
52,2,6
53,1,7
54,19,5
55,1,3
56,18,7
57,5,1
58,2,7
59,1,4
60,20,1
61,22,6
62,4,1
63,2,7
64,2,7
65,21,6
66,21,6
67,1,7
68,1,7
69,1,7
70,22,4
71,0,1
72,0,1
73,1,7
74,0,1
75,6,1
76,3,1
77,3,1
78,23,7
79,3,7
80,2,6
81,2,6
82,1,1
83,1,1
84,1,1
85,2,6
86,2,7
87,2,7
88,21,7
89,21,7
90,4,7
91,3,1
92,3,1
93,3,1
94,2,7
95,2,7
96,18,1
97,1,7
98,21,2
99,21,6
100,21,7
101,21,7
102,21,7
103,10,1
104,3,1
105,3,1
106,23,7
107,17,7
108,16,6
109,18,4
110,20,3
111,2,6
112,19,5
113,12,2
114,21,7
115,7,5
116,2,7
117,16,3
118,4,7
119,4,7
120,0,6
121,23,4
122,23,4
123,20,7
124,2,7
125,19,5
126,19,3
127,1,4
128,10,3
129,14,1
130,14,1
131,15,4
132,10,1
133,4,6
134,4,6
135,20,4
136,1,1
137,1,1
138,2,7
139,2,7
140,20,5
141,20,5
142,10,7
143,10,7
144,12,1
145,0,2
146,1,7
147,0,1
148,22,5
149,7,2
150,21,3
151,13,6
152,13,6
153,13,6
154,13,6
155,11,6
156,11,6
157,20,6
158,4,3
159,4,3
160,13,4
161,8,3
162,18,4
163,7,5
164,14,5
165,14,5
166,13,6
167,14,7
168,1,3
169,1,3
170,5,6
171,4,7
172,3,1
173,22,2
174,2,7
175,20,7
176,3,1
177,23,5
178,8,3
179,20,1
180,16,1
181,16,1
182,19,4
183,19,4
184,4,7
185,2,2
186,15,4
187,4,6
188,2,7
189,23,4
190,8,1
191,1,7
192,22,6
193,15,3
194,18,7
195,1,1
196,1,3
197,1,3
198,23,6
199,13,6
200,4,3
201,4,3
202,4,3
203,4,3
204,13,7
205,15,5
206,18,7
207,22,1
208,7,3
209,15,1
210,15,1
211,4,1
212,18,6
213,11,5
214,15,2
215,5,4
216,23,7
217,15,1
218,0,4
219,6,4
220,23,3
221,23,3
222,21,3
223,17,6
224,2,7
225,10,1
226,16,3
227,16,1
228,22,6
229,5,3
230,22,7
231,6,7
232,17,1
233,11,5
234,18,3
235,14,3
236,22,2
237,14,5
238,22,6
239,15,7
240,22,4
241,7,2
242,21,4
243,20,6
244,16,7
245,22,4
246,18,7
247,21,5
248,12,2
249,13,6
250,19,2
251,22,7
252,2,4
253,5,3
254,19,5
255,18,4
