,acchr,dayofweek
0,9,6
1,9,6
2,14,4
3,10,5
4,2,2
5,12,2
6,5,6
7,17,3
8,16,4
9,11,4
10,22,7
11,11,2
12,19,3
13,22,6
14,3,2
15,18,6
16,19,2
17,19,2
18,15,2
19,5,7
20,5,7
21,5,7
22,5,7
23,5,7
24,11,2
25,15,5
26,5,5
27,23,4
28,21,4
29,15,5
30,13,7
31,16,1
32,16,1
33,5,4
34,7,5
35,7,5
36,14,7
37,10,5
38,21,5
39,22,2
40,18,4
41,21,7
42,17,3
43,7,5
44,10,6
45,17,1
46,13,2
47,22,6
48,18,6
49,19,3
50,10,4
51,20,1
52,14,3
53,20,4
54,15,7
55,5,7
56,5,7
57,12,3
58,18,3
59,20,2
60,5,5
61,5,5
62,5,5
63,10,7
64,11,7
65,18,3
66,22,5
67,18,7
68,10,1
69,4,7
70,16,1
71,8,4
72,17,1
73,15,7
74,22,4
75,17,1
76,7,2
77,12,2
78,18,7
79,1,4
80,18,3
81,10,4
82,10,7
83,6,2
84,9,1
85,0,4
86,10,7
87,16,2
88,11,4
89,7,5
90,18,3
91,18,3
92,13,7
93,14,6
94,17,2
95,17,2
96,17,7
97,9,7
98,22,1
99,0,4
100,12,7
101,11,6
102,20,2
103,12,7
104,14,7
105,12,4
106,16,5
107,12,2
108,9,6
109,8,2
110,7,4
111,1,7
112,22,4
113,20,4
114,18,4
115,16,6
116,23,6
117,13,6
118,13,6
119,17,2
120,13,2
121,1,4
122,5,3
123,7,2
124,19,2
125,22,1
126,20,6
127,19,7
128,12,1
129,17,3
130,9,2
131,4,5
132,17,6
133,0,1
134,18,7
135,17,3
136,21,5
137,12,4
138,22,6
139,22,6
140,16,3
141,9,5
142,21,5
143,10,6
144,10,6
145,10,6
146,20,6
147,8,6
148,7,4
149,15,6
150,23,7
151,12,1
152,1,7
153,9,3
154,9,1
155,8,3
156,12,2
157,18,3
158,18,7
159,18,6
160,15,3
161,21,5
162,9,6
163,19,5
164,10,2
165,99,3
166,18,4
167,13,4
168,22,5
169,7,4
170,19,7
171,10,1
172,17,4
173,7,3
174,16,4
175,12,6
176,19,7
177,10,3
178,1,4
179,18,4
180,9,1
181,7,4
182,14,4
183,21,4
184,15,6
185,4,6
186,12,1
187,21,5
188,18,7
189,20,5
190,14,3
191,11,4
192,21,5
193,11,6
194,23,3
195,18,7
196,9,3
197,9,3
198,6,5
199,6,5
200,12,2
201,13,5
202,16,7
203,9,7
204,16,2
205,11,5
206,15,3
207,9,6
208,18,1
209,10,7
210,15,7
211,9,5
212,15,1
213,8,7
214,15,6
215,6,6
216,10,3
217,10,3
218,7,4
219,13,6
220,16,1
221,20,6
222,20,6
223,19,3
224,6,4
225,15,3
226,15,4
227,10,4
228,13,4
229,7,1
230,8,4
231,9,5
232,19,7
233,12,6
234,6,5
235,8,4
236,11,4
237,0,2
238,0,1
239,16,2
240,19,2
241,19,2
242,23,3
243,17,4
244,7,7
245,12,7
246,4,6
247,15,2
248,16,2
249,23,3
250,10,6
251,10,5
252,18,2
253,21,2
254,11,3
255,12,4
256,18,7
257,22,3
