,acchr,dayofweek
0,18,6
1,0,1
2,10,1
3,2,1
4,2,7
5,10,1
6,21,5
7,11,3
8,3,7
9,16,3
10,23,6
11,23,6
12,20,1
13,20,1
14,20,2
15,0,1
16,0,1
17,15,3
18,18,3
19,2,6
20,16,7
21,22,2
22,16,5
23,3,1
24,16,3
25,16,3
26,23,6
27,19,3
28,15,6
29,13,2
30,13,2
31,12,1
32,9,5
33,0,1
34,1,7
35,18,3
36,20,3
37,2,2
38,2,6
39,0,6
40,9,4
41,14,6
42,3,1
43,3,4
44,10,4
45,13,5
46,10,1
47,21,6
48,19,3
49,8,1
50,18,3
51,0,2
52,11,6
53,15,7
54,8,3
55,10,1
56,10,1
57,10,1
58,22,2
59,18,3
60,18,3
61,23,4
62,21,2
63,21,7
64,11,3
65,11,4
66,13,2
67,19,4
68,4,1
69,5,7
70,11,7
71,18,7
72,3,7
73,21,5
74,5,6
75,5,6
76,3,4
77,4,1
78,13,5
79,10,1
80,15,3
81,18,3
82,11,7
83,21,4
84,17,6
85,15,7
86,9,7
87,10,5
88,2,2
89,12,2
90,11,4
91,5,7
92,5,7
93,5,7
94,5,7
95,5,7
96,5,5
97,23,4
98,21,4
99,15,5
100,16,1
101,5,4
102,14,7
103,10,5
104,21,5
105,22,2
106,18,4
107,21,7
108,17,1
109,10,4
110,5,7
111,5,7
112,18,3
113,5,5
114,11,7
115,22,5
116,10,1
117,19,3
118,5,7
119,16,2
120,8,4
121,17,1
122,8,2
123,17,2
124,19,6
125,20,4
126,14,4
127,14,7
128,8,6
129,19,2
130,18,7
131,13,4
132,17,5
133,17,2
134,19,6
135,0,1
136,17,5
137,13,2
138,3,7
139,9,7
140,20,1
141,18,4
142,22,6
143,19,6
144,21,5
145,12,7
146,15,6
147,7,4
148,16,2
149,8,1
150,17,4
151,23,2
152,20,7
153,19,1
154,13,2
155,22,7
156,17,2
157,16,4
158,17,5
159,16,4
160,17,3
161,16,5
162,13,7
163,21,1
164,6,6
165,0,4
166,5,6
167,20,4
168,9,3
169,2,5
170,15,7
171,6,6
172,7,2
173,15,3
174,5,4
175,3,6
176,15,1
177,14,7
178,10,1
179,19,1
180,15,6
181,2,6
182,0,7
183,22,5
184,18,1
185,21,1
