,acchr,dayofweek
0,17,3
1,18,6
2,10,1
3,2,1
4,18,6
5,10,1
6,21,5
7,11,3
8,3,7
9,20,7
10,20,2
11,16,4
12,22,2
13,3,1
14,20,7
15,20,2
16,12,1
17,12,1
18,9,5
19,14,2
20,13,4
21,20,3
22,2,2
23,16,3
24,0,6
25,9,4
26,14,6
27,3,1
28,3,4
29,10,4
30,5,2
31,13,5
32,10,1
33,21,6
34,20,4
35,20,3
36,20,3
37,8,1
38,18,3
39,0,2
40,18,7
41,11,6
42,18,4
43,21,3
44,8,3
45,10,3
46,16,7
47,10,1
48,10,1
49,10,1
50,20,7
51,20,4
52,18,3
53,18,3
54,23,4
55,13,5
56,21,6
57,11,3
58,11,4
59,13,2
60,13,2
61,18,6
62,4,1
63,4,1
64,14,3
65,15,4
66,20,4
67,13,5
68,11,7
69,17,6
70,12,5
71,18,7
72,3,7
73,21,5
74,17,5
75,13,2
76,20,1
77,23,4
78,3,4
79,4,1
80,5,2
81,13,5
82,10,1
83,15,3
84,18,3
85,14,2
86,11,7
87,15,5
88,17,6
89,15,7
90,18,7
91,21,6
92,9,3
93,18,4
94,9,7
95,9,6
96,9,6
97,14,4
98,2,2
99,12,2
100,17,3
101,16,4
102,11,4
103,22,7
104,11,2
105,19,3
106,22,6
107,3,2
108,18,6
109,19,2
110,19,2
111,15,2
112,11,2
113,15,5
114,5,5
115,23,4
116,15,5
117,13,7
118,16,1
119,16,1
120,7,5
121,7,5
122,14,7
123,21,5
124,22,2
125,21,7
126,17,3
127,7,5
128,10,6
129,17,1
130,13,2
131,22,6
132,18,6
133,19,3
134,10,4
135,20,1
136,14,3
137,20,4
138,15,7
139,12,3
140,18,3
141,20,2
142,5,5
143,5,5
144,5,5
145,11,7
146,18,3
147,22,5
148,18,7
149,10,1
150,16,1
151,17,2
152,14,4
153,8,6
154,0,1
155,13,2
156,9,7
157,17,1
158,18,4
159,13,2
160,23,2
161,20,7
162,13,2
163,17,2
164,16,4
165,17,3
166,16,5
167,13,7
168,18,7
169,15,2
170,22,5
171,21,5
172,9,3
173,16,4
174,12,7
175,6,6
176,15,3
177,15,1
178,14,7
179,10,1
180,0,7
181,22,5
182,18,7
183,6,3
184,0,5
185,11,4
186,10,3
187,13,6
188,22,7
189,22,6
190,15,4
191,11,7
192,17,3
193,22,2
194,15,4
195,16,6
196,0,3
197,15,7
198,0,1
199,23,6
200,10,7
201,18,7
202,21,2
203,7,6
204,22,4
205,8,2
206,14,5
207,7,5
208,1,7
209,7,6
210,20,6
211,9,4
212,15,1
213,20,3
214,17,5
215,21,6
216,14,1
217,13,1
218,14,1
219,21,5
220,21,3
221,17,6
222,15,4
223,16,4
224,11,4
225,7,6
226,21,1
227,12,3
228,17,7
229,6,5
230,11,7
231,11,7
232,15,6
233,15,6
234,18,4
235,21,1
236,16,5
237,6,5
238,10,6
239,17,5
240,18,6
241,17,2
242,20,7
243,1,4
244,15,7
245,3,5
246,23,7
247,15,6
248,17,6
249,17,6
250,16,5
251,0,7
252,2,1
253,12,6
254,14,7
255,7,5
256,9,7
257,18,6
258,12,2
259,12,2
260,17,5
261,14,2
262,17,3
263,22,6
264,23,7
265,7,3
266,19,4
267,1,6
268,22,7
269,18,7
270,2,5
271,12,3
272,17,2
273,5,1
274,13,2
275,20,5
276,6,4
277,2,5
278,14,3
279,11,6
280,11,2
281,13,7
282,17,7
283,20,4
284,9,6
285,22,7
286,19,3
287,15,3
288,16,5
289,18,3
290,18,6
291,2,4
292,6,6
293,12,7
294,16,5
295,10,5
296,17,3
297,18,7
298,23,3
299,15,7
300,20,5
301,16,4
302,15,2
303,19,2
304,17,3
305,4,1
306,23,7
307,16,3
308,7,4
309,2,7
310,14,3
311,99,3
312,10,2
313,15,6
314,14,3
315,18,3
316,22,1
317,22,1
318,23,7
319,0,3
320,11,2
321,15,5
322,10,6
323,4,3
324,18,1
325,15,1
326,16,7
327,2,3
328,22,6
329,17,3
330,20,3
331,0,2
332,15,2
333,16,4
334,13,6
335,16,4
336,20,2
337,18,5
338,17,6
339,14,5
340,16,3
341,21,2
342,10,3
343,9,3
344,22,6
345,20,2
346,12,4
347,20,7
348,15,6
349,14,6
350,21,2
351,17,5
352,16,2
353,16,7
354,11,3
355,16,4
356,15,4
357,1,2
358,13,6
359,12,6
360,11,1
361,17,3
362,13,7
363,16,4
364,23,4
365,1,3
366,1,6
367,9,7
368,0,1
369,1,4
370,7,6
371,19,2
372,19,6
373,19,7
374,19,7
375,17,4
376,22,7
377,18,1
378,12,5
379,18,2
380,8,2
381,15,6
382,21,6
