,acchr,dayofweek
0,9,6
1,9,6
2,14,4
3,2,2
4,5,6
5,17,3
6,16,4
7,11,4
8,22,7
9,11,2
10,19,3
11,22,6
12,3,2
13,18,6
14,19,2
15,19,2
16,15,2
17,11,2
18,15,5
19,23,4
20,15,5
21,13,7
22,16,1
23,16,1
24,7,5
25,7,5
26,14,7
27,21,5
28,22,2
29,18,4
30,17,3
31,7,5
32,10,6
33,17,1
34,13,2
35,22,6
36,18,6
37,19,3
38,10,4
39,20,1
40,14,3
41,20,4
42,15,7
43,12,3
44,18,3
45,20,2
46,5,5
47,5,5
48,5,5
49,10,7
50,11,7
51,18,3
52,22,5
53,18,7
54,4,7
55,16,1
56,22,7
57,19,4
58,17,7
59,20,3
60,13,6
61,1,6
62,0,6
63,23,4
64,20,7
65,13,5
66,15,6
67,3,7
68,13,6
69,14,7
70,15,3
71,3,1
72,12,5
73,14,3
74,13,7
75,15,4
76,2,7
77,12,3
78,15,5
79,11,1
80,1,3
81,15,7
82,14,1
83,14,1
84,7,2
85,9,3
86,20,6
87,18,4
88,11,6
89,7,5
90,7,5
91,14,7
92,11,3
93,12,2
94,5,6
95,16,4
96,3,1
97,13,7
98,19,3
99,12,5
100,12,5
101,15,1
102,13,7
103,15,4
104,15,4
105,2,1
106,12,6
107,15,5
108,19,5
109,0,1
110,12,5
111,11,7
112,20,6
113,8,4
114,15,7
115,22,4
116,17,1
117,7,2
118,12,2
119,18,7
120,1,4
121,18,3
122,10,4
123,10,7
124,6,2
125,9,1
126,0,4
127,10,7
128,16,2
129,11,4
130,7,5
131,18,3
132,18,3
133,13,7
134,14,6
135,17,2
136,17,2
137,17,7
138,9,7
139,22,1
140,12,7
141,11,6
142,20,2
143,12,7
144,14,7
145,12,4
146,16,5
147,12,2
148,9,6
149,8,2
150,7,4
151,22,4
152,20,4
153,16,6
154,23,6
155,13,6
156,13,6
157,17,2
158,1,4
159,5,3
160,7,2
161,19,2
162,20,6
163,19,7
164,12,1
165,17,3
166,9,2
167,4,5
168,17,6
169,0,1
170,17,3
171,12,4
172,22,6
173,22,6
174,16,3
175,9,5
176,21,5
177,10,6
178,10,6
179,10,6
180,20,6
181,8,6
182,7,4
183,15,6
184,23,7
185,12,1
186,1,7
187,9,3
188,8,3
189,12,2
190,18,3
191,18,7
192,15,3
193,9,6
194,19,5
195,10,2
196,99,3
197,13,4
198,22,5
199,7,4
200,17,4
201,7,3
202,12,6
203,19,7
204,10,3
205,1,4
206,18,4
207,7,4
208,14,4
209,21,4
210,15,6
211,4,6
212,12,1
213,21,5
214,18,7
215,11,4
216,21,5
217,11,6
218,18,7
219,9,3
220,9,3
221,6,5
222,12,2
223,13,5
224,16,7
225,9,7
226,16,2
227,11,5
228,15,3
229,9,6
230,18,1
231,10,7
232,15,7
233,9,5
234,15,1
235,15,6
236,6,6
237,10,3
238,10,3
239,13,6
240,16,1
241,20,6
242,20,6
243,19,3
244,6,4
245,15,3
246,15,4
247,10,4
248,13,4
249,7,1
250,8,4
251,19,7
252,12,6
253,6,5
254,8,4
255,11,4
256,16,2
257,19,2
