,acchr,dayofweek
0,13,2
1,23,6
2,20,7
3,12,6
4,11,1
5,18,3
6,1,1
7,22,2
8,3,1
9,8,1
10,20,1
11,20,2
12,13,2
13,12,1
14,0,1
15,14,2
16,13,4
17,20,3
18,2,2
19,16,3
20,0,6
21,9,4
22,14,6
23,19,5
24,10,4
25,2,7
26,5,2
27,10,1
28,21,6
29,6,5
30,6,5
31,20,3
32,20,3
33,19,3
34,0,2
35,18,7
36,11,6
37,16,4
38,18,4
39,21,3
40,15,7
41,8,3
42,10,3
43,16,7
44,20,7
45,20,4
46,18,2
47,18,3
48,23,4
49,13,5
50,21,6
51,11,3
52,16,7
53,11,4
54,13,2
55,13,2
56,18,6
57,19,4
58,4,1
59,14,3
60,15,4
61,20,4
62,11,6
63,13,5
64,22,4
65,11,7
66,17,6
67,12,5
68,3,7
69,21,5
70,17,5
71,13,2
72,20,1
73,23,4
74,3,4
75,13,5
76,10,1
77,15,3
78,10,7
79,5,7
80,14,2
81,11,7
82,15,5
83,15,7
84,18,7
85,21,6
86,9,3
87,18,4
88,9,7
89,9,6
90,9,6
91,14,4
92,2,2
93,5,6
94,17,3
95,16,4
96,11,4
97,22,7
98,11,2
99,19,3
100,22,6
101,3,2
102,18,6
103,19,2
104,19,2
105,15,2
106,11,2
107,15,5
108,23,4
109,15,5
110,13,7
111,16,1
112,16,1
113,7,5
114,7,5
115,14,7
116,21,5
117,22,2
118,18,4
119,17,3
120,7,5
121,10,6
122,17,1
123,13,2
124,22,6
125,18,6
126,19,3
127,10,4
128,20,1
129,14,3
130,20,4
131,15,7
132,12,3
133,18,3
134,20,2
135,5,5
136,5,5
137,5,5
138,10,7
139,11,7
140,18,3
141,22,5
142,18,7
143,4,7
144,16,1
145,8,2
146,19,6
147,17,1
148,18,4
149,13,2
150,18,7
151,0,1
152,14,6
153,15,2
154,0,4
155,5,6
156,23,5
157,5,5
158,13,7
159,13,1
160,0,1
161,22,5
162,21,5
163,9,3
164,1,7
165,6,2
166,2,1
167,2,5
168,17,3
169,16,4
170,12,7
171,15,7
172,6,6
173,7,2
174,15,3
175,15,3
176,3,6
177,15,1
178,14,7
179,10,1
180,19,1
181,15,6
182,2,6
183,0,7
184,22,5
185,18,1
186,21,1
187,18,1
188,18,7
189,6,3
190,0,5
191,10,3
192,14,3
193,1,7
194,21,6
195,13,6
196,2,7
197,22,7
198,22,6
199,23,5
200,15,4
201,9,5
202,18,4
203,11,7
204,13,7
205,17,3
206,12,7
207,22,4
208,13,1
209,21,2
210,22,2
211,16,4
212,15,2
213,5,4
214,15,4
215,16,6
216,0,3
217,16,4
218,21,3
219,14,5
220,0,1
221,19,4
222,23,6
223,19,5
224,18,7
225,12,5
226,17,4
227,10,7
228,18,7
229,18,1
230,3,5
231,2,5
232,23,2
233,16,3
234,17,5
235,21,2
236,13,7
237,7,6
238,22,4
239,22,3
240,8,2
241,15,7
242,14,5
243,21,2
244,1,7
245,22,7
246,7,5
247,1,7
248,7,6
249,16,6
250,20,6
251,9,4
252,18,7
253,19,5
254,15,1
255,20,3
256,17,5
257,21,6
258,13,4
259,14,1
260,4,6
261,13,1
262,14,1
263,21,5
264,21,3
265,11,3
266,11,6
267,20,7
268,5,4
269,21,2
270,0,5
271,14,2
272,17,6
273,15,4
274,12,5
275,21,2
276,16,4
277,19,3
278,1,7
279,11,4
280,20,4
281,23,2
282,15,2
283,0,7
284,21,1
285,12,3
286,11,7
287,17,7
288,16,4
289,6,5
290,11,7
291,11,7
292,19,5
293,14,4
294,0,7
295,15,6
296,18,4
297,22,1
298,14,2
299,21,1
300,6,5
301,7,2
302,10,6
303,17,5
304,8,2
305,20,3
306,18,6
307,20,2
308,17,2
309,22,1
310,9,4
311,20,7
312,16,7
313,5,7
314,1,4
315,15,7
316,22,4
317,19,1
318,3,5
319,20,1
320,23,7
321,0,7
322,15,6
323,19,2
324,17,6
325,15,6
326,17,6
327,16,1
328,19,1
329,23,6
330,8,5
331,15,6
332,16,4
333,14,3
334,11,6
335,18,4
336,12,6
337,17,1
338,8,2
339,14,7
340,7,5
341,1,1
342,9,7
343,18,6
344,12,2
345,12,2
346,17,5
347,19,7
348,23,5
349,14,2
350,17,3
351,23,7
352,7,3
353,21,2
354,22,3
355,21,6
356,8,4
357,16,3
358,19,4
359,19,1
360,21,2
361,1,6
362,4,3
363,21,2
364,22,7
365,18,7
366,16,3
367,5,3
368,22,6
369,2,5
370,12,3
371,17,2
372,2,2
373,22,2
374,1,2
375,5,1
376,13,2
377,7,3
378,20,5
379,10,5
380,1,5
381,6,4
382,5,4
383,14,3
384,10,7
385,17,2
386,11,6
387,99,2
388,11,2
389,18,5
390,21,2
391,20,7
392,13,7
393,3,7
394,1,6
395,17,7
396,2,7
397,20,4
398,4,3
399,9,6
400,13,4
401,22,7
402,19,3
403,15,3
404,16,5
405,18,3
406,18,6
407,9,2
408,6,6
409,7,4
410,20,1
411,16,5
412,10,5
413,6,3
414,20,1
415,17,3
416,18,7
417,3,7
418,14,2
419,14,2
420,23,3
421,15,7
422,20,5
423,16,4
424,15,2
425,22,1
426,18,1
427,19,2
428,17,4
429,4,1
430,99,1
431,23,7
432,16,3
433,7,4
434,16,4
435,10,7
436,21,2
437,0,3
438,18,5
439,17,3
440,18,5
441,2,7
442,21,4
443,14,3
444,99,3
445,10,2
446,15,6
447,18,3
448,14,3
449,23,7
450,9,1
451,10,2
452,7,3
453,18,5
454,7,7
455,22,5
456,18,3
457,22,1
458,22,1
459,5,5
460,23,3
461,14,2
462,23,7
463,14,7
464,19,1
465,18,7
466,1,1
467,0,3
468,15,5
469,10,6
470,20,7
471,21,2
472,4,3
473,18,1
474,15,1
475,13,3
476,14,6
477,15,5
478,9,2
479,16,7
480,5,3
481,2,3
482,22,6
483,0,7
484,17,3
485,20,3
486,0,2
487,16,1
488,11,4
489,15,2
490,22,6
491,16,4
492,15,3
493,9,2
494,18,3
495,23,7
496,13,6
497,23,7
498,16,4
499,22,5
500,1,7
501,20,2
502,18,3
503,18,5
504,17,6
505,3,6
506,14,5
507,16,3
508,17,2
509,21,2
510,20,1
511,10,3
512,12,5
513,18,3
514,9,3
515,15,4
516,22,6
517,7,1
518,20,2
519,12,4
520,20,7
521,15,6
522,14,6
523,21,2
524,17,5
525,16,2
526,1,1
527,16,7
528,22,1
529,16,4
530,1,5
531,15,4
532,1,2
533,16,1
534,19,6
535,6,1
536,13,6
537,1,1
538,12,6
539,22,4
540,11,1
541,17,3
542,13,7
543,22,4
544,16,4
545,23,4
546,10,2
547,1,3
548,1,6
549,7,7
550,1,1
551,9,7
552,0,1
553,1,4
554,18,4
555,10,6
556,7,6
557,6,5
558,19,2
559,19,6
560,21,4
561,20,1
562,15,4
563,7,3
564,6,4
565,14,1
566,19,7
567,23,7
568,18,6
569,0,1
570,20,1
571,0,6
572,17,4
573,22,7
574,7,4
575,18,1
576,12,5
577,13,4
578,7,7
579,20,2
580,22,3
581,18,2
582,17,2
583,8,2
584,15,6
585,21,6
586,15,1
587,13,6
588,20,5
589,4,1
590,18,3
591,18,7
592,2,5
593,11,2
594,23,7
595,19,1
596,23,1
597,15,6
598,6,1
599,20,5
600,17,3
601,17,6
602,7,3
603,14,4
604,2,1
605,18,7
606,16,1
607,2,1
608,18,1
609,21,5
610,1,1
611,14,4
612,15,2
613,1,6
614,1,1
615,20,2
616,23,3
617,18,7
618,19,2
619,21,1
620,15,7
621,15,2
622,23,2
623,15,1
624,17,5
625,13,5
626,6,4
627,18,3
628,21,2
629,15,4
630,20,1
631,20,7
632,21,6
633,16,7
634,18,2
635,16,4
636,21,2
637,18,5
638,23,3
639,19,6
640,18,7
641,17,2
642,15,1
643,23,7
644,22,7
645,19,5
646,9,4
647,12,1
648,19,6
649,15,6
650,21,6
651,22,6
652,17,1
653,15,3
654,7,5
655,7,5
656,16,2
657,13,5
658,13,7
659,7,7
660,2,7
661,17,7
662,17,2
663,20,7
664,8,1
665,22,5
666,20,7
667,20,5
668,20,5
669,7,3
670,20,1
671,1,2
672,12,6
673,15,2
674,18,6
675,99,3
676,21,1
677,21,1
678,16,4
679,18,4
680,23,4
681,19,7
682,19,4
683,0,2
684,1,3
685,17,1
686,21,1
687,5,1
688,23,5
689,2,6
690,9,1
691,10,1
692,23,4
693,6,7
694,18,5
695,17,2
696,11,2
697,19,2
698,14,3
699,20,6
700,10,3
701,19,5
702,12,7
703,17,4
704,18,3
705,20,2
706,7,1
707,15,2
708,14,1
709,6,3
710,6,6
711,11,2
712,23,6
713,18,2
714,20,2
715,17,7
716,18,5
717,14,5
718,18,1
719,15,5
720,18,7
721,22,1
722,7,3
723,15,1
724,15,1
725,4,1
726,18,6
727,11,5
728,15,2
729,5,4
730,23,7
731,15,1
732,0,4
733,6,4
734,23,3
735,21,3
736,17,6
737,2,7
738,10,1
739,16,3
740,16,1
741,22,6
742,5,3
743,22,7
744,6,7
745,17,1
746,11,5
747,18,3
748,14,3
749,22,2
750,14,5
751,22,6
752,15,7
753,22,4
754,7,2
755,21,4
756,20,6
757,16,7
758,22,4
759,18,7
760,21,5
761,13,6
762,19,2
763,22,7
764,2,4
765,5,3
766,19,5
767,18,4
768,16,2
769,21,3
770,17,4
771,17,3
772,20,3
773,20,3
774,14,7
775,15,7
776,17,1
777,8,6
778,9,3
779,6,3
780,3,1
781,7,3
782,21,4
783,15,6
784,14,3
785,18,2
786,14,7
787,5,3
788,18,1
789,20,4
790,10,6
791,10,6
792,8,7
793,20,3
794,19,1
795,6,2
796,19,2
797,9,7
798,7,2
799,20,2
800,7,6
801,7,6
802,9,2
803,20,5
804,16,3
805,20,3
806,11,7
807,23,1
808,7,1
809,0,1
810,20,6
811,18,4
812,17,1
813,2,6
814,14,1
815,2,3
816,22,1
817,23,6
818,17,6
819,14,1
820,8,3
821,16,1
822,10,1
823,15,2
824,4,3
825,18,3
826,10,7
827,1,6
828,4,6
829,20,3
830,19,3
831,20,3
832,2,2
833,7,1
834,2,2
835,16,3
836,19,6
837,19,4
838,13,2
839,17,2
840,14,3
841,18,5
842,18,1
843,6,2
844,20,7
845,13,1
846,5,5
847,13,1
848,21,4
849,19,4
850,5,6
851,5,1
852,15,3
853,19,7
854,7,1
855,12,1
856,23,7
857,21,2
858,3,7
859,10,3
860,21,1
861,3,4
862,20,6
863,8,3
864,7,7
865,20,3
866,22,7
867,19,2
868,19,5
869,8,2
870,7,2
871,11,2
872,9,1
873,7,3
874,14,5
875,18,4
876,11,2
877,11,7
878,8,2
879,9,5
880,2,2
881,1,4
882,18,4
883,12,5
884,18,6
885,15,2
886,19,1
887,23,4
888,2,1
889,20,3
890,7,5
891,21,5
892,17,3
893,22,3
894,11,5
895,23,6
896,7,3
897,6,5
898,20,5
899,5,2
900,20,1
901,16,5
902,19,6
903,13,6
904,23,7
905,10,1
906,6,6
907,13,7
908,0,7
909,19,7
910,20,3
911,10,3
912,0,3
913,22,1
914,1,7
915,0,7
916,1,7
917,14,3
918,14,6
919,6,2
920,22,7
921,10,6
922,6,2
923,0,6
924,21,4
925,7,1
926,15,1
927,18,5
928,23,1
929,23,6
930,20,7
931,15,6
932,6,4
933,16,3
934,11,5
935,5,7
936,21,2
937,20,3
938,2,1
939,7,3
940,18,2
941,2,3
942,15,6
943,15,1
944,22,3
945,9,2
946,0,2
947,8,5
948,20,1
949,16,6
950,7,7
951,18,2
952,4,5
953,20,4
954,11,4
955,11,5
956,11,3
957,18,1
958,19,2
959,20,5
960,15,3
961,20,3
962,7,6
963,14,5
964,1,3
965,11,3
966,6,3
967,20,1
968,17,5
969,15,1
970,10,2
971,21,2
972,2,5
973,10,6
974,14,2
975,11,3
976,15,6
