,acchr,dayofweek
0,23,6
1,18,3
2,22,2
3,3,1
4,13,2
5,20,3
6,2,2
7,0,6
8,9,4
9,14,6
10,10,4
11,10,1
12,21,6
13,19,3
14,0,2
15,11,6
16,15,7
17,8,3
18,18,3
19,23,4
20,11,3
21,11,4
22,13,2
23,19,4
24,11,7
25,3,7
26,21,5
27,3,4
28,13,5
29,10,1
30,15,3
31,11,7
32,15,7
33,9,7
34,2,2
35,11,4
36,23,4
37,15,5
38,16,1
39,14,7
40,21,5
41,22,2
42,18,4
43,17,1
44,10,4
45,18,3
46,5,5
47,11,7
48,22,5
49,19,5
50,1,1
51,1,1
52,3,1
53,2,6
54,2,2
55,13,7
56,1,7
57,2,7
58,20,1
59,2,7
60,21,6
61,6,1
62,23,7
63,3,7
64,2,6
65,1,1
66,2,6
67,2,7
68,4,7
69,21,6
70,10,1
71,3,1
72,3,1
73,23,3
74,2,1
75,17,6
76,1,1
77,22,7
78,22,7
79,19,4
80,17,7
81,20,3
82,13,6
83,13,5
84,22,7
85,17,3
86,19,4
87,14,7
88,2,7
89,16,4
90,15,4
91,18,4
92,7,2
93,21,3
94,13,6
95,11,6
96,14,7
97,4,7
98,23,4
99,22,6
100,3,2
101,19,5
102,18,1
103,5,7
104,12,3
105,22,6
106,1,7
107,1,1
108,14,1
109,14,1
110,3,7
111,14,7
112,14,7
113,14,6
114,3,4
115,12,3
116,12,3
117,16,4
118,23,7
119,16,7
120,13,6
121,14,7
122,3,1
123,12,5
124,1,3
125,15,7
126,14,1
127,14,1
128,7,2
129,9,3
130,14,7
131,11,3
132,3,1
133,19,3
134,12,5
135,12,6
136,19,5
137,11,7
138,2,1
139,8,2
140,19,6
141,0,4
142,5,6
143,9,3
144,2,5
145,15,7
146,6,6
147,7,2
148,15,3
149,3,6
150,15,1
151,14,7
152,10,1
153,19,1
154,15,6
155,2,6
156,0,7
157,22,5
158,18,1
159,21,1
160,18,1
161,18,7
162,6,3
163,0,5
164,10,3
165,14,3
166,1,7
167,13,6
168,2,7
169,22,7
170,9,5
171,18,4
172,12,7
173,13,1
174,21,2
175,22,2
176,15,4
177,16,6
178,0,3
179,16,4
180,0,1
181,18,7
182,12,5
183,10,7
184,18,1
185,2,5
186,23,2
187,16,3
188,17,5
189,13,7
190,7,6
191,22,4
192,22,3
193,8,2
194,1,7
195,19,5
196,15,1
197,20,3
198,17,5
199,21,6
200,13,4
201,14,1
202,4,6
203,13,1
204,14,1
205,21,3
206,11,3
207,21,2
208,0,5
209,15,4
210,12,5
211,21,2
212,16,4
213,19,3
214,1,7
215,11,4
216,23,2
217,15,2
218,0,7
219,6,5
220,11,7
221,0,7
222,15,6
223,18,4
224,22,1
225,14,2
226,21,1
227,6,5
228,7,2
229,10,6
230,17,5
231,20,1
232,23,7
233,0,7
234,15,6
235,19,2
236,17,6
237,17,6
238,16,1
239,19,1
240,16,4
241,14,3
242,8,2
243,1,1
244,12,2
245,17,5
246,21,6
247,8,4
248,16,3
249,19,1
250,21,2
251,1,6
252,4,3
253,22,7
254,18,7
255,16,3
256,2,5
257,17,2
258,5,1
259,20,5
260,10,5
261,1,5
262,6,4
263,5,4
264,14,3
265,10,7
266,18,5
267,21,2
268,13,7
269,2,7
270,4,3
271,9,6
272,22,7
273,16,5
274,18,6
275,20,1
276,10,5
277,6,3
278,20,1
279,18,7
280,3,7
281,14,2
282,16,4
283,15,2
284,22,1
285,18,1
286,19,2
287,17,4
288,18,5
289,15,6
290,18,3
291,14,3
292,23,7
293,10,2
294,7,3
295,18,5
296,7,7
297,22,5
298,18,3
299,22,1
300,5,5
301,23,3
302,14,2
303,23,7
304,14,7
305,18,7
306,1,1
307,15,5
308,10,6
309,15,5
310,16,7
311,5,3
312,2,3
313,0,7
314,17,3
315,20,3
316,0,2
317,16,1
318,15,2
319,15,3
320,9,2
321,18,3
322,13,6
323,23,7
324,18,3
325,18,5
326,17,6
327,3,6
328,14,5
329,16,3
330,17,2
331,21,2
332,20,1
333,10,3
334,18,3
335,12,4
336,20,7
337,16,7
338,22,1
339,16,4
340,1,5
341,15,4
342,1,2
343,16,1
344,19,6
345,6,1
346,1,1
347,22,4
348,16,4
349,10,2
350,7,7
351,1,1
352,18,4
353,19,2
354,7,3
355,6,4
356,14,1
357,19,7
358,23,7
359,18,6
360,0,1
361,20,1
362,0,6
363,17,4
364,22,7
365,13,4
366,11,2
367,23,7
368,19,1
369,23,1
370,15,6
371,6,1
372,20,5
373,17,3
374,2,1
375,16,1
376,2,1
377,18,1
378,1,1
379,14,4
380,1,6
381,15,1
382,6,4
383,18,3
384,20,1
385,18,5
386,18,7
387,22,7
388,15,3
389,7,5
390,7,5
391,16,2
392,13,5
393,13,7
394,7,7
395,17,7
396,15,2
397,18,6
398,21,1
399,21,1
400,16,4
401,18,4
402,23,4
403,0,2
404,1,3
405,17,1
406,5,1
407,23,5
408,9,1
409,19,2
410,20,6
411,10,3
412,19,5
413,12,7
414,17,4
415,18,3
416,20,2
417,6,3
418,6,6
419,11,2
420,18,2
421,20,2
422,18,5
423,14,5
424,18,1
425,22,1
426,7,3
427,15,1
428,4,1
429,18,6
430,23,7
431,16,3
432,16,1
433,18,3
434,14,5
435,15,7
436,20,6
437,22,4
438,19,2
439,2,4
440,17,3
441,8,6
442,6,3
443,3,1
444,7,3
445,21,4
446,15,6
447,14,3
448,18,2
449,5,3
450,18,1
451,10,6
452,10,6
453,8,7
454,20,3
455,19,1
456,19,2
457,9,7
458,7,6
459,7,6
460,9,2
461,20,5
462,16,3
463,20,3
464,11,7
465,23,1
466,7,1
467,0,1
468,17,1
469,2,6
470,14,1
471,2,3
472,22,1
473,23,6
474,17,6
475,14,1
476,8,3
477,10,1
478,15,2
479,4,3
480,18,3
481,10,7
482,1,6
483,4,6
484,20,3
485,19,3
486,20,3
487,2,2
488,7,1
489,2,2
490,16,3
491,19,6
492,13,2
493,17,2
494,14,3
495,18,5
496,18,1
497,6,2
498,20,7
499,13,1
500,5,5
501,13,1
502,21,4
503,5,6
504,5,1
505,7,1
506,23,7
507,21,2
508,10,3
509,21,1
510,3,4
511,20,6
512,8,3
513,7,7
514,22,7
515,19,5
516,7,2
517,11,2
518,14,5
519,11,2
520,11,7
521,8,2
522,9,5
523,2,2
524,15,2
525,19,1
526,10,1
527,6,6
528,0,7
529,10,3
530,22,1
531,0,7
532,1,7
533,14,3
534,6,2
535,22,7
536,10,6
537,21,4
538,7,1
539,15,1
540,15,6
541,21,2
542,7,3
543,18,2
544,2,3
545,15,1
546,22,3
547,8,5
548,20,1
549,16,6
550,7,7
551,20,4
552,11,4
553,18,1
554,20,5
555,15,3
556,20,3
557,7,6
558,14,5
559,21,2
560,2,5
561,10,6
562,11,3
563,0,7
564,6,6
565,23,7
566,15,6
567,18,4
568,11,1
569,11,1
570,22,3
571,14,7
572,22,6
573,4,7
574,9,7
575,15,5
576,22,2
577,1,4
578,18,3
579,11,2
580,14,2
581,22,6
582,6,5
583,18,2
584,12,5
585,12,5
586,10,6
587,13,5
588,12,7
589,6,5
590,16,3
591,20,3
592,11,2
593,21,2
594,8,4
595,21,7
596,19,1
597,6,6
598,21,7
599,6,2
600,17,4
601,5,2
602,9,2
603,11,2
604,21,5
605,16,4
606,21,6
607,21,5
608,16,7
609,19,7
610,13,4
611,0,1
612,15,1
613,17,4
614,19,2
615,10,5
616,22,4
617,20,2
618,19,7
619,17,7
620,12,1
621,7,6
622,16,1
623,23,7
624,12,1
625,2,1
626,19,3
627,7,3
628,12,4
629,12,6
630,12,1
631,18,7
632,13,2
633,1,7
634,2,6
635,21,6
636,17,1
637,0,7
638,19,7
639,3,1
640,17,4
641,14,3
642,6,3
643,22,5
644,22,7
645,9,1
646,15,4
647,17,3
648,2,6
649,17,1
650,17,6
651,16,1
652,1,7
653,12,2
654,99,7
655,21,3
656,15,5
657,2,5
658,8,2
659,19,7
660,13,7
661,16,3
662,22,6
663,14,7
664,17,7
665,17,5
666,5,2
