,acchr,dayofweek
0,13,2
1,23,6
2,20,7
3,12,6
4,11,1
5,18,3
6,1,1
7,22,2
8,3,1
9,8,1
10,20,1
11,20,2
12,13,2
13,12,1
14,0,1
15,14,2
16,13,4
17,20,3
18,2,2
19,16,3
20,0,6
21,9,4
22,14,6
23,19,5
24,10,4
25,2,7
26,5,2
27,10,1
28,21,6
29,6,5
30,6,5
31,20,3
32,20,3
33,19,3
34,0,2
35,18,7
36,11,6
37,16,4
38,18,4
39,21,3
40,15,7
41,8,3
42,10,3
43,16,7
44,20,7
45,20,4
46,18,2
47,18,3
48,23,4
49,13,5
50,21,6
51,11,3
52,16,7
53,11,4
54,13,2
55,13,2
56,18,6
57,19,4
58,4,1
59,14,3
60,15,4
61,20,4
62,11,6
63,13,5
64,22,4
65,11,7
66,17,6
67,12,5
68,3,7
69,21,5
70,17,5
71,13,2
72,20,1
73,23,4
74,3,4
75,13,5
76,10,1
77,15,3
78,10,7
79,5,7
80,14,2
81,11,7
82,15,5
83,15,7
84,18,7
85,21,6
86,9,3
87,18,4
88,9,7
89,9,6
90,9,6
91,14,4
92,2,2
93,5,6
94,17,3
95,16,4
96,11,4
97,22,7
98,11,2
99,19,3
100,22,6
101,3,2
102,18,6
103,19,2
104,19,2
105,15,2
106,11,2
107,15,5
108,23,4
109,15,5
110,13,7
111,16,1
112,16,1
113,7,5
114,7,5
115,14,7
116,21,5
117,22,2
118,18,4
119,17,3
120,7,5
121,10,6
122,17,1
123,13,2
124,22,6
125,18,6
126,19,3
127,10,4
128,20,1
129,14,3
130,20,4
131,15,7
132,12,3
133,18,3
134,20,2
135,5,5
136,5,5
137,5,5
138,10,7
139,11,7
140,18,3
141,22,5
142,18,7
143,4,7
144,16,1
145,19,5
146,18,7
147,5,1
148,2,1
149,22,6
150,1,1
151,1,1
152,3,1
153,2,6
154,2,2
155,22,2
156,3,7
157,1,7
158,13,7
159,1,7
160,2,7
161,1,4
162,20,1
163,4,1
164,2,7
165,21,6
166,1,7
167,1,7
168,0,1
169,6,1
170,3,1
171,23,7
172,3,7
173,2,6
174,1,1
175,2,6
176,2,7
177,21,7
178,4,7
179,3,1
180,2,7
181,21,6
182,21,7
183,10,1
184,3,1
185,0,7
186,6,5
187,22,6
188,3,1
189,0,7
190,23,3
191,2,1
192,17,6
193,3,2
194,1,1
195,22,7
196,18,7
197,22,7
198,19,4
199,17,7
200,20,3
201,13,6
202,1,6
203,0,6
204,23,4
205,20,7
206,13,5
207,15,6
208,22,7
209,16,3
210,17,3
211,19,4
212,14,7
213,2,7
214,3,2
215,16,4
216,15,4
217,16,6
218,18,4
219,21,7
220,7,5
221,16,3
222,1,4
223,15,4
224,12,1
225,0,2
226,7,2
227,21,3
228,13,6
229,11,6
230,8,3
231,14,7
232,1,3
233,3,1
234,23,5
235,16,1
236,4,7
237,23,4
238,8,1
239,22,6
240,13,7
241,16,4
242,12,2
243,0,7
244,18,1
245,3,2
246,19,5
247,23,4
248,18,1
249,5,7
250,12,3
251,15,5
252,22,6
253,0,1
254,1,7
255,1,1
256,14,1
257,14,1
258,3,7
259,9,7
260,16,4
261,14,7
262,14,7
263,12,2
264,17,5
265,14,6
266,3,4
267,5,2
268,12,3
269,12,3
270,19,5
271,16,4
272,23,7
273,16,7
274,4,3
275,3,7
276,13,6
277,14,7
278,15,3
279,3,1
280,12,5
281,14,3
282,13,7
283,15,4
284,2,7
285,12,3
286,15,5
287,11,1
288,1,3
289,15,7
290,14,1
291,14,1
292,7,2
293,9,3
294,20,6
295,18,4
296,11,6
297,7,5
298,7,5
299,14,7
300,11,3
301,12,2
302,5,6
303,16,4
304,3,1
305,13,7
306,19,3
307,12,5
308,12,5
309,15,1
310,13,7
311,15,4
312,15,4
313,2,1
314,12,6
315,15,5
316,19,5
317,0,1
318,12,5
319,11,7
320,20,6
321,2,1
322,8,2
323,19,6
324,17,1
325,18,4
326,13,2
327,18,7
328,0,1
329,14,6
330,15,2
331,0,4
332,5,6
333,23,5
334,5,5
335,13,7
336,13,1
337,0,1
338,22,5
339,21,5
340,9,3
341,1,7
342,6,2
343,2,1
344,2,5
345,17,3
346,16,4
347,12,7
348,15,7
349,6,6
350,7,2
351,15,3
352,15,3
353,3,6
354,15,1
355,14,7
356,10,1
357,19,1
358,15,6
359,2,6
360,0,7
361,22,5
362,18,1
363,21,1
364,18,1
365,18,7
366,6,3
367,0,5
368,10,3
369,14,3
370,1,7
371,21,6
372,13,6
373,2,7
374,22,7
375,22,6
376,23,5
377,15,4
378,9,5
379,18,4
380,11,7
381,13,7
382,17,3
383,12,7
384,22,4
385,13,1
386,21,2
387,22,2
388,16,4
389,15,2
390,5,4
391,15,4
392,16,6
393,0,3
394,16,4
395,21,3
396,14,5
397,0,1
398,19,4
399,23,6
400,19,5
401,18,7
402,12,5
403,17,4
404,10,7
405,18,7
406,18,1
407,3,5
408,2,5
409,23,2
410,16,3
411,17,5
412,21,2
413,13,7
414,7,6
415,22,4
416,22,3
417,8,2
418,15,7
419,14,5
420,21,2
421,1,7
422,22,7
423,7,5
424,1,7
425,7,6
426,16,6
427,20,6
428,9,4
429,18,7
430,19,5
431,15,1
432,20,3
433,17,5
434,21,6
435,13,4
436,14,1
437,4,6
438,13,1
439,14,1
440,21,5
441,21,3
442,11,3
443,11,6
444,20,7
445,5,4
446,21,2
447,0,5
448,14,2
449,17,6
450,15,4
451,12,5
452,21,2
453,16,4
454,19,3
455,1,7
456,11,4
457,20,4
458,23,2
459,15,2
460,0,7
461,21,1
462,12,3
463,11,7
464,17,7
465,16,4
466,6,5
467,11,7
468,11,7
469,19,5
470,14,4
471,0,7
472,15,6
473,18,4
474,22,1
475,14,2
476,21,1
477,6,5
478,7,2
479,10,6
480,17,5
481,8,2
482,20,3
483,18,6
484,20,2
485,17,2
486,22,1
487,9,4
488,20,7
489,16,7
490,5,7
491,1,4
492,15,7
493,22,4
494,19,1
495,3,5
496,20,1
497,23,7
498,0,7
499,15,6
500,19,2
501,17,6
502,15,6
503,17,6
504,16,1
505,19,1
506,23,6
507,8,5
508,15,6
509,16,4
510,14,3
511,11,6
512,18,4
513,12,6
514,17,1
515,8,2
516,14,7
517,7,5
518,1,1
519,9,7
520,18,6
521,12,2
522,12,2
523,17,5
524,19,7
525,23,5
526,14,2
527,17,3
528,23,7
529,7,3
530,21,2
531,22,3
532,21,6
533,8,4
534,16,3
535,19,4
536,19,1
537,21,2
538,1,6
539,4,3
540,21,2
541,22,7
542,18,7
543,16,3
544,5,3
545,22,6
546,2,5
547,12,3
548,17,2
549,2,2
550,22,2
551,1,2
552,5,1
553,13,2
554,7,3
555,20,5
556,10,5
557,1,5
558,6,4
559,5,4
560,14,3
561,10,7
562,17,2
563,11,6
564,99,2
565,11,2
566,18,5
567,21,2
568,20,7
569,13,7
570,3,7
571,1,6
572,17,7
573,2,7
574,20,4
575,4,3
576,9,6
577,13,4
578,22,7
579,19,3
580,15,3
581,16,5
582,18,3
583,18,6
584,9,2
585,6,6
586,7,4
587,20,1
588,16,5
589,10,5
590,6,3
591,20,1
592,17,3
593,18,7
594,3,7
595,14,2
596,14,2
597,23,3
598,15,7
599,20,5
600,16,4
601,15,2
602,22,1
603,18,1
604,19,2
605,17,4
606,4,1
607,99,1
608,23,7
609,16,3
610,7,4
611,16,4
612,10,7
613,21,2
614,0,3
615,18,5
616,17,3
617,18,5
618,2,7
619,21,4
620,14,3
621,99,3
622,10,2
623,15,6
624,18,3
625,14,3
626,23,7
627,9,1
628,10,2
629,7,3
630,18,5
631,7,7
632,22,5
633,18,3
634,22,1
635,22,1
636,5,5
637,23,3
638,14,2
639,23,7
640,14,7
641,19,1
642,18,7
643,1,1
644,0,3
645,15,5
646,10,6
647,20,7
648,21,2
649,4,3
650,18,1
651,15,1
652,13,3
653,14,6
654,15,5
655,9,2
656,16,7
657,5,3
658,2,3
659,22,6
660,0,7
661,17,3
662,20,3
663,0,2
664,16,1
665,11,4
666,15,2
667,22,6
668,16,4
669,15,3
670,9,2
671,18,3
672,23,7
673,13,6
674,23,7
675,16,4
676,22,5
677,1,7
678,20,2
679,18,3
680,18,5
681,17,6
682,3,6
683,14,5
684,16,3
685,17,2
686,21,2
687,20,1
688,10,3
689,12,5
690,18,3
691,9,3
692,15,4
693,22,6
694,7,1
695,20,2
696,12,4
697,20,7
698,15,6
699,14,6
700,21,2
701,17,5
702,16,2
703,1,1
704,16,7
705,22,1
706,16,4
707,1,5
708,15,4
709,1,2
710,16,1
711,19,6
712,6,1
713,13,6
714,1,1
715,12,6
716,22,4
717,11,1
718,17,3
719,13,7
720,22,4
721,16,4
722,23,4
723,10,2
724,1,3
725,1,6
726,7,7
727,1,1
728,9,7
729,0,1
730,1,4
731,18,4
732,10,6
733,7,6
734,6,5
735,19,2
736,19,6
737,21,4
738,20,1
739,15,4
740,7,3
741,6,4
742,14,1
743,19,7
744,23,7
745,18,6
746,0,1
747,20,1
748,0,6
749,17,4
750,22,7
751,7,4
752,18,1
753,12,5
754,13,4
755,7,7
756,20,2
757,22,3
758,18,2
759,17,2
760,8,2
761,15,6
762,21,6
763,15,1
764,13,6
765,20,5
766,4,1
767,18,3
768,18,7
769,2,5
770,11,2
771,23,7
772,19,1
773,23,1
774,15,6
775,6,1
776,20,5
777,17,3
778,17,6
779,7,3
780,14,4
781,2,1
782,18,7
783,16,1
784,2,1
785,18,1
786,21,5
787,1,1
788,14,4
789,15,2
790,1,6
791,1,1
792,20,2
793,23,3
794,18,7
795,19,2
796,21,1
797,15,7
798,15,2
799,23,2
800,15,1
801,17,5
802,13,5
803,6,4
804,18,3
805,21,2
806,15,4
807,20,1
808,20,7
809,21,6
810,16,7
811,18,2
812,16,4
813,21,2
814,18,5
815,23,3
816,19,6
817,18,7
818,17,2
819,15,1
820,23,7
821,22,7
822,19,5
823,9,4
824,12,1
825,19,6
826,15,6
827,21,6
828,22,6
829,17,1
830,15,3
831,7,5
832,7,5
833,16,2
834,13,5
835,13,7
836,7,7
837,2,7
838,17,7
839,17,2
840,20,7
841,8,1
842,22,5
843,20,7
844,20,5
845,20,5
846,7,3
847,20,1
848,1,2
849,12,6
850,15,2
851,18,6
852,99,3
853,21,1
854,21,1
855,16,4
856,18,4
857,23,4
858,19,7
859,19,4
860,0,2
861,1,3
862,17,1
863,21,1
864,5,1
865,23,5
866,2,6
867,9,1
868,10,1
869,23,4
870,6,7
871,18,5
872,17,2
873,11,2
874,19,2
875,14,3
876,20,6
877,10,3
878,19,5
879,12,7
880,17,4
881,18,3
882,20,2
883,7,1
884,15,2
885,14,1
886,6,3
887,6,6
888,11,2
889,23,6
890,18,2
891,20,2
892,17,7
893,18,5
894,14,5
895,18,1
896,15,5
897,18,7
898,22,1
899,7,3
900,15,1
901,15,1
902,4,1
903,18,6
904,11,5
905,15,2
906,5,4
907,23,7
908,15,1
909,0,4
910,6,4
911,23,3
912,21,3
913,17,6
914,2,7
915,10,1
916,16,3
917,16,1
918,22,6
919,5,3
920,22,7
921,6,7
922,17,1
923,11,5
924,18,3
925,14,3
926,22,2
927,14,5
928,22,6
929,15,7
930,22,4
931,7,2
932,21,4
933,20,6
934,16,7
935,22,4
936,18,7
937,21,5
938,13,6
939,19,2
940,22,7
941,2,4
942,5,3
943,19,5
944,18,4
945,16,2
946,21,3
947,17,4
948,17,3
949,20,3
950,20,3
951,14,7
952,15,7
953,17,1
954,8,6
955,9,3
956,6,3
957,3,1
958,7,3
959,21,4
960,15,6
961,14,3
962,18,2
963,14,7
964,5,3
965,18,1
966,20,4
967,10,6
968,10,6
969,8,7
970,20,3
971,19,1
972,6,2
973,19,2
974,9,7
975,7,2
976,20,2
