,acchr,dayofweek
0,9,4
1,18,6
2,12,1
3,14,1
4,3,4
5,8,1
6,14,1
7,3,1
8,18,3
9,11,3
10,22,2
11,18,6
12,16,7
13,23,6
14,22,2
15,11,6
16,15,3
17,17,6
18,18,3
19,21,3
20,1,1
21,1,1
22,23,5
23,18,6
24,2,7
25,13,2
26,13,5
27,2,7
28,15,6
29,23,4
30,1,1
31,17,2
32,14,6
33,7,2
34,21,3
35,17,6
36,20,1
37,14,7
38,10,3
39,6,5
40,1,4
41,2,1
42,2,1
43,13,5
44,15,3
45,5,4
46,14,5
47,14,7
48,23,4
49,20,7
50,4,6
51,20,7
52,18,1
53,16,7
54,18,7
55,15,3
56,13,7
57,7,5
58,7,2
59,7,2
60,13,6
61,2,2
62,21,7
63,5,1
64,17,2
65,4,7
66,3,1
67,11,2
68,17,6
69,14,7
70,2,7
71,15,1
72,1,4
73,15,3
74,12,1
75,0,2
76,9,5
77,15,2
78,18,7
79,18,7
80,14,1
81,18,7
82,22,2
83,22,2
84,17,5
85,17,5
86,0,7
87,21,6
88,18,6
89,13,2
90,14,6
91,15,7
92,2,1
93,19,5
94,0,1
95,18,7
96,17,6
97,9,7
98,16,4
99,18,3
100,14,6
101,14,5
102,13,6
103,10,5
104,22,2
105,16,3
106,16,3
107,12,2
108,10,6
109,13,7
110,13,2
111,13,2
112,16,5
113,8,3
114,17,1
115,22,6
116,4,1
117,18,6
118,19,2
119,21,6
120,5,7
121,5,7
122,5,7
123,5,7
124,8,4
125,8,4
126,11,2
127,16,7
128,0,2
129,9,5
130,21,4
131,13,7
132,13,4
133,14,7
134,21,5
135,2,2
136,2,2
137,17,1
138,13,2
139,8,3
140,11,2
141,5,7
142,8,4
143,8,4
144,12,3
145,16,7
146,15,2
147,15,2
148,3,1
149,12,5
150,18,4
151,16,1
152,5,7
153,14,4
154,7,5
155,19,3
156,18,2
157,10,7
158,9,1
159,18,2
160,13,7
161,19,5
162,9,1
163,19,6
164,11,7
165,21,5
166,13,3
167,17,5
168,16,2
169,21,2
170,21,1
171,20,1
172,15,4
173,7,7
174,20,1
175,22,5
176,17,2
177,20,4
178,20,7
179,23,3
180,18,4
181,16,1
182,8,4
183,12,7
184,18,3
185,16,5
186,16,2
187,14,4
188,15,4
189,11,5
190,15,5
191,19,3
192,6,1
193,11,3
194,20,2
195,16,4
196,18,1
197,15,3
198,16,6
199,11,7
200,10,6
201,12,4
202,7,4
203,14,6
204,1,2
205,23,6
206,20,7
207,16,1
208,13,6
209,15,7
210,11,1
211,21,5
212,21,6
213,18,2
214,16,5
215,7,2
216,12,5
217,11,6
218,16,5
219,19,6
220,7,5
221,12,6
222,2,3
223,22,7
224,8,4
225,20,1
226,18,1
227,17,3
228,1,7
229,19,5
230,1,2
231,22,7
232,19,7
233,20,3
234,4,2
235,23,2
236,21,2
237,18,3
238,1,1
239,20,2
240,18,4
241,9,1
242,15,6
243,16,7
244,20,2
245,17,6
246,14,7
247,22,7
248,16,5
249,20,5
250,0,1
251,6,4
252,19,2
253,20,4
254,19,6
255,12,1
256,19,6
257,15,2
258,15,7
259,19,1
260,6,2
261,1,2
262,14,3
263,22,6
264,20,2
265,16,5
266,23,2
267,22,6
268,0,3
269,13,5
270,13,7
271,19,6
272,19,2
273,13,3
274,15,5
275,18,5
276,16,7
277,20,7
278,10,2
279,5,2
280,9,1
281,4,3
282,15,2
283,15,7
284,19,2
285,14,3
286,18,3
287,21,5
288,18,7
289,18,4
290,13,2
291,15,5
292,21,6
293,19,6
294,0,3
295,13,1
296,13,4
297,17,7
298,1,5
299,3,7
300,13,1
301,13,3
302,16,4
303,16,6
304,13,4
305,14,5
306,13,1
307,19,7
308,10,6
309,19,3
310,16,6
311,19,4
312,10,4
313,10,4
314,7,3
315,13,3
316,17,2
317,18,1
318,18,2
319,19,1
320,19,1
321,7,2
322,12,3
323,14,1
324,20,5
325,3,3
326,17,3
327,8,6
328,18,2
329,14,4
330,13,7
331,16,3
332,19,6
333,2,7
334,21,6
335,14,7
336,11,7
337,21,4
338,18,3
339,23,7
340,11,4
341,21,6
342,11,3
343,19,5
344,21,7
345,23,5
346,1,7
347,15,4
348,17,5
349,21,4
350,21,7
351,23,1
352,22,6
353,15,3
354,18,1
355,7,2
356,17,2
357,20,7
358,16,6
359,13,3
360,0,1
361,19,3
362,13,4
363,13,4
364,15,6
365,19,2
366,22,6
367,2,5
368,3,7
369,13,1
370,18,3
371,21,6
372,8,7
373,2,4
374,18,3
375,8,7
376,12,3
377,18,7
378,15,2
379,18,7
380,16,2
381,1,4
382,12,1
383,16,2
384,16,3
385,15,4
386,16,4
387,13,1
388,19,6
389,18,4
390,18,7
391,8,3
392,23,4
393,4,6
394,8,6
395,0,6
396,14,4
397,8,5
398,19,7
399,2,1
400,18,6
401,18,4
402,2,1
403,18,7
404,14,4
405,15,2
406,23,3
407,17,2
408,19,1
409,11,2
410,0,1
411,22,7
412,22,5
413,19,1
414,13,6
415,15,6
416,13,6
417,5,5
418,10,6
419,3,1
420,22,6
421,20,3
422,19,2
423,17,5
424,23,7
425,16,7
426,16,3
427,10,1
428,3,4
429,20,4
430,21,2
431,8,1
432,19,4
433,16,3
434,19,1
435,16,1
436,22,5
437,15,1
438,99,4
439,12,7
440,18,4
441,22,6
442,0,3
443,7,4
444,16,5
445,22,5
446,3,6
447,23,5
448,18,4
449,17,2
450,13,5
451,13,5
452,20,6
453,14,7
454,0,2
455,14,5
456,14,7
457,16,4
458,7,4
459,17,5
460,22,3
461,18,6
462,16,1
463,10,6
464,22,4
465,22,6
466,20,7
467,0,7
468,2,6
469,23,4
470,11,3
471,22,7
472,16,5
473,13,3
474,20,4
475,22,4
476,16,1
477,22,6
478,7,2
479,19,5
480,1,1
481,19,6
482,6,2
483,18,6
484,14,2
485,14,2
486,15,2
487,7,4
488,18,2
489,18,2
490,20,1
491,15,2
492,13,5
493,12,7
494,20,2
495,18,1
496,13,1
497,21,6
498,20,5
499,11,2
500,21,3
501,7,2
502,18,3
503,23,6
504,19,5
505,7,5
506,6,5
507,17,4
508,15,4
509,20,2
510,0,1
511,13,7
512,20,2
513,14,3
514,22,7
515,0,7
516,23,6
517,15,3
518,19,4
519,21,3
520,20,5
521,21,6
522,19,4
523,22,7
524,22,7
525,14,6
526,17,5
527,12,1
528,19,7
529,19,1
530,22,3
531,20,7
532,22,6
533,3,7
534,21,6
535,20,1
536,23,1
537,18,5
538,18,5
539,6,2
540,16,1
541,5,1
542,20,6
543,22,1
544,16,4
545,2,2
546,23,3
547,0,7
548,20,2
549,10,4
550,21,4
551,2,6
552,23,4
553,15,1
554,17,5
555,18,2
556,19,5
557,17,5
558,23,7
559,11,1
560,1,1
561,18,6
562,18,3
563,23,6
564,11,7
565,15,4
566,23,7
567,21,5
568,21,7
569,17,3
570,0,2
571,20,2
572,18,4
573,4,1
574,1,4
575,17,6
576,2,5
577,16,4
578,8,6
579,8,1
580,13,2
581,19,6
582,16,4
583,7,4
584,14,6
585,3,1
586,1,6
587,12,5
588,15,5
589,13,3
590,13,1
591,18,5
592,3,7
593,6,5
594,7,3
595,5,3
596,16,3
597,12,2
598,15,6
599,19,6
600,8,5
601,7,5
602,8,7
603,15,2
604,14,2
605,4,5
606,11,7
607,11,7
608,22,1
609,23,5
610,19,2
611,20,7
612,20,7
613,0,1
614,0,1
615,22,2
616,18,7
617,22,1
618,22,6
619,0,4
620,19,2
621,19,7
622,14,6
623,18,1
624,16,3
625,16,3
626,9,6
627,20,7
628,0,5
629,22,5
630,19,4
631,16,4
632,23,5
633,18,1
634,18,2
635,18,7
636,11,3
637,22,4
638,16,6
639,0,2
640,13,3
641,15,7
642,16,7
643,15,1
644,14,5
645,18,5
646,18,5
647,18,5
648,19,3
649,23,7
650,20,4
651,20,3
652,6,1
653,0,7
654,9,3
655,6,5
656,11,4
657,20,7
658,8,3
659,7,3
660,22,7
661,21,4
662,21,5
663,19,4
664,19,2
665,18,4
666,18,4
667,21,1
668,7,7
669,22,3
670,8,7
671,9,4
672,20,4
673,18,5
674,17,1
675,19,1
676,23,1
677,13,7
678,21,6
679,0,2
680,14,4
681,2,5
682,16,5
683,20,1
684,12,2
685,22,4
686,15,1
687,14,3
688,7,6
689,6,6
690,10,1
691,6,4
692,18,4
693,23,3
694,16,5
695,12,4
696,0,1
697,12,7
698,10,2
699,19,2
700,19,2
701,22,6
702,21,7
703,19,7
704,10,4
705,2,6
706,13,7
707,9,4
708,16,7
709,17,2
710,21,6
711,22,7
712,4,6
713,20,1
714,10,1
715,16,5
716,9,6
717,10,6
718,12,4
719,8,6
720,22,5
721,7,2
722,15,4
723,7,5
724,5,7
725,22,7
726,21,6
727,17,5
728,1,7
729,1,7
730,21,6
731,19,3
732,2,1
733,0,7
734,8,6
735,19,7
736,0,1
737,5,2
738,18,2
739,10,7
740,22,6
741,18,7
742,7,2
743,20,1
744,20,5
745,7,5
746,18,1
747,6,5
748,22,7
749,7,3
750,20,1
751,22,3
752,9,3
753,14,1
754,14,2
755,20,1
756,11,7
757,16,7
758,22,1
759,18,3
760,20,6
761,8,3
762,17,6
763,1,2
764,20,7
765,14,4
766,13,2
767,18,5
768,16,3
769,15,4
770,11,6
771,9,6
772,8,5
773,10,7
774,1,7
775,10,6
776,10,4
777,20,6
778,14,5
779,20,4
780,1,2
781,18,3
782,20,4
783,13,2
784,16,5
785,21,4
786,19,2
787,19,2
788,9,1
789,11,7
790,9,5
791,21,1
792,11,4
793,1,1
794,19,3
795,7,1
796,16,1
797,22,2
798,13,2
799,14,1
800,9,4
801,9,2
802,21,5
803,2,6
804,11,7
805,9,3
806,14,6
807,11,3
808,1,4
809,18,7
810,16,4
811,10,6
812,22,3
813,10,5
814,13,2
815,2,7
816,23,6
817,15,3
818,21,6
819,14,5
820,20,5
821,20,3
822,13,1
823,4,7
824,23,7
825,16,6
826,10,2
827,10,3
828,21,2
829,7,3
830,21,5
831,22,4
832,6,6
833,17,7
834,19,6
835,16,4
836,18,4
837,19,5
838,3,2
839,11,4
840,0,2
841,15,3
842,13,7
843,18,5
844,1,2
845,17,4
846,12,5
847,1,7
848,17,1
849,22,3
850,15,1
851,15,5
852,18,3
853,23,7
854,18,7
855,8,2
856,9,1
857,18,6
858,3,1
859,7,7
860,12,6
861,21,2
862,10,7
863,17,7
864,99,7
865,12,1
866,17,2
867,20,6
868,1,4
869,22,2
870,18,4
871,18,1
872,6,3
873,15,2
874,22,2
875,11,5
876,20,5
877,0,4
878,2,1
879,18,1
880,14,4
881,18,7
882,23,6
883,8,6
884,13,6
885,7,7
886,12,2
887,1,1
888,8,6
889,3,6
890,8,1
891,11,3
892,23,6
893,22,4
894,15,6
895,16,1
896,18,7
897,13,7
898,21,5
899,16,3
900,12,1
901,22,2
902,8,2
903,15,1
904,22,6
905,0,4
906,12,4
907,16,7
908,10,7
909,22,5
910,16,5
911,15,5
912,8,6
913,21,5
914,18,1
915,18,5
916,17,5
917,15,6
918,6,3
919,19,5
920,11,6
921,14,2
922,9,3
923,16,5
924,16,5
925,15,2
926,8,4
927,7,6
928,7,2
929,20,2
930,6,5
931,11,6
932,14,3
933,17,6
934,14,6
935,12,5
936,4,4
937,23,3
938,20,7
939,10,4
940,1,7
941,0,6
942,12,4
943,10,7
944,20,5
945,8,6
946,2,2
947,8,4
948,19,6
949,19,2
950,19,2
951,22,2
952,0,5
953,2,1
954,2,7
955,20,4
956,12,4
957,17,5
958,22,6
959,23,1
