,acchr,dayofweek
0,4,1
1,2,6
2,2,6
3,1,1
4,1,7
5,19,5
6,1,3
7,2,7
8,18,7
9,5,1
10,2,7
11,1,4
12,20,1
13,22,6
14,3,1
15,3,1
16,4,1
17,2,7
18,2,7
19,21,6
20,21,6
21,17,5
22,5,1
23,5,1
24,1,7
25,1,7
26,1,7
27,7,1
28,22,4
29,0,1
30,0,1
31,0,1
32,1,7
33,0,1
34,6,1
35,1,1
36,23,6
37,23,6
38,3,1
39,3,1
40,23,7
41,17,7
42,16,7
43,2,2
44,3,7
45,2,6
46,2,6
47,22,2
48,1,1
49,1,1
50,1,1
51,2,6
52,2,7
53,2,7
54,21,7
55,21,7
56,4,7
57,3,1
58,3,1
59,3,1
60,3,7
61,4,7
62,3,1
63,2,7
64,17,5
65,2,1
66,2,7
67,5,1
68,18,1
69,8,1
70,1,7
71,21,2
72,7,1
73,20,4
74,1,1
75,21,6
76,21,7
77,21,7
78,21,7
79,10,1
80,3,1
81,3,1
82,23,7
83,0,7
84,17,7
85,16,7
86,0,7
87,23,5
88,2,7
89,3,6
90,19,5
91,0,7
92,2,7
93,19,5
94,3,7
95,3,6
96,0,4
97,23,4
98,19,1
99,99,1
100,2,3
101,18,1
102,17,1
103,20,7
104,23,5
105,18,1
106,18,2
107,21,6
108,12,4
109,22,7
110,6,6
111,5,1
112,23,3
113,1,2
114,7,7
115,21,2
116,1,3
117,2,5
118,3,3
119,23,5
120,23,1
121,10,3
122,1,4
123,20,3
124,5,6
125,2,3
126,2,2
127,2,7
128,3,1
129,23,6
130,13,6
131,21,6
132,8,3
133,2,5
134,2,5
135,13,5
136,3,7
137,20,7
138,4,1
139,6,5
140,2,7
141,2,6
142,2,6
143,1,7
144,22,7
145,8,3
146,0,6
147,0,7
148,15,1
149,0,1
150,1,7
151,2,7
152,4,1
153,14,2
154,20,6
155,23,5
156,16,5
157,19,7
158,3,7
159,19,7
160,23,2
161,21,7
162,0,2
163,21,5
164,15,1
165,21,5
166,22,2
167,9,3
168,17,6
169,3,5
170,22,7
171,2,1
172,7,7
173,1,1
174,6,7
175,23,3
176,19,3
177,0,1
178,4,1
179,5,1
180,20,2
181,23,2
182,2,7
183,5,7
184,1,2
185,8,4
186,21,3
187,3,7
188,3,7
189,5,7
190,6,7
191,6,1
192,5,2
193,0,5
194,0,1
195,1,1
196,99,7
197,1,7
198,21,7
199,22,2
200,3,1
201,1,2
202,19,4
203,23,7
204,1,1
205,22,1
206,2,7
207,21,2
208,0,1
209,22,4
210,0,5
211,99,1
212,1,1
213,2,2
214,7,2
215,3,7
216,3,7
217,21,6
218,5,7
219,1,6
220,20,5
221,23,6
222,17,1
223,22,6
224,1,6
225,4,5
226,22,6
227,1,1
228,20,3
229,0,6
230,19,2
231,1,1
232,1,5
233,19,5
234,21,7
235,23,4
236,23,6
237,0,1
238,18,6
239,1,2
240,1,1
241,4,7
242,16,1
243,16,1
244,18,3
245,1,1
246,1,6
247,17,7
248,21,5
249,2,7
250,22,1
251,22,3
252,22,3
253,20,3
254,1,1
255,18,1
256,99,7
257,19,7
258,7,7
259,21,4
260,1,5
261,17,2
262,21,2
263,2,7
264,13,2
265,0,5
266,2,7
267,99,7
268,15,6
269,2,7
270,2,7
271,17,7
272,5,7
273,20,3
274,18,4
275,8,7
276,23,7
277,3,1
278,4,1
279,9,1
280,21,1
281,0,1
282,0,1
283,2,2
284,19,4
285,22,1
286,3,1
287,1,6
288,22,6
289,1,4
290,1,1
291,4,1
292,2,7
293,2,7
294,20,6
295,2,1
296,0,2
297,6,1
298,22,1
299,99,1
300,1,2
301,23,4
302,2,1
303,18,1
304,23,7
305,18,2
306,22,5
307,3,7
308,2,1
309,19,7
310,23,7
311,20,1
312,15,5
313,2,7
314,1,6
315,4,1
316,99,2
317,1,4
318,15,3
319,1,7
320,21,7
321,21,1
322,22,4
323,3,5
324,2,7
325,21,4
326,2,7
327,0,7
328,3,6
329,21,1
330,21,2
331,21,7
332,2,1
333,2,1
334,5,1
335,6,2
336,3,6
337,0,5
338,1,7
339,99,4
340,18,4
341,1,6
342,1,6
343,20,6
344,20,6
345,2,1
346,1,7
347,22,7
348,23,7
349,1,7
350,15,1
351,0,4
352,3,5
353,3,5
354,23,7
355,3,1
356,14,2
357,9,6
358,15,1
359,3,1
360,3,1
361,2,6
362,2,7
363,18,4
364,15,1
365,18,4
366,19,7
367,1,1
368,1,1
369,1,1
370,3,1
371,3,1
372,3,5
373,2,1
374,2,1
375,2,1
376,0,1
377,2,6
378,2,7
379,4,2
380,21,3
381,2,1
382,1,1
383,23,7
384,19,1
385,3,1
386,3,1
387,19,5
388,2,1
389,2,6
390,18,5
391,2,1
392,15,5
393,1,1
394,3,7
395,3,7
396,1,7
397,2,2
398,2,1
399,1,6
400,5,2
401,1,1
402,1,6
403,7,7
404,23,5
405,5,2
406,0,3
407,1,6
408,21,2
409,22,3
410,22,5
411,3,6
412,3,6
413,4,1
414,7,1
415,8,2
416,2,7
417,4,1
418,0,3
419,1,7
420,5,2
421,21,6
422,2,7
423,17,4
424,19,7
425,2,1
426,2,1
427,1,2
428,2,1
429,3,2
430,18,4
431,3,3
432,3,7
433,1,1
434,10,2
435,22,6
436,23,1
437,18,4
438,2,5
439,6,1
440,2,7
441,3,6
442,4,1
443,1,1
444,1,7
445,18,2
446,4,1
447,2,5
448,1,6
449,1,7
450,23,7
451,2,7
