,acchr,dayofweek
0,16,4
1,9,6
2,9,6
3,14,4
4,5,6
5,16,4
6,3,4
7,13,7
8,16,6
9,22,7
10,13,2
11,13,2
12,17,1
13,22,6
14,20,6
15,20,6
16,20,6
17,11,2
18,19,3
19,3,2
20,18,6
21,18,6
22,19,2
23,19,2
24,15,6
25,15,2
26,5,2
27,11,2
28,11,2
29,15,5
30,17,1
31,9,5
32,0,2
33,16,1
34,13,4
35,7,5
36,7,5
37,17,3
38,7,5
39,10,6
40,13,2
41,13,2
42,16,5
43,19,7
44,22,6
45,20,6
46,18,6
47,19,3
48,20,1
49,5,5
50,18,2
51,14,3
52,20,4
53,15,7
54,13,5
55,13,5
56,12,3
57,7,2
58,18,1
59,13,4
60,20,2
61,5,5
62,5,5
63,12,2
64,10,7
65,18,3
66,18,7
67,18,4
68,4,7
69,16,1
70,3,7
71,1,6
72,1,6
73,3,4
74,23,4
75,20,7
76,13,7
77,11,2
78,2,1
79,22,7
80,16,6
81,3,7
82,3,7
83,16,4
84,18,1
85,15,3
86,22,2
87,15,4
88,15,4
89,22,7
90,8,3
91,22,6
92,19,5
93,14,3
94,14,3
95,13,7
96,13,7
97,15,4
98,2,7
99,2,7
100,15,3
101,12,3
102,17,1
103,11,1
104,20,6
105,18,4
106,11,6
107,7,5
108,7,5
109,12,2
110,12,2
111,12,2
112,5,6
113,16,4
114,1,6
115,16,6
116,3,2
117,15,4
118,12,7
119,12,7
120,13,2
121,13,7
122,13,7
123,13,7
124,22,6
125,20,6
126,12,5
127,15,1
128,13,7
129,18,6
130,18,6
131,18,6
132,15,4
133,15,4
134,2,7
135,15,6
136,2,1
137,15,5
138,15,5
139,16,7
140,18,1
141,15,2
142,0,1
143,12,5
144,15,3
145,0,1
146,20,6
147,4,3
148,11,6
149,20,2
150,8,4
151,13,4
152,8,4
153,16,1
154,15,7
155,22,4
156,22,4
157,12,2
158,16,5
159,11,3
160,11,3
161,17,4
162,10,4
163,13,7
164,10,7
165,9,7
166,7,7
167,13,1
168,15,1
169,9,1
170,0,4
171,10,7
172,14,7
173,16,2
174,18,7
175,7,3
176,4,1
177,12,3
178,11,4
179,7,5
180,15,2
181,13,7
182,14,6
183,17,2
184,17,2
185,22,1
186,12,7
187,8,6
188,20,2
189,12,7
190,14,7
191,12,4
192,11,7
193,19,3
194,12,2
195,9,6
196,10,4
197,17,1
198,7,4
199,1,7
200,22,4
201,20,4
202,16,4
203,18,4
204,16,6
205,23,6
206,14,3
207,17,3
208,13,6
209,13,6
210,0,2
211,18,3
212,12,4
213,13,2
214,18,3
215,15,1
216,19,7
217,1,4
218,15,6
219,7,5
220,5,3
221,20,3
222,7,2
223,23,6
224,19,6
225,19,2
226,20,6
227,1,7
228,9,2
229,17,6
230,20,3
231,19,7
232,17,3
233,22,6
234,21,5
235,10,6
236,10,6
237,7,2
238,8,6
239,16,5
240,23,7
241,19,7
242,21,6
243,1,7
244,9,3
245,6,4
246,21,5
247,9,1
248,17,5
249,3,3
250,19,5
251,8,3
252,18,3
253,18,7
254,9,6
255,19,5
256,9,7
257,17,4
258,99,3
259,14,5
260,22,5
261,19,7
262,8,3
263,10,1
264,17,4
265,7,3
266,19,7
267,10,3
268,18,4
269,21,4
270,21,5
271,15,7
272,11,6
273,6,5
274,6,5
275,12,7
276,12,2
277,8,5
278,18,1
279,19,3
280,12,1
281,10,4
282,21,3
283,13,4
284,13,4
285,12,6
286,12,6
287,2,5
288,14,3
289,11,5
290,2,6
291,13,4
292,19,3
293,2,2
294,7,2
295,12,4
296,19,1
297,22,5
298,2,1
299,19,1
300,3,2
301,18,2
302,16,7
303,19,3
304,11,6
305,1,1
306,3,2
307,17,5
308,19,5
309,16,5
310,22,4
311,21,4
312,12,3
313,11,7
314,19,3
315,12,5
316,0,2
317,3,5
318,18,6
319,9,7
320,13,3
321,22,5
322,4,1
323,5,5
324,17,7
325,12,5
326,14,2
327,11,3
328,21,2
329,6,2
330,12,5
331,10,5
332,18,7
333,19,3
334,14,5
335,19,5
336,5,5
337,19,4
338,17,6
339,18,4
340,17,7
341,6,4
342,16,1
343,9,5
344,11,7
345,6,6
346,22,7
347,18,6
348,99,3
349,0,1
350,18,7
351,10,6
352,13,3
353,6,2
354,10,6
355,12,2
356,17,3
357,6,3
358,19,4
359,18,6
360,12,7
361,20,5
362,19,3
363,22,2
364,20,5
365,11,4
366,1,7
367,17,2
368,11,3
369,14,5
370,18,2
371,12,6
372,17,6
373,17,6
374,17,3
375,16,6
376,13,4
377,10,2
378,12,2
379,14,4
380,13,7
381,13,1
382,15,7
383,18,4
384,15,6
385,10,1
386,11,4
387,11,3
388,11,3
389,12,1
390,11,4
391,13,3
392,17,3
393,6,5
394,19,4
395,15,7
396,18,2
397,17,1
398,14,3
399,16,4
400,19,4
401,9,6
402,11,4
403,8,5
404,18,6
405,16,4
406,19,7
407,10,5
408,10,4
409,19,5
410,16,2
411,11,7
412,13,7
413,7,3
414,21,2
415,18,4
416,7,3
417,7,3
418,18,5
419,7,2
420,16,2
421,15,4
422,7,7
423,6,5
424,8,1
425,6,2
426,19,2
427,12,1
428,6,3
429,11,3
430,19,2
431,15,4
432,22,6
433,6,2
434,19,7
435,0,3
436,8,6
437,15,4
438,7,1
439,12,1
440,17,1
441,11,5
442,6,6
443,20,7
444,1,6
445,15,2
446,20,1
447,11,6
448,11,7
449,23,6
450,13,3
451,14,1
452,21,7
453,11,5
454,10,7
455,21,7
456,20,1
457,11,1
458,17,4
459,16,7
460,20,7
461,7,4
462,20,7
463,12,3
464,2,7
465,19,7
466,17,2
467,12,4
468,13,6
469,21,1
470,20,5
471,13,5
472,14,1
473,20,6
474,15,3
475,12,5
476,11,2
477,5,3
478,16,4
479,6,5
480,12,7
481,21,2
482,17,4
483,16,7
484,3,4
485,20,7
486,10,1
487,7,4
488,14,5
489,15,4
490,10,6
491,19,7
492,19,7
493,19,2
494,12,5
495,14,4
496,14,5
497,13,1
498,16,3
499,22,7
500,18,3
501,17,1
502,17,1
503,7,2
504,20,2
505,5,2
506,13,1
507,3,6
508,14,2
509,14,7
510,14,2
511,16,2
512,11,4
513,6,5
514,17,7
515,13,2
516,20,1
517,21,7
518,6,3
519,14,6
520,20,3
521,20,3
522,5,5
523,16,3
524,18,2
525,8,5
526,17,2
527,5,7
528,16,4
529,18,5
530,6,3
531,14,6
532,6,3
533,16,2
534,12,5
535,11,3
536,16,3
537,15,4
538,14,5
539,16,5
540,16,4
541,18,7
542,19,1
543,10,6
544,21,7
545,13,6
546,23,2
547,7,2
548,19,7
549,20,6
550,13,3
551,21,5
552,11,1
553,3,7
554,4,6
555,18,7
556,14,5
557,10,3
558,10,3
559,13,5
560,3,1
561,10,6
562,15,6
563,6,3
564,6,5
565,16,5
566,17,6
567,15,7
568,13,5
569,22,7
570,13,2
571,6,3
572,16,7
573,2,4
574,22,3
575,9,5
576,9,2
577,6,4
578,15,6
579,12,3
580,16,6
581,13,5
582,21,5
583,17,5
584,16,2
585,9,5
586,16,4
587,14,7
588,15,7
589,6,3
590,21,5
591,21,5
592,11,3
593,14,6
594,8,2
595,6,1
596,7,6
597,22,4
598,16,5
599,16,5
600,22,6
601,19,7
602,5,3
603,16,7
604,6,3
605,12,6
606,13,2
607,13,6
608,14,6
609,11,2
610,16,3
611,16,6
612,9,3
613,7,2
614,16,6
615,17,4
616,8,4
617,10,5
618,18,4
619,16,7
620,15,3
621,15,3
622,6,4
623,3,6
624,15,5
625,11,4
626,15,4
627,12,5
628,12,5
629,16,4
630,8,5
631,8,6
632,17,6
633,17,6
634,13,3
635,17,5
636,1,4
637,17,7
638,17,3
639,12,3
640,14,1
641,22,2
642,9,4
643,13,6
644,13,3
645,16,6
646,20,4
647,13,5
648,10,4
649,17,4
650,16,5
651,17,4
652,14,4
653,15,3
654,13,5
655,18,6
656,7,7
657,18,1
658,14,5
659,16,7
660,17,3
661,7,3
662,16,2
663,19,3
664,13,4
665,17,1
666,10,2
667,10,4
668,10,2
669,18,2
670,16,5
671,15,4
672,11,2
673,17,5
674,13,6
675,7,7
676,12,7
677,14,6
678,16,1
679,14,2
680,19,1
681,14,1
682,20,4
683,0,5
684,17,3
685,17,3
686,9,2
687,16,7
688,12,1
689,13,4
690,13,4
691,9,2
692,15,3
693,4,7
694,8,7
695,20,1
696,16,1
697,20,4
698,8,1
699,20,7
700,20,7
701,19,3
702,12,1
703,14,5
704,23,5
705,15,2
706,12,6
707,18,7
708,18,7
709,8,2
710,15,2
711,14,7
712,13,5
713,0,6
714,0,6
715,6,4
716,10,4
717,23,4
718,5,4
719,16,6
720,18,3
721,20,3
722,17,1
723,10,4
724,6,5
725,16,5
726,9,6
727,16,2
728,20,6
729,20,6
730,7,5
731,7,6
732,12,2
733,20,7
734,18,7
735,15,6
736,2,6
737,7,6
738,5,5
739,20,3
740,22,7
741,16,4
742,11,5
743,16,1
744,18,6
745,17,3
746,17,4
747,7,2
748,13,3
749,15,4
750,5,7
751,7,5
752,18,3
753,11,6
754,5,7
755,10,7
756,17,6
757,19,1
758,17,4
759,14,3
760,19,3
761,19,2
762,19,6
763,21,3
764,16,5
765,16,5
766,17,5
767,17,5
768,17,5
769,10,3
770,12,6
771,12,6
772,23,4
773,18,1
774,20,7
775,18,7
776,21,2
777,2,5
778,17,7
779,22,1
780,21,6
781,10,2
782,12,5
783,6,6
784,21,5
785,11,4
786,7,4
787,13,2
788,16,7
789,15,4
790,9,3
791,5,5
792,7,6
793,5,6
794,1,1
795,13,7
796,11,5
797,5,5
798,10,6
799,4,5
800,6,6
801,15,3
802,11,3
803,19,2
804,6,3
805,8,6
806,8,6
807,17,6
808,15,5
809,16,7
810,12,1
811,6,5
812,5,1
813,8,1
814,10,3
815,1,2
816,23,3
817,15,1
818,2,7
819,10,2
820,10,2
821,7,4
822,22,6
823,7,6
824,20,3
825,9,4
826,19,6
827,9,7
828,18,2
829,5,3
830,20,7
831,20,7
832,11,4
833,21,7
834,13,1
835,13,1
836,6,2
837,20,2
838,17,5
839,8,5
840,19,2
841,15,6
842,17,7
843,17,1
844,20,3
845,14,6
846,12,7
847,6,2
848,9,3
849,0,6
850,22,5
851,14,5
852,13,6
853,10,4
854,21,5
855,17,3
856,18,7
857,1,1
858,14,2
859,13,3
860,9,7
861,23,4
862,11,6
863,15,2
864,15,2
865,22,2
866,22,6
867,23,7
868,20,5
869,13,3
870,9,2
871,13,2
872,13,2
873,18,7
874,13,1
875,13,1
876,17,3
877,14,2
878,18,5
879,19,1
880,9,5
881,9,2
882,19,6
883,21,1
884,13,1
885,12,1
886,7,3
887,11,5
