,acchr,dayofweek
0,16,4
1,18,3
2,14,6
3,14,5
4,13,6
5,10,5
6,3,7
7,22,2
8,16,3
9,16,3
10,12,2
11,10,6
12,13,7
13,13,2
14,13,2
15,16,5
16,8,3
17,17,1
18,22,6
19,20,6
20,20,6
21,4,1
22,18,6
23,19,2
24,21,6
25,5,7
26,5,7
27,5,7
28,5,7
29,8,4
30,8,4
31,23,7
32,13,5
33,11,2
34,16,7
35,13,4
36,0,2
37,9,5
38,21,4
39,13,7
40,15,4
41,8,4
42,13,4
43,14,7
44,21,5
45,2,2
46,2,2
47,17,1
48,15,4
49,13,2
50,16,5
51,8,3
52,20,6
53,11,2
54,5,7
55,8,4
56,8,4
57,13,5
58,12,3
59,21,6
60,16,7
61,15,2
62,15,2
63,3,1
64,12,5
65,18,4
66,16,1
67,3,2
68,11,6
69,22,7
70,22,7
71,13,7
72,1,6
73,3,2
74,11,6
75,22,7
76,15,4
77,16,6
78,12,6
79,16,4
80,4,7
81,18,1
82,10,6
83,15,3
84,15,3
85,15,3
86,22,2
87,16,6
88,2,7
89,2,7
90,15,4
91,22,7
92,14,6
93,8,3
94,8,3
95,11,7
96,22,6
97,14,3
98,10,4
99,14,7
100,19,4
101,3,2
102,15,1
103,14,3
104,13,7
105,21,6
106,11,6
107,15,7
108,12,6
109,14,2
110,10,1
111,5,7
112,5,7
113,12,3
114,15,3
115,15,2
116,12,5
117,11,7
118,15,7
119,16,4
120,15,6
121,9,3
122,9,3
123,9,3
124,20,6
125,4,3
126,4,3
127,4,7
128,4,7
129,13,1
130,16,1
131,4,1
132,9,6
133,13,6
134,7,2
135,14,7
136,12,2
137,12,2
138,5,6
139,1,6
140,4,7
141,10,6
142,15,3
143,15,3
144,15,3
145,13,7
146,16,6
147,17,1
148,15,4
149,12,7
150,12,7
151,13,2
152,13,7
153,8,3
154,11,7
155,22,6
156,14,3
157,14,3
158,14,3
159,12,5
160,17,7
161,21,6
162,1,1
163,15,6
164,2,1
165,15,2
166,14,2
167,5,7
168,5,7
169,12,3
170,12,3
171,13,5
172,12,3
173,15,5
174,18,1
175,18,1
176,17,1
177,5,5
178,15,2
179,15,3
180,14,1
181,9,3
182,9,3
183,20,6
184,4,3
185,4,3
186,4,3
187,4,3
188,4,3
189,13,7
190,11,6
191,4,7
192,13,1
193,17,7
194,14,6
195,16,1
196,22,4
197,11,5
198,18,7
199,16,5
200,11,3
201,17,4
202,18,7
203,13,7
204,2,7
205,9,7
206,22,6
207,7,7
208,11,6
209,13,1
210,15,1
211,8,2
212,14,7
213,6,1
214,18,7
215,10,1
216,7,3
217,4,1
