,acchr,dayofweek
0,12,6
1,18,3
2,14,6
3,14,5
4,13,6
5,10,5
6,10,5
7,2,2
8,3,7
9,22,2
10,16,3
11,16,3
12,12,2
13,12,2
14,10,6
15,11,4
16,8,3
17,22,7
18,4,1
19,19,2
20,21,6
21,10,1
22,5,7
23,5,7
24,5,7
25,5,7
26,5,7
27,5,7
28,5,7
29,5,7
30,5,7
31,8,4
32,8,4
33,23,7
34,13,5
35,16,7
36,13,4
37,5,5
38,23,4
39,15,2
40,0,2
41,21,4
42,21,4
43,15,5
44,13,7
45,6,7
46,16,1
47,15,4
48,15,4
49,8,4
50,5,4
51,14,7
52,14,7
53,10,5
54,23,3
55,21,5
56,21,5
57,22,2
58,18,4
59,2,2
60,2,2
61,3,7
62,21,7
63,17,1
64,17,1
65,15,4
66,8,3
67,14,3
68,10,4
69,13,1
70,14,2
71,14,2
72,5,7
73,5,7
74,5,7
75,8,4
76,8,4
77,12,3
78,21,6
79,21,6
80,16,7
81,18,1
82,18,3
83,5,5
84,15,2
85,15,2
86,11,7
87,22,5
88,17,6
89,3,1
90,10,1
91,16,1
92,14,6
93,17,1
94,7,2
95,17,1
96,18,7
97,18,7
98,18,7
99,1,4
100,2,7
101,7,6
102,22,6
103,11,6
104,6,2
105,8,2
106,8,2
107,6,1
108,10,1
109,18,3
110,18,3
111,17,7
112,9,7
113,5,6
114,16,2
115,0,4
116,11,6
117,17,7
118,12,2
119,18,3
120,8,2
121,11,3
122,17,2
123,13,3
124,99,4
125,22,1
126,19,7
127,12,1
128,9,7
129,4,5
130,16,7
131,11,4
132,0,1
133,18,7
134,10,5
135,21,5
136,12,4
137,16,3
138,9,5
139,9,5
140,10,6
141,20,6
142,7,4
143,15,6
144,12,1
145,12,2
146,18,6
147,15,3
148,21,5
149,11,4
150,10,2
151,18,4
152,6,3
153,13,4
154,7,4
155,20,2
156,16,4
157,12,6
158,15,7
159,6,6
160,6,6
161,16,6
162,9,4
163,6,3
164,1,4
165,9,1
166,5,2
167,7,4
168,14,4
169,10,2
170,15,6
171,4,6
172,12,1
173,18,7
174,20,5
175,1,1
176,14,3
177,11,4
178,12,4
179,21,5
180,14,6
181,23,3
182,18,7
183,9,3
184,9,3
185,16,5
186,13,5
187,16,7
188,9,7
189,16,2
190,11,5
191,15,3
192,5,3
193,9,6
194,12,6
195,7,6
196,10,7
197,15,7
198,4,5
199,4,5
200,9,5
201,15,1
202,8,7
203,15,6
204,6,6
205,10,3
206,10,3
207,2,4
208,7,4
209,13,6
210,16,1
211,20,6
212,20,6
213,6,4
214,15,3
215,15,4
216,7,1
217,9,5
218,20,7
219,19,7
220,15,6
221,20,7
222,6,5
223,5,3
224,8,4
225,11,4
226,10,7
227,11,2
228,0,2
229,0,1
230,16,2
231,16,2
232,19,2
233,19,2
234,22,2
235,23,3
236,17,4
237,15,6
238,17,6
239,7,7
240,12,7
241,17,6
242,8,4
243,4,6
244,15,2
245,16,2
246,14,3
247,23,3
248,14,4
249,18,7
250,8,6
251,10,6
252,10,5
253,14,7
254,9,1
255,18,2
256,21,2
257,11,3
258,19,1
259,20,7
260,7,3
261,12,4
262,4,5
263,5,7
264,18,7
265,22,3
266,11,1
267,10,7
268,12,7
269,19,3
270,14,3
271,18,3
272,15,4
273,14,5
274,18,5
275,5,6
276,18,5
277,8,5
278,21,7
279,15,5
280,15,5
281,21,6
282,0,1
283,14,3
284,3,7
285,12,7
286,0,7
287,12,2
288,6,4
289,14,4
290,18,5
291,7,6
292,9,2
293,20,5
294,7,1
295,17,3
296,10,6
297,16,2
298,11,3
299,7,4
300,10,4
301,11,5
302,3,6
303,6,6
304,9,6
305,13,6
306,21,7
307,12,1
308,11,2
309,7,4
310,18,4
311,14,4
312,21,1
313,5,5
314,9,5
315,8,2
316,12,2
317,13,2
318,17,7
319,11,1
320,11,1
321,0,3
322,1,6
323,9,4
324,13,5
325,14,4
326,18,1
327,15,3
328,17,3
329,6,4
330,15,3
331,11,2
332,14,2
333,2,6
334,7,3
335,15,3
336,4,5
337,10,1
338,10,1
339,14,1
340,9,2
341,20,2
342,16,1
343,8,4
344,17,3
345,7,4
346,11,4
347,14,2
348,12,3
349,17,3
350,2,3
351,23,4
352,15,5
353,15,5
354,99,1
355,17,7
356,11,3
357,18,3
358,13,2
359,10,4
360,11,2
361,1,3
362,22,5
363,20,2
364,17,2
365,15,3
366,11,4
367,3,7
368,23,7
369,20,1
370,5,2
371,15,6
372,22,5
373,5,7
374,9,2
375,9,4
376,11,2
377,13,6
378,6,1
379,10,4
380,21,4
381,9,2
382,23,4
383,5,6
384,13,5
385,8,7
386,6,3
387,3,3
388,11,5
389,16,3
390,21,7
391,8,2
392,17,1
393,0,6
394,6,5
395,13,6
396,21,3
397,17,6
398,1,6
399,9,2
400,11,2
401,14,4
402,0,5
403,17,6
404,6,7
405,19,1
406,19,5
407,14,2
408,8,1
409,15,7
410,9,4
411,14,1
412,12,6
413,7,5
414,6,7
415,15,7
416,18,1
417,9,2
418,12,3
419,11,4
420,18,4
421,12,3
422,11,5
423,5,2
424,14,4
425,4,1
426,16,1
427,1,2
428,13,3
429,16,5
430,13,6
431,13,1
432,21,3
433,5,6
434,20,7
435,14,3
436,11,6
437,0,4
438,17,6
439,16,6
440,17,2
441,14,3
442,21,1
443,23,2
444,23,4
445,19,7
446,0,3
447,2,7
448,12,1
449,14,6
450,8,6
451,16,7
452,4,3
453,20,7
454,20,7
455,15,1
456,5,5
457,15,2
458,8,4
459,11,4
460,9,1
461,7,4
462,21,6
