,acchr,dayofweek
0,9,4
1,18,6
2,18,6
3,12,1
4,15,3
5,0,1
6,14,1
7,10,1
8,20,2
9,2,1
10,3,4
11,2,7
12,11,2
13,8,1
14,14,1
15,3,1
16,10,1
17,15,7
18,21,5
19,11,3
20,11,3
21,22,2
22,6,2
23,3,7
24,16,3
25,17,7
26,22,7
27,16,7
28,13,1
29,23,6
30,23,6
31,23,6
32,22,2
33,11,6
34,20,1
35,20,1
36,20,2
37,0,1
38,0,1
39,15,3
40,15,3
41,8,4
42,18,3
43,18,3
44,21,3
45,2,6
46,1,1
47,16,7
48,22,2
49,16,5
50,3,1
51,16,3
52,16,3
53,2,7
54,12,3
55,13,5
56,2,7
57,23,6
58,19,3
59,15,6
60,13,2
61,13,2
62,23,4
63,12,2
64,12,1
65,9,5
66,0,1
67,1,1
68,1,7
69,0,3
70,8,4
71,18,3
72,14,6
73,20,3
74,7,2
75,23,3
76,23,3
77,21,3
78,2,2
79,2,6
80,0,6
81,9,4
82,14,6
83,3,1
84,3,4
85,17,7
86,10,4
87,17,6
88,18,2
89,13,5
90,10,1
91,21,6
92,1,4
93,19,3
94,11,2
95,8,1
96,18,3
97,2,1
98,13,5
99,0,2
100,15,3
101,11,6
102,20,2
103,5,4
104,14,5
105,14,7
106,23,3
107,6,2
108,6,2
109,16,5
110,15,7
111,8,3
112,10,1
113,10,1
114,10,1
115,4,6
116,22,2
117,10,1
118,11,2
119,18,3
120,18,3
121,23,4
122,21,2
123,21,7
124,15,3
125,13,7
126,0,7
127,0,3
128,0,3
129,1,7
130,7,5
131,7,2
132,7,2
133,13,6
134,2,2
135,11,3
136,21,7
137,11,4
138,13,2
139,4,1
140,4,7
141,3,1
142,17,6
143,19,4
144,2,7
145,4,1
146,13,7
147,1,4
148,5,7
149,15,3
150,12,1
151,0,2
152,15,2
153,11,7
154,18,7
155,18,7
156,8,4
157,3,7
158,21,5
159,22,2
160,22,2
161,5,6
162,5,6
163,21,6
164,3,4
165,4,1
166,13,5
167,10,1
168,22,4
169,15,3
170,7,2
171,18,3
172,2,1
173,19,5
174,11,7
175,21,4
176,0,1
177,17,6
178,17,6
179,15,7
180,6,7
181,9,7
182,9,7
183,12,6
184,18,3
185,14,6
186,14,5
187,13,6
188,10,5
189,10,5
190,2,2
191,3,7
192,22,2
193,16,3
194,16,3
195,12,2
196,12,2
197,10,6
198,11,4
199,8,3
200,22,7
201,4,1
202,19,2
203,21,6
204,10,1
205,5,7
206,5,7
207,5,7
208,5,7
209,5,7
210,5,7
211,5,7
212,5,7
213,5,7
214,8,4
215,8,4
216,23,7
217,13,5
218,16,7
219,13,4
220,5,5
221,23,4
222,15,2
223,0,2
224,21,4
225,21,4
226,15,5
227,13,7
228,6,7
229,16,1
230,15,4
231,15,4
232,8,4
233,5,4
234,14,7
235,14,7
236,10,5
237,23,3
238,21,5
239,21,5
240,22,2
241,18,4
242,2,2
243,2,2
244,3,7
245,21,7
246,17,1
247,17,1
248,15,4
249,8,3
250,14,3
251,10,4
252,13,1
253,14,2
254,14,2
255,5,7
256,5,7
257,5,7
258,8,4
259,8,4
260,12,3
261,21,6
262,21,6
263,16,7
264,18,1
265,18,3
266,5,5
267,15,2
268,15,2
269,11,7
270,22,5
271,17,6
272,3,1
273,10,1
274,16,1
275,19,3
276,5,7
277,5,7
278,16,2
279,14,4
280,8,4
281,17,1
282,19,3
283,17,7
284,8,2
285,17,2
286,8,2
287,19,6
288,18,2
289,10,7
290,9,1
291,18,2
292,20,4
293,14,4
294,18,4
295,14,7
296,13,7
297,8,5
298,8,6
299,19,2
300,11,4
301,19,6
302,18,7
303,13,4
304,11,7
305,17,5
306,13,4
307,8,4
308,13,3
309,17,5
310,21,2
311,8,4
312,17,2
313,13,1
314,21,2
315,19,6
316,20,1
317,0,1
318,17,5
319,7,7
320,14,3
321,13,2
322,22,5
323,17,2
324,20,4
325,20,7
326,23,3
327,10,5
328,18,4
329,3,7
330,9,7
331,16,1
332,16,4
333,20,1
334,8,4
335,12,7
336,12,6
337,18,4
338,22,6
339,19,6
340,20,7
341,21,5
342,14,1
343,12,7
344,1,7
345,18,3
346,12,5
347,16,5
348,16,2
349,15,4
350,8,6
351,15,5
352,15,6
353,7,4
354,16,2
355,19,3
356,6,1
357,8,1
358,7,2
359,9,7
360,17,4
361,11,3
362,17,1
363,23,2
364,20,7
365,19,1
366,13,2
367,22,7
368,17,2
369,20,2
370,18,1
371,15,3
372,16,4
373,17,5
374,16,4
375,17,3
376,11,7
377,16,5
378,13,7
379,10,6
380,12,4
381,21,1
382,6,6
383,7,4
384,12,1
385,22,5
386,1,2
387,0,4
388,5,6
389,15,3
390,20,4
391,11,1
392,18,2
393,9,3
394,16,5
395,14,3
396,18,4
397,2,5
398,15,7
399,6,6
400,12,5
401,7,2
402,14,6
403,11,6
404,15,3
405,5,4
406,16,5
407,3,6
408,15,1
409,14,7
410,10,1
411,2,2
412,2,2
413,17,1
414,19,1
415,7,5
416,8,4
417,15,6
418,14,1
419,9,7
420,2,3
421,2,6
422,22,7
423,2,7
424,4,1
425,0,7
426,15,2
427,8,4
428,14,4
429,22,5
430,23,2
431,18,1
432,20,1
433,21,1
434,18,1
435,18,1
436,18,7
437,17,3
438,6,3
439,0,5
440,11,4
441,10,3
442,1,7
443,19,5
444,1,2
445,22,7
446,19,7
447,20,3
448,14,3
449,4,2
450,1,7
451,21,3
452,21,6
453,13,6
454,2,7
455,22,7
456,8,4
457,0,7
458,21,1
459,18,3
460,18,4
461,1,1
462,1,1
463,18,4
464,8,5
465,20,5
466,0,7
467,14,7
468,9,5
469,18,4
470,22,7
471,23,6
472,12,7
473,20,5
474,0,1
475,13,1
476,18,1
477,6,4
478,21,2
479,22,2
480,19,7
481,19,2
482,20,4
483,21,7
484,15,4
485,12,1
486,19,6
487,16,6
488,15,2
489,0,3
490,16,4
491,7,4
492,15,7
493,15,7
494,0,1
495,15,4
496,18,7
497,12,5
498,14,3
499,10,7
500,21,5
501,0,6
502,12,7
503,18,1
504,18,4
505,3,6
506,22,6
507,20,2
508,16,5
509,2,5
510,23,2
511,16,3
512,22,6
513,17,5
514,0,3
515,13,5
516,13,7
517,19,6
518,23,1
519,13,7
520,7,6
521,22,4
522,22,3
523,8,2
524,0,7
525,20,6
526,20,7
527,16,5
528,1,7
529,19,5
530,15,1
531,20,3
532,15,7
533,21,6
534,17,5
535,21,6
536,13,4
537,14,1
538,4,6
539,13,1
540,2,6
541,14,1
542,21,3
543,21,7
544,11,3
545,21,2
546,0,5
547,21,5
548,15,4
549,12,5
550,21,2
551,16,4
552,22,4
553,19,3
554,18,7
555,1,7
556,18,4
557,13,2
558,11,4
559,18,4
560,11,4
561,23,2
562,7,6
563,20,5
564,15,2
565,0,7
566,21,3
567,6,2
568,15,4
569,18,1
570,12,7
571,22,3
572,23,3
573,3,7
574,13,1
575,11,3
576,13,3
577,6,5
578,11,7
579,16,4
580,0,7
581,13,2
582,12,1
583,13,1
584,15,6
585,15,6
586,18,4
587,15,6
588,12,2
589,21,5
590,22,1
591,14,2
592,21,1
593,14,6
594,16,5
595,6,5
596,13,1
597,7,2
598,19,7
599,1,1
600,6,6
601,10,6
602,10,6
603,14,3
604,21,6
605,16,2
606,17,5
607,2,6
608,19,4
609,20,1
610,23,7
611,0,7
612,15,6
613,16,4
614,19,1
615,19,1
616,5,1
617,19,6
618,19,2
619,17,6
620,17,6
621,7,2
622,8,7
623,20,7
624,9,1
625,11,7
626,23,7
627,19,4
628,3,7
629,12,3
630,16,1
631,16,5
632,23,7
633,17,2
634,0,4
635,21,2
636,17,2
637,0,7
638,19,1
639,15,4
640,15,4
641,8,1
642,17,4
643,21,6
644,14,1
645,12,4
646,20,5
647,3,3
648,11,7
649,8,6
650,16,4
651,18,2
652,14,4
653,13,7
654,16,3
655,19,6
656,14,3
657,1,6
658,21,6
659,11,7
660,8,2
661,21,4
662,14,3
663,23,7
664,15,4
665,19,1
666,1,1
667,17,6
668,22,5
669,12,2
670,23,7
671,11,4
672,21,6
673,17,5
674,17,6
675,3,6
676,11,3
677,19,5
678,3,1
679,12,6
680,23,5
681,14,1
682,17,5
683,18,5
684,3,1
685,22,7
686,22,6
687,16,1
688,22,7
689,16,2
690,12,5
691,17,5
692,21,6
693,21,6
694,8,4
695,16,3
696,4,7
697,16,1
698,19,1
699,21,2
700,1,7
701,1,6
702,4,3
703,20,1
704,22,7
705,3,1
706,18,7
707,6,2
708,16,3
709,2,5
710,17,2
711,5,1
712,19,5
713,15,3
714,20,5
715,0,1
716,10,5
717,1,5
718,17,1
719,6,4
720,5,4
721,1,1
722,2,5
723,14,3
724,21,6
725,15,5
726,10,7
727,7,2
728,17,2
729,20,7
730,16,6
731,4,6
732,0,1
733,18,5
734,21,2
735,7,5
736,16,4
737,13,7
738,20,4
739,22,6
740,2,5
741,3,7
742,12,6
743,2,7
744,4,3
745,9,6
746,13,1
747,18,3
748,22,7
749,20,4
750,23,7
751,17,5
752,20,3
753,4,1
754,16,5
755,1,1
756,8,7
757,18,6
758,8,7
759,18,3
760,20,1
761,12,7
762,16,5
763,8,6
764,15,3
765,10,5
766,6,3
767,16,2
768,20,1
769,21,4
770,8,6
771,1,4
772,20,1
773,22,1
774,18,7
775,3,7
776,16,2
777,1,4
778,16,3
779,14,2
780,17,6
781,15,6
782,23,2
783,15,3
784,19,2
785,17,2
786,16,4
787,19,7
788,15,2
789,15,5
790,18,4
791,22,1
792,0,5
793,18,1
794,18,7
795,19,2
796,17,3
797,17,4
798,23,6
799,8,3
800,0,2
801,8,3
802,23,4
803,0,6
804,22,2
805,4,1
806,14,4
807,18,5
808,23,7
809,2,1
810,15,6
811,2,1
812,16,2
813,18,3
814,18,7
815,14,3
816,23,7
817,14,4
818,15,2
819,10,2
820,6,3
821,23,3
822,7,3
823,18,5
824,13,6
825,13,6
826,19,6
827,7,7
828,20,1
829,19,2
830,19,1
831,7,2
832,17,2
833,22,5
834,19,1
835,15,2
836,21,4
837,20,6
838,11,2
839,12,2
840,18,3
841,22,3
842,22,1
843,18,6
844,6,6
845,23,7
846,15,3
847,5,5
848,23,3
849,14,2
850,8,7
851,23,7
852,23,7
853,20,7
854,5,6
855,7,4
856,12,6
857,22,7
858,17,6
859,22,5
860,22,3
861,14,7
862,19,1
863,19,2
864,21,7
865,18,7
866,3,6
867,1,1
868,11,2
869,6,5
870,15,5
871,23,6
872,10,6
873,10,6
874,2,6
875,22,6
876,18,4
877,8,5
878,0,7
879,21,6
880,9,4
881,21,7
882,2,6
883,15,5
884,21,2
885,16,7
886,5,3
887,2,3
888,18,6
889,21,5
890,16,6
891,0,7
892,8,1
893,17,3
894,20,3
895,3,4
896,0,2
897,16,1
898,15,2
899,13,4
900,15,3
901,19,1
902,9,2
903,16,6
904,23,7
905,1,2
906,18,3
907,13,6
908,23,7
909,22,5
910,20,1
911,11,7
912,18,3
913,11,5
914,14,4
915,18,5
916,12,7
917,0,5
918,0,5
919,17,6
920,18,4
921,22,6
922,0,3
923,7,4
924,16,4
925,3,6
926,14,5
927,16,5
928,16,3
929,17,2
930,3,6
931,21,2
932,20,1
933,10,3
934,17,6
935,18,3
936,23,6
937,19,2
938,16,1
939,17,2
940,12,4
941,20,7
942,14,7
943,17,6
944,14,7
945,16,7
946,7,4
947,7,4
948,9,6
949,22,1
950,1,1
951,11,3
952,16,4
953,16,4
954,1,5
955,15,4
956,1,2
957,16,1
958,19,6
959,6,1
