,acchr,dayofweek
0,9,4
1,18,6
2,18,6
3,12,1
4,15,3
5,14,1
6,10,1
7,20,2
8,2,1
9,3,4
10,11,2
11,8,1
12,14,1
13,3,1
14,10,1
15,15,7
16,21,5
17,11,3
18,11,3
19,6,2
20,3,7
21,17,7
22,22,7
23,16,7
24,13,1
25,20,2
26,15,3
27,8,4
28,21,3
29,22,2
30,3,1
31,13,5
32,23,4
33,12,2
34,12,1
35,9,5
36,1,1
37,8,4
38,14,6
39,20,3
40,23,3
41,23,3
42,21,3
43,2,2
44,0,6
45,9,4
46,14,6
47,3,1
48,3,4
49,17,7
50,10,4
51,18,2
52,13,5
53,10,1
54,21,6
55,1,4
56,11,2
57,8,1
58,18,3
59,2,1
60,13,5
61,0,2
62,11,6
63,20,2
64,14,5
65,14,7
66,23,3
67,6,2
68,6,2
69,16,5
70,8,3
71,10,1
72,10,1
73,10,1
74,10,1
75,11,2
76,18,3
77,18,3
78,23,4
79,13,7
80,1,7
81,7,5
82,13,6
83,2,2
84,11,3
85,11,4
86,13,2
87,3,1
88,4,1
89,1,4
90,15,3
91,12,1
92,0,2
93,15,2
94,11,7
95,18,7
96,18,7
97,8,4
98,3,7
99,21,5
100,22,2
101,3,4
102,4,1
103,13,5
104,10,1
105,22,4
106,15,3
107,7,2
108,18,3
109,2,1
110,19,5
111,11,7
112,17,6
113,17,6
114,15,7
115,6,7
116,9,7
117,9,7
118,12,6
119,18,3
120,14,6
121,14,5
122,13,6
123,2,2
124,16,3
125,16,3
126,12,2
127,12,2
128,10,6
129,11,4
130,8,3
131,22,7
132,4,1
133,19,2
134,21,6
135,10,1
136,23,7
137,13,4
138,5,5
139,23,4
140,15,2
141,0,2
142,15,5
143,13,7
144,6,7
145,16,1
146,8,4
147,14,7
148,14,7
149,23,3
150,21,5
151,21,5
152,22,2
153,2,2
154,2,2
155,21,7
156,17,1
157,17,1
158,15,4
159,8,3
160,14,3
161,10,4
162,13,1
163,14,2
164,14,2
165,12,3
166,21,6
167,21,6
168,18,1
169,18,3
170,5,5
171,15,2
172,15,2
173,11,7
174,22,5
175,17,6
176,3,1
177,10,1
178,16,1
179,17,2
180,10,7
181,14,4
182,13,7
183,8,6
184,11,4
185,8,4
186,8,4
187,0,1
188,13,2
189,17,2
190,20,7
191,23,3
192,9,7
193,16,1
194,20,7
195,14,1
196,12,5
197,16,2
198,6,1
199,7,2
200,9,7
201,23,2
202,20,7
203,13,2
204,17,2
205,20,2
206,16,4
207,17,3
208,16,5
209,13,7
210,10,6
211,7,4
212,9,3
213,16,5
214,6,6
215,14,6
216,15,3
217,16,5
218,15,1
219,14,7
220,10,1
221,2,2
222,2,2
223,4,1
224,0,7
225,22,5
226,18,7
227,17,3
228,6,3
229,0,5
230,11,4
231,10,3
232,1,7
233,19,5
234,4,2
235,13,6
236,22,7
237,0,7
238,18,4
239,18,4
240,8,5
241,22,7
242,22,2
243,15,4
244,12,1
245,19,6
246,16,6
247,15,2
248,0,3
249,7,4
250,15,7
251,15,7
252,0,1
253,14,3
254,10,7
255,21,5
256,22,6
257,7,6
258,22,4
259,8,2
260,20,7
261,1,7
262,15,1
263,20,3
264,17,5
265,21,6
266,14,1
267,13,1
268,2,6
269,14,1
270,21,3
271,15,4
272,16,4
273,18,7
274,13,2
275,11,4
276,7,6
277,13,1
278,6,5
279,11,7
280,13,2
281,12,1
282,13,1
283,15,6
284,15,6
285,18,4
286,15,6
287,21,1
288,16,5
289,6,5
290,19,7
291,1,1
292,10,6
293,14,3
294,17,5
295,2,6
296,19,4
297,23,7
298,15,6
299,19,6
300,17,6
301,17,6
302,7,2
303,8,7
304,9,1
305,16,5
306,0,7
307,14,1
308,12,4
309,20,5
310,8,6
311,18,2
312,14,4
313,11,7
314,17,6
315,12,2
316,11,4
317,17,5
318,11,3
319,12,6
320,14,1
321,22,6
322,17,5
323,1,6
324,22,7
325,18,7
326,6,2
327,2,5
328,17,2
329,5,1
330,15,3
331,20,5
332,17,1
333,6,4
334,2,5
335,14,3
336,0,1
337,13,7
338,2,5
339,9,6
340,13,1
341,22,7
342,23,7
343,16,5
344,18,6
345,8,7
346,12,7
347,10,5
348,16,2
349,18,7
350,16,2
351,17,6
352,15,6
353,19,2
354,16,4
355,15,2
356,15,5
357,18,7
358,19,2
359,17,3
360,23,6
361,0,2
362,15,6
363,18,7
364,14,3
365,14,4
366,18,3
367,22,1
368,23,7
369,19,1
370,11,2
371,15,5
372,10,6
373,9,4
374,21,2
375,16,7
376,2,3
377,16,6
378,17,3
379,20,3
380,3,4
381,0,2
382,15,2
383,13,4
384,23,7
385,13,6
386,11,7
387,14,4
388,18,5
389,12,7
390,17,6
391,18,4
392,22,6
393,14,5
394,16,5
395,16,3
396,21,2
397,10,3
398,23,6
399,17,2
400,12,4
401,20,7
402,14,7
403,16,7
404,7,4
405,7,4
406,9,6
407,11,3
408,16,4
409,16,4
410,15,4
411,1,2
412,17,2
413,7,4
414,15,6
415,17,5
416,21,7
417,16,4
418,0,7
419,2,6
420,21,6
421,16,1
422,2,1
423,19,2
424,6,5
425,7,5
426,9,6
427,6,2
428,19,7
429,19,7
430,18,6
431,14,2
432,15,2
433,14,3
434,14,3
435,17,4
436,19,7
437,7,4
438,22,7
439,20,1
440,23,7
441,19,1
442,15,6
443,17,3
444,14,4
445,9,3
446,7,2
447,16,3
448,19,5
449,7,5
450,16,1
451,19,2
452,1,1
453,15,4
454,14,4
455,16,5
456,22,7
457,23,6
458,18,3
459,15,3
460,16,6
461,22,7
462,7,3
463,18,7
464,6,4
465,13,3
466,15,3
467,7,5
468,7,5
469,7,5
470,13,7
471,7,7
472,21,6
473,17,7
474,18,6
475,6,2
476,15,2
477,16,1
478,18,6
479,5,1
480,21,1
481,21,1
482,16,4
483,14,4
484,23,5
485,23,4
486,13,1
487,0,2
488,23,5
489,15,6
490,23,5
491,10,3
492,8,2
493,12,7
494,12,5
495,17,4
496,18,3
497,7,2
498,14,1
499,6,3
500,6,6
501,11,2
502,20,2
503,20,2
504,16,2
505,7,3
506,15,1
507,4,1
508,18,6
509,1,4
510,16,4
511,23,7
512,8,6
513,6,1
514,16,1
515,3,1
516,10,4
517,14,5
518,15,7
519,20,6
520,19,2
521,12,2
522,0,2
523,15,6
524,6,3
525,21,4
526,15,6
527,14,3
528,18,2
529,5,3
530,18,1
531,10,6
532,10,6
533,7,5
534,6,6
535,7,6
536,7,6
537,7,6
538,9,2
539,0,7
540,16,3
541,11,7
542,11,7
543,20,3
544,3,6
545,14,3
546,18,3
547,23,5
548,5,7
549,11,7
550,19,2
551,14,5
552,20,7
553,14,1
554,2,3
555,22,1
556,17,2
557,8,5
558,14,1
559,1,3
560,5,3
561,8,3
562,10,1
563,15,2
564,10,7
565,4,6
566,18,7
567,22,1
568,2,2
569,19,6
570,13,2
571,18,1
572,13,1
573,5,6
574,5,1
575,7,1
576,23,7
577,16,3
578,16,3
579,10,3
580,21,1
581,12,3
582,20,6
583,8,3
584,7,7
585,7,2
586,0,5
587,22,5
588,2,2
589,6,3
590,17,7
591,10,1
592,6,6
593,15,2
594,22,1
595,1,7
596,14,3
597,6,2
598,22,7
599,10,6
600,7,1
601,15,4
602,16,6
603,2,3
604,15,1
605,0,2
606,8,5
607,20,7
608,22,7
609,9,5
610,21,4
611,21,5
612,20,4
613,7,3
614,10,6
615,20,4
616,11,6
617,22,7
618,20,3
619,17,1
620,7,6
621,21,2
622,23,6
623,23,6
624,10,6
625,9,7
626,23,7
627,23,4
628,15,6
629,18,4
630,7,3
631,13,7
632,21,7
633,11,1
634,11,1
635,17,1
636,14,7
637,22,6
638,14,4
639,15,1
640,22,2
641,16,5
642,18,3
643,14,2
644,22,6
645,6,5
646,12,5
647,12,5
648,10,6
649,13,5
650,12,7
651,20,1
652,6,5
653,12,2
654,22,4
655,15,1
656,11,2
657,8,4
658,14,3
659,7,6
660,6,6
661,6,6
662,21,7
663,6,2
664,23,3
665,17,4
666,12,4
667,0,1
668,5,2
669,16,3
670,9,5
671,13,6
672,18,2
673,6,6
674,21,5
675,16,4
676,21,6
677,10,2
678,17,3
679,13,7
680,9,4
681,1,6
682,17,1
683,17,1
684,13,4
685,16,1
686,17,2
687,20,5
688,15,1
689,17,4
690,19,2
691,10,5
692,16,3
693,16,3
694,20,2
695,19,7
696,10,1
697,17,7
698,16,5
699,12,1
700,7,6
701,23,7
702,19,3
703,8,4
704,14,2
705,17,5
706,18,7
707,13,2
708,1,7
709,1,7
710,1,7
711,2,6
712,8,6
713,17,1
714,19,7
715,8,2
716,10,4
717,8,7
718,7,4
719,14,3
720,6,3
721,22,7
722,6,5
723,15,4
724,21,1
725,17,3
726,18,3
727,6,4
728,8,3
729,2,6
730,17,6
731,17,6
732,16,1
733,16,6
734,20,7
735,19,7
736,13,7
737,16,3
738,16,3
739,21,7
740,17,7
741,17,5
742,15,4
743,16,6
744,17,5
745,2,1
746,20,1
747,18,3
748,15,6
749,13,2
750,16,5
751,21,4
752,12,3
753,1,5
754,3,6
755,22,7
756,9,1
757,12,6
758,12,6
759,11,7
760,7,4
761,16,2
762,14,7
763,14,6
764,2,1
765,22,4
766,1,1
767,21,1
768,13,1
769,16,1
770,14,7
771,7,2
772,23,2
773,15,1
774,14,5
775,6,3
776,11,1
777,19,3
778,13,1
779,16,7
780,23,6
781,15,4
782,22,2
783,15,2
784,21,4
785,13,1
786,9,2
787,17,3
788,18,6
789,19,2
790,9,4
791,9,2
792,22,6
793,23,7
794,0,7
795,11,3
796,2,6
797,9,3
798,6,3
799,14,6
800,10,4
801,8,4
802,12,4
803,17,1
804,9,7
805,23,5
806,9,3
807,16,1
808,16,4
809,21,5
810,19,1
811,9,4
812,6,2
813,5,7
814,5,7
815,19,4
816,14,3
817,21,5
818,16,2
819,3,3
820,0,5
821,19,3
822,12,2
823,21,1
824,3,7
825,16,1
826,13,4
827,11,5
828,18,5
829,7,3
830,22,1
831,22,5
832,8,4
833,20,7
834,0,7
835,1,7
836,17,1
837,22,3
838,15,1
839,7,5
840,4,7
841,12,1
842,12,6
843,8,5
844,10,2
845,18,5
846,16,1
847,15,3
848,2,2
849,9,6
850,10,7
851,18,1
852,20,2
853,20,2
854,15,2
855,21,1
856,10,3
857,18,2
858,5,7
859,23,1
860,6,2
861,8,3
862,19,7
863,16,6
864,19,7
865,10,4
866,20,7
867,8,6
868,16,7
869,9,5
870,18,3
871,13,7
872,12,2
873,11,4
874,16,4
875,7,7
876,3,6
877,10,6
878,15,4
879,17,3
880,20,3
881,15,4
882,18,7
883,10,4
884,9,6
885,9,7
886,10,1
887,19,4
888,23,6
889,13,6
890,16,1
891,17,4
892,7,4
893,16,7
894,17,5
895,5,4
896,21,5
897,2,6
898,16,3
899,2,7
900,12,7
901,7,3
902,15,1
903,15,1
904,14,4
905,14,3
906,10,7
907,18,4
908,0,7
909,16,5
910,11,4
911,9,4
912,12,1
913,15,1
914,20,2
915,16,4
916,20,2
917,13,6
918,10,6
919,11,1
920,15,6
921,6,3
922,7,4
923,18,7
924,11,6
925,9,3
926,1,3
927,12,6
928,7,6
929,12,2
930,3,6
931,0,7
932,9,3
933,11,6
934,17,6
935,10,1
936,12,5
937,15,6
938,23,6
939,21,7
940,9,5
941,9,4
942,12,4
943,15,7
944,13,2
945,13,5
946,7,2
947,19,2
948,10,4
949,9,7
950,22,1
951,19,5
952,22,5
953,21,5
954,20,1
955,13,2
956,22,1
957,10,7
958,2,2
959,2,2
