,acchr,dayofweek
0,12,6
1,18,3
2,14,6
3,14,5
4,13,6
5,2,2
6,16,3
7,16,3
8,12,2
9,10,6
10,11,4
11,22,7
12,21,6
13,10,1
14,13,5
15,23,4
16,15,2
17,21,4
18,15,5
19,6,7
20,16,1
21,14,7
22,23,3
23,21,5
24,22,2
25,18,4
26,3,7
27,17,1
28,17,1
29,15,4
30,14,3
31,10,4
32,13,1
33,14,2
34,14,2
35,8,4
36,21,6
37,18,1
38,18,3
39,5,5
40,15,2
41,11,7
42,22,5
43,17,6
44,4,1
45,22,6
46,22,6
47,22,7
48,23,7
49,19,4
50,17,7
51,20,3
52,13,6
53,13,5
54,21,6
55,20,4
56,13,6
57,14,7
58,3,1
59,11,7
60,12,5
61,10,4
62,1,3
63,15,7
64,14,1
65,14,1
66,7,2
67,9,3
68,9,3
69,20,6
70,13,1
71,14,7
72,14,7
73,11,3
74,6,2
75,3,1
76,11,7
77,19,3
78,14,3
79,12,5
80,21,6
81,12,6
82,19,5
83,11,7
84,15,7
85,9,3
86,9,3
87,7,2
88,17,1
89,18,7
90,18,7
91,18,7
92,1,4
93,2,7
94,7,6
95,11,6
96,6,2
97,8,2
98,8,2
99,6,1
100,10,1
101,18,3
102,18,3
103,17,7
104,9,7
105,5,6
106,16,2
107,11,6
108,17,7
109,12,2
110,18,3
111,8,2
112,11,3
113,17,2
114,13,3
115,19,7
116,12,1
117,9,7
118,4,5
119,16,7
120,11,4
121,0,1
122,10,5
123,12,4
124,16,3
125,9,5
126,10,6
127,20,6
128,7,4
129,15,6
130,12,1
131,12,2
132,15,3
133,11,4
134,10,2
135,13,4
136,7,4
137,12,6
138,6,6
139,6,6
140,16,6
141,9,4
142,1,4
143,5,2
144,7,4
145,14,4
146,10,2
147,15,6
148,4,6
149,12,1
150,18,7
151,1,1
152,11,4
153,12,4
154,21,5
155,14,6
156,18,7
157,9,3
158,9,3
159,16,5
160,13,5
161,16,7
162,9,7
163,16,2
164,11,5
165,15,3
166,5,3
167,9,6
168,12,6
169,7,6
170,10,7
171,15,7
172,4,5
173,9,5
174,15,1
175,15,6
176,6,6
177,10,3
178,10,3
179,2,4
180,13,6
181,16,1
182,20,6
183,20,6
184,6,4
185,15,3
186,15,4
187,7,1
188,20,7
189,19,7
190,15,6
191,20,7
192,6,5
193,8,4
194,11,4
195,10,7
196,16,2
197,19,2
198,19,2
199,22,2
200,23,3
201,17,4
202,15,6
203,17,6
204,7,7
205,12,7
206,8,4
207,4,6
208,15,2
209,16,2
210,14,3
211,8,6
212,10,6
213,14,7
214,18,2
215,11,3
216,19,1
217,20,7
218,12,4
219,5,7
220,18,7
221,22,3
222,10,7
223,12,7
224,14,3
225,14,5
226,18,5
227,8,5
228,15,5
229,0,1
230,14,3
231,0,7
232,12,2
233,14,4
234,18,5
235,9,2
236,20,5
237,17,3
238,10,6
239,11,5
240,6,6
241,9,6
242,12,1
243,11,2
244,18,4
245,14,4
246,21,1
247,5,5
248,9,5
249,8,2
250,11,1
251,0,3
252,1,6
253,9,4
254,14,4
255,18,1
256,15,3
257,17,3
258,15,3
259,4,5
260,10,1
261,14,1
262,9,2
263,20,2
264,16,1
265,8,4
266,11,4
267,14,2
268,12,3
269,17,3
270,23,4
271,15,5
272,99,1
273,11,3
274,18,3
275,13,2
276,10,4
277,11,2
278,1,3
279,22,5
280,17,2
281,15,3
282,11,4
283,3,7
284,20,1
285,5,2
286,15,6
287,22,5
288,5,7
289,9,2
290,11,2
291,13,6
292,8,7
293,16,3
294,21,7
295,17,1
296,17,6
297,1,6
298,9,2
299,11,2
300,14,4
301,0,5
302,17,6
303,19,1
304,15,7
305,9,4
306,14,1
307,12,6
308,15,7
309,18,1
310,9,2
311,12,3
312,11,4
313,18,4
314,5,2
315,14,4
316,4,1
317,16,1
318,1,2
319,13,3
320,16,5
321,13,6
322,13,1
323,21,3
324,5,6
325,14,3
326,11,6
327,0,4
328,17,6
329,16,6
330,17,2
331,14,3
332,23,2
333,19,7
334,12,1
335,14,6
336,16,7
337,20,7
338,15,1
339,8,4
340,9,1
341,7,4
342,15,7
343,10,7
344,15,4
345,16,2
346,14,2
347,14,4
348,13,5
349,4,6
350,16,6
351,8,1
352,3,2
353,9,2
354,15,3
355,12,5
356,14,6
357,22,7
358,10,4
359,11,6
360,11,7
361,7,1
362,20,6
363,5,6
364,16,7
365,14,3
366,20,4
367,9,1
368,0,2
369,20,2
370,23,7
371,1,1
372,4,1
373,15,3
374,7,3
375,3,5
376,15,7
377,0,4
378,11,2
379,10,2
380,11,3
381,9,7
382,14,7
383,16,4
384,11,5
385,7,1
386,11,2
387,7,6
388,17,3
389,6,2
390,11,2
391,12,2
392,13,6
393,16,2
394,10,6
395,12,2
396,12,2
397,13,7
398,6,2
399,12,7
400,16,5
401,8,6
402,17,4
403,7,2
404,14,3
405,1,6
406,19,6
407,14,3
408,19,6
409,12,2
410,0,6
411,17,6
412,15,4
413,6,6
414,15,2
415,13,5
416,16,4
417,12,7
418,15,2
419,10,6
420,10,5
421,21,6
422,3,6
423,15,4
424,2,1
425,20,7
426,23,2
427,11,3
428,14,5
429,19,2
430,7,3
431,10,1
432,7,4
433,7,3
434,9,5
435,13,5
436,20,3
437,20,7
438,15,1
439,14,3
440,14,3
441,14,5
442,20,6
443,12,2
444,9,5
445,5,2
446,9,4
447,9,4
448,14,1
449,5,5
450,5,5
451,20,6
452,14,5
453,9,1
454,9,1
455,16,4
456,6,4
457,2,7
458,7,6
459,16,6
460,11,1
461,16,1
462,21,3
