,acchr,dayofweek
0,19,5
1,5,2
2,3,7
3,1,1
4,1,1
5,3,1
6,0,7
7,2,6
8,2,2
9,13,7
10,4,1
11,1,7
12,2,7
13,20,1
14,2,7
15,21,6
16,6,1
17,23,7
18,16,7
19,2,2
20,3,7
21,2,6
22,1,1
23,2,6
24,2,7
25,4,7
26,4,7
27,20,4
28,21,6
29,10,1
30,3,1
31,14,4
32,3,1
33,15,4
34,23,3
35,3,7
36,2,1
37,17,6
38,1,1
39,22,7
40,18,7
41,4,1
42,22,6
43,22,6
44,22,7
45,23,7
46,19,4
47,17,7
48,20,3
49,13,6
50,13,5
51,21,6
52,20,4
53,2,7
54,23,7
55,15,3
56,6,4
57,5,6
58,0,2
59,0,1
60,21,5
61,18,7
62,22,1
63,23,6
64,2,7
65,3,7
66,2,7
67,23,7
68,2,1
69,19,7
70,1,2
71,1,7
72,12,6
73,8,7
74,22,4
75,6,1
76,0,1
77,1,2
78,13,4
79,20,1
80,3,7
81,5,4
82,0,1
83,23,7
84,0,1
85,4,1
86,4,7
87,4,2
88,3,1
89,2,1
90,5,6
91,2,7
92,10,5
93,1,3
94,7,7
95,2,1
96,4,1
97,19,2
98,11,1
99,9,7
100,2,7
101,4,1
102,1,6
103,2,1
104,21,7
105,23,6
106,19,6
107,4,2
108,4,7
109,7,5
110,4,6
111,0,7
112,2,7
113,4,7
114,23,7
115,16,7
116,23,3
117,3,1
118,20,7
119,2,1
120,16,7
121,1,7
122,2,3
123,0,7
124,2,6
125,2,7
126,0,7
127,23,4
128,2,3
129,1,7
130,2,1
131,1,7
132,23,6
133,2,1
134,1,1
135,19,4
136,5,6
137,1,6
138,19,7
139,1,7
140,0,4
141,15,5
142,23,5
143,1,4
144,22,7
145,3,7
146,3,3
147,1,7
148,99,1
149,3,7
150,5,7
151,3,7
152,23,5
153,2,7
154,3,1
155,22,6
156,20,7
157,4,7
158,23,5
159,1,6
160,7,1
161,5,7
162,22,2
163,23,5
164,6,1
165,19,6
166,1,4
167,23,1
168,1,7
169,3,7
170,1,5
171,20,7
172,5,1
173,19,3
174,99,3
175,4,7
176,0,7
177,3,1
178,3,2
179,21,5
180,17,6
181,6,7
182,0,6
183,18,3
184,3,7
185,12,7
186,3,6
187,23,6
188,2,1
189,18,1
190,3,7
191,0,6
192,23,7
193,4,2
194,2,1
195,4,1
196,12,7
197,23,5
198,2,1
199,12,2
200,22,6
201,12,6
202,1,6
203,2,7
204,0,1
205,5,7
206,3,6
207,1,4
208,23,5
209,6,1
210,2,7
211,2,6
212,4,7
213,6,7
214,0,7
215,2,7
216,4,1
217,23,5
218,0,1
219,5,1
220,11,3
221,1,7
222,23,3
223,2,1
224,1,1
225,1,7
226,23,5
227,1,4
228,3,1
229,3,3
230,14,7
231,12,5
232,2,6
233,14,3
234,4,7
235,21,4
236,22,6
237,2,1
238,22,4
239,1,3
240,23,3
241,23,2
242,1,7
243,3,6
244,7,1
245,1,4
246,5,3
247,3,1
248,2,7
249,19,1
250,2,7
251,7,7
252,0,1
253,23,1
254,21,6
255,16,1
256,0,1
257,3,2
258,4,7
259,2,1
260,0,7
261,3,7
262,7,1
263,23,7
264,6,7
265,6,6
266,3,7
267,10,7
268,20,5
269,5,7
270,22,6
271,0,1
272,1,2
273,2,4
274,1,6
275,6,1
276,22,7
277,4,1
278,23,1
279,0,7
280,23,5
281,3,6
282,2,7
283,3,7
284,3,6
285,23,4
286,19,1
287,2,3
288,18,1
289,20,7
290,18,2
291,21,6
292,12,4
293,5,1
294,2,3
295,3,1
296,13,6
297,13,5
298,3,7
299,2,7
300,1,7
301,14,2
302,23,5
303,16,5
304,19,7
305,23,2
306,21,5
307,15,1
308,9,3
309,17,6
310,22,7
311,2,1
312,7,7
313,1,1
314,6,7
315,23,3
316,19,3
317,4,1
318,23,2
319,2,7
320,5,7
321,1,2
322,3,7
323,5,7
324,6,7
325,6,1
326,5,2
327,0,5
328,1,1
329,99,7
330,1,7
331,21,7
332,22,2
333,3,1
334,1,2
335,19,4
336,23,7
337,2,7
338,21,2
339,22,4
340,0,5
341,99,1
342,2,2
343,7,2
344,3,7
345,3,7
346,21,6
347,20,5
348,23,6
349,17,1
350,22,6
351,1,6
352,4,5
353,22,6
354,1,1
355,20,3
356,19,2
357,1,1
358,1,5
359,19,5
360,23,4
361,23,6
362,0,1
363,18,6
364,1,1
365,16,1
366,18,3
367,1,6
368,17,7
369,22,1
370,99,7
371,19,7
372,7,7
373,1,5
374,17,2
375,21,2
376,13,2
377,0,5
378,2,7
379,15,6
380,2,7
381,17,7
382,5,7
383,18,4
384,8,7
385,23,7
386,3,1
387,4,1
388,9,1
389,21,1
390,0,1
391,2,2
392,19,4
393,3,1
394,1,6
395,1,4
396,1,1
397,2,7
398,2,7
399,2,1
400,0,2
401,6,1
402,22,1
403,99,1
404,1,2
405,23,4
406,18,1
407,23,7
408,18,2
409,22,5
410,19,7
411,23,7
412,20,1
413,15,5
414,2,7
415,99,2
416,2,7
417,2,7
418,21,1
419,21,2
420,21,7
421,2,1
422,5,1
423,6,2
424,3,6
425,99,4
426,18,4
427,1,6
428,20,6
429,23,7
430,15,1
431,0,4
432,3,5
433,3,5
434,23,7
435,14,2
436,15,1
437,19,1
438,2,1
439,2,6
440,18,5
441,15,5
442,3,7
443,1,6
444,5,2
445,1,1
446,23,5
447,0,3
448,1,6
449,22,3
450,3,6
451,3,6
452,2,7
453,4,1
454,1,7
455,5,2
456,17,4
457,1,2
458,10,2
459,22,6
460,2,5
461,6,1
462,2,7
463,4,1
464,2,5
465,1,6
466,2,7
467,21,2
468,2,5
469,20,6
470,23,3
471,0,3
472,21,2
473,0,6
474,0,1
475,0,7
476,3,6
477,0,2
478,0,2
479,23,5
480,4,7
481,3,7
482,2,6
483,20,4
484,0,7
485,2,1
486,22,4
487,3,3
488,17,6
489,1,2
490,7,6
491,0,7
492,2,4
493,5,7
494,23,5
495,1,6
496,3,7
497,1,1
498,4,1
499,20,4
500,21,1
501,4,5
502,7,4
503,3,7
504,3,7
505,20,5
506,18,7
507,17,2
508,19,4
509,0,1
510,19,2
511,3,1
512,0,1
513,22,5
514,0,1
515,3,6
516,21,1
517,23,7
518,19,7
519,23,5
520,10,1
521,16,7
522,1,1
523,21,2
524,12,1
525,17,7
526,18,5
527,0,1
528,3,1
529,2,7
530,18,2
531,23,6
532,2,2
533,16,1
534,10,4
535,0,5
536,23,7
537,1,1
538,20,3
539,3,7
540,4,1
541,3,1
542,20,2
543,11,1
544,5,5
545,9,4
546,2,5
547,23,4
548,4,2
549,23,6
550,2,6
551,4,3
552,3,7
553,2,1
554,2,1
555,2,1
556,5,7
557,2,7
558,3,6
559,2,3
560,6,1
561,0,7
562,2,2
563,2,6
564,22,2
565,22,6
566,2,1
567,21,4
568,4,1
569,6,2
570,19,7
571,15,4
572,23,2
573,3,4
574,0,4
575,23,5
576,18,7
577,2,5
578,20,6
579,2,6
580,0,1
581,2,3
582,23,3
583,2,3
584,21,4
585,2,7
586,11,1
587,23,6
588,4,7
589,22,1
590,15,3
591,23,6
592,17,7
593,3,7
594,23,6
595,3,5
596,0,7
597,17,6
598,2,7
599,0,2
600,23,7
601,1,3
602,15,5
603,2,1
604,22,5
605,1,7
606,0,6
607,1,6
608,1,5
609,2,7
610,1,1
611,1,1
612,1,7
613,0,5
614,23,7
615,1,1
616,2,1
617,1,6
618,1,4
619,22,3
620,11,2
621,1,1
622,23,7
623,1,6
624,9,7
625,3,1
626,20,7
627,19,1
628,4,7
629,23,3
630,1,1
631,4,7
632,21,5
633,2,6
634,16,3
635,3,7
636,1,6
637,3,7
638,20,5
639,2,4
640,22,7
641,18,5
642,18,7
643,20,2
644,13,1
645,5,1
646,12,5
647,20,3
648,3,1
649,2,1
650,2,6
651,22,7
652,2,7
653,16,7
654,23,6
655,0,3
656,1,6
657,15,6
658,3,6
659,6,1
660,23,7
661,4,2
662,3,7
663,3,7
664,3,4
665,2,6
666,16,1
667,23,6
668,3,2
669,5,1
670,0,2
671,2,7
672,2,1
673,2,6
674,5,4
675,0,5
676,23,3
677,3,7
678,20,7
679,0,3
680,20,3
681,3,7
682,0,7
683,2,6
684,1,1
685,20,4
686,17,7
687,19,7
688,15,6
689,5,6
690,19,7
691,19,7
692,2,5
693,2,1
694,1,2
695,1,2
696,19,1
697,6,7
698,3,1
699,6,7
700,5,1
701,0,7
702,1,5
703,0,6
704,21,6
705,21,1
706,23,1
707,17,7
708,23,7
709,0,5
710,0,4
711,1,1
712,2,6
713,0,7
714,12,5
715,4,5
716,1,1
717,1,1
718,6,3
719,6,7
720,2,7
721,9,2
722,19,5
723,3,4
724,3,7
725,22,2
726,6,6
727,2,6
728,18,7
729,21,4
730,22,2
731,1,1
732,2,2
733,2,1
734,23,2
735,4,1
736,16,4
737,12,3
738,21,6
739,2,2
740,1,1
741,0,6
742,5,5
743,2,1
744,7,6
745,2,7
746,7,7
747,2,4
748,2,2
749,23,4
750,2,7
751,20,7
752,20,3
753,1,7
754,4,7
755,12,2
756,7,1
757,5,1
758,13,1
759,17,7
760,1,7
761,4,6
762,5,5
763,4,1
764,15,1
765,1,6
766,1,7
767,0,2
768,22,6
769,14,1
770,20,2
771,2,7
772,0,7
773,22,4
774,4,1
775,10,6
776,20,2
777,16,7
778,2,7
779,23,7
780,2,7
781,0,7
782,20,7
783,0,1
784,21,5
785,23,6
786,22,6
787,22,7
788,99,1
789,21,6
790,12,5
791,1,2
792,1,3
793,14,5
794,2,5
795,2,6
796,21,4
797,1,1
798,21,7
799,16,7
800,20,1
801,0,7
802,4,1
803,1,2
804,17,2
805,2,1
806,22,1
807,0,7
808,1,1
809,23,3
810,3,7
811,19,3
812,20,7
813,22,7
814,22,1
815,2,4
816,2,1
817,4,7
818,14,6
819,23,6
820,6,1
821,2,2
822,5,7
823,21,7
824,6,7
825,4,5
826,23,5
827,21,6
828,19,7
829,1,1
830,20,4
831,8,2
832,2,1
833,2,7
834,23,1
835,3,5
836,2,7
837,3,1
838,17,5
839,2,7
840,1,7
841,2,3
842,1,1
843,1,4
844,2,1
845,0,4
846,3,1
847,22,1
848,2,7
849,22,1
850,8,1
851,2,6
852,16,7
853,20,5
854,2,7
855,6,7
856,2,1
857,22,4
858,0,7
859,4,1
860,4,7
861,1,1
862,23,7
863,3,6
864,2,7
865,22,2
866,0,1
867,6,1
868,23,7
869,5,6
870,3,6
871,1,2
872,1,5
873,4,7
874,23,6
875,12,7
876,2,1
877,23,2
878,8,7
879,0,1
880,2,3
881,4,4
882,4,7
883,2,5
884,22,2
885,2,1
886,22,3
887,0,5
888,1,1
889,4,7
890,1,1
891,2,1
892,2,3
893,1,2
894,7,7
895,2,7
896,23,1
897,19,2
898,0,1
899,1,6
900,23,5
901,2,5
902,18,1
903,1,3
904,21,6
905,17,3
906,20,4
907,2,1
908,17,6
909,7,1
910,23,6
911,1,7
912,3,1
913,3,7
914,20,7
915,21,4
916,21,7
917,11,7
918,18,7
919,0,7
920,2,6
921,0,1
922,23,5
923,2,7
924,1,7
925,1,7
926,1,7
927,5,1
928,2,6
929,2,1
930,23,6
931,1,7
932,2,7
933,2,5
934,21,7
935,23,3
936,6,7
937,11,5
938,2,7
939,1,3
940,23,5
941,2,1
942,3,1
943,3,5
944,18,7
945,1,1
946,2,5
947,3,2
948,1,5
949,2,1
950,22,2
951,3,3
952,22,7
953,6,1
954,3,1
955,16,1
956,7,7
957,2,7
958,4,1
959,3,3
960,2,5
961,1,4
962,99,1
963,19,7
964,14,2
965,16,2
966,23,3
967,17,7
968,4,7
969,21,1
970,22,7
971,19,2
972,5,6
973,3,6
974,1,7
975,4,6
976,3,5
977,20,7
978,0,1
979,6,2
980,3,1
981,14,4
982,20,6
983,10,7
984,16,4
985,2,2
986,5,3
987,5,2
988,7,1
989,4,6
990,2,7
991,23,3
992,4,1
993,14,4
994,3,7
995,3,1
996,3,5
997,20,4
998,0,1
999,23,7
1000,14,7
1001,0,3
1002,17,3
1003,21,3
1004,2,7
1005,16,5
1006,18,5
1007,11,6
1008,14,7
1009,19,1
1010,6,7
1011,23,7
1012,22,1
1013,2,2
1014,3,1
1015,4,2
1016,2,4
1017,0,1
1018,22,2
1019,4,6
1020,5,7
1021,99,1
1022,18,6
1023,7,1
1024,1,4
1025,99,6
1026,4,6
1027,2,2
1028,2,1
1029,23,7
1030,3,6
1031,23,5
1032,2,7
1033,1,7
1034,3,1
1035,17,2
1036,2,7
1037,15,1
1038,21,6
1039,20,7
1040,99,7
1041,5,1
1042,1,7
1043,1,2
1044,1,7
1045,3,7
1046,6,1
1047,4,1
1048,1,7
1049,20,4
1050,1,1
1051,2,3
1052,16,5
1053,17,1
1054,2,6
1055,2,4
1056,1,1
1057,21,7
1058,6,1
1059,2,1
1060,2,1
1061,20,1
1062,5,7
1063,3,6
1064,5,7
1065,20,1
1066,19,3
1067,0,3
1068,19,4
1069,19,5
1070,1,1
1071,1,2
1072,18,1
1073,23,7
1074,6,6
1075,3,7
1076,2,1
1077,23,5
1078,5,7
1079,1,1
1080,17,4
1081,19,4
1082,3,7
1083,5,4
1084,22,6
1085,21,7
1086,23,6
1087,2,1
1088,4,1
1089,23,2
1090,1,4
1091,3,7
1092,0,7
1093,14,1
1094,18,6
1095,5,1
1096,15,6
1097,1,5
1098,20,1
1099,2,7
