,acchr,dayofweek
0,12,6
1,10,5
2,2,2
3,12,2
4,11,4
5,22,7
6,10,1
7,5,7
8,5,7
9,5,7
10,5,7
11,5,7
12,5,5
13,23,4
14,15,2
15,21,4
16,15,5
17,6,7
18,16,1
19,15,4
20,5,4
21,14,7
22,10,5
23,23,3
24,21,5
25,22,2
26,18,4
27,3,7
28,21,7
29,17,1
30,14,3
31,10,4
32,13,1
33,14,2
34,14,2
35,5,7
36,5,7
37,21,6
38,18,1
39,18,3
40,5,5
41,11,7
42,22,5
43,17,6
44,10,1
45,4,1
46,22,6
47,22,6
48,22,7
49,23,7
50,22,7
51,22,7
52,19,4
53,17,7
54,20,3
55,13,6
56,13,5
57,23,7
58,21,6
59,20,4
60,16,6
61,8,3
62,5,4
63,1,7
64,7,5
65,13,6
66,14,7
67,16,7
68,5,6
69,3,1
70,13,7
71,3,2
72,23,3
73,3,1
74,8,3
75,8,3
76,8,3
77,19,3
78,19,3
79,12,5
80,10,4
81,5,7
82,5,7
83,12,3
84,23,7
85,11,2
86,1,7
87,1,7
88,15,6
89,15,6
90,1,3
91,15,7
92,14,1
93,14,1
94,7,2
95,9,3
96,4,3
97,13,7
98,11,6
99,13,1
100,7,2
101,14,7
102,11,3
103,16,3
104,6,2
105,5,6
106,3,1
107,3,4
108,15,3
109,15,3
110,15,3
111,17,1
112,11,4
113,11,7
114,19,3
115,12,5
116,12,5
117,19,3
118,13,1
119,21,6
120,15,2
121,12,6
122,5,2
123,14,2
124,5,7
125,5,7
126,5,7
127,5,7
128,5,7
129,5,7
130,5,7
131,0,6
132,12,3
133,12,3
134,12,3
135,11,2
136,19,5
137,11,7
138,15,7
139,15,6
140,17,6
141,7,2
142,4,3
143,17,1
144,7,2
145,17,1
146,18,7
147,1,4
148,7,6
149,6,2
150,8,2
151,18,3
152,18,3
153,17,7
154,9,7
155,16,2
156,0,4
157,11,6
158,17,7
159,12,2
160,8,2
161,11,3
162,17,2
163,99,4
164,22,1
165,19,7
166,12,1
167,9,7
168,4,5
169,11,4
170,0,1
171,18,7
172,21,5
173,12,4
174,16,3
175,9,5
176,10,6
177,20,6
178,7,4
179,15,6
180,12,1
181,12,2
182,18,6
183,15,3
184,21,5
185,10,2
186,18,4
187,6,3
188,13,4
189,7,4
190,16,4
191,12,6
192,6,6
193,6,6
194,9,4
195,1,4
196,9,1
197,7,4
198,14,4
199,15,6
200,4,6
201,12,1
202,18,7
203,20,5
204,1,1
205,14,3
206,11,4
207,21,5
208,14,6
209,23,3
210,18,7
211,9,3
212,9,3
213,13,5
214,16,7
215,9,7
216,16,2
217,11,5
218,15,3
219,9,6
220,10,7
221,15,7
222,4,5
223,9,5
224,15,1
225,8,7
226,15,6
227,6,6
228,10,3
229,10,3
230,2,4
231,7,4
232,13,6
233,16,1
234,20,6
235,20,6
236,6,4
237,15,3
238,15,4
239,7,1
240,9,5
241,19,7
242,6,5
243,5,3
244,8,4
245,11,4
246,0,2
247,0,1
248,16,2
249,19,2
250,19,2
251,23,3
252,17,4
253,17,6
254,7,7
255,12,7
256,8,4
257,4,6
258,15,2
259,16,2
260,23,3
261,10,6
262,10,5
263,9,1
264,18,2
265,21,2
266,11,3
267,19,1
268,20,7
269,12,4
270,5,7
271,18,7
272,22,3
273,12,7
274,19,3
275,14,3
276,18,3
277,14,5
278,18,5
279,5,6
280,8,5
281,15,5
282,21,6
283,14,3
284,12,7
285,0,7
286,12,2
287,14,4
288,18,5
289,7,6
290,9,2
291,20,5
292,7,1
293,17,3
294,10,6
295,7,4
296,11,5
297,3,6
298,6,6
299,9,6
300,13,6
301,21,7
302,7,4
303,14,4
304,21,1
305,5,5
306,9,5
307,8,2
308,13,2
309,11,1
310,9,4
311,13,5
312,14,4
313,18,1
314,15,3
315,2,6
316,7,3
317,4,5
318,10,1
319,10,1
320,9,2
321,20,2
322,8,4
323,7,4
324,11,4
325,12,3
326,17,3
327,2,3
328,23,4
329,15,5
330,15,5
331,11,3
332,18,3
333,13,2
334,10,4
335,11,2
336,1,3
337,22,5
338,20,2
339,11,4
340,3,7
341,23,7
342,5,2
343,22,5
344,5,7
345,9,2
346,9,4
347,11,2
348,13,6
349,10,4
350,21,4
351,9,2
352,23,4
353,5,6
354,3,3
355,16,3
356,17,1
357,0,6
358,6,5
359,11,2
360,14,4
361,0,5
362,17,6
363,6,7
364,19,1
365,9,4
366,14,1
367,15,7
368,18,1
369,9,2
370,12,3
371,18,4
372,12,3
373,11,5
374,5,2
375,4,1
376,13,3
377,13,1
378,21,3
379,14,3
380,0,4
381,17,6
382,16,6
383,17,2
384,14,3
385,21,1
386,23,2
387,23,4
388,2,7
389,12,1
390,8,6
391,4,3
392,20,7
393,20,7
394,15,1
395,5,5
396,15,2
397,11,4
398,9,1
399,21,2
400,15,7
401,10,7
402,7,5
403,15,4
404,5,5
405,16,2
406,21,6
407,14,2
408,13,5
409,4,6
410,8,1
411,3,2
412,9,2
413,15,3
414,14,6
415,22,7
416,11,7
417,7,1
418,19,2
419,19,6
420,19,4
421,5,6
422,16,7
423,14,3
424,20,4
425,9,1
426,5,2
427,6,5
428,3,3
429,21,4
430,13,5
431,0,2
432,20,2
433,23,7
434,1,1
435,4,1
436,15,3
437,11,4
438,14,6
439,18,6
440,7,3
441,11,6
442,15,7
443,0,4
444,10,2
445,9,7
446,14,7
447,9,2
448,16,4
449,16,6
450,19,4
451,19,7
452,1,7
453,11,3
454,11,5
455,7,1
456,9,1
457,11,2
458,21,5
459,17,3
460,9,7
461,21,3
462,11,1
463,12,2
464,13,6
465,16,2
466,10,6
467,12,2
468,12,2
469,11,5
470,16,6
471,6,2
472,12,7
473,16,5
474,8,6
475,17,4
476,7,2
477,14,3
478,1,6
479,19,6
480,19,6
481,0,6
482,12,4
483,17,6
484,15,4
485,6,6
486,15,2
487,13,5
488,16,4
489,12,7
490,15,2
491,10,6
492,10,5
493,21,6
494,3,6
495,15,4
496,2,1
497,23,2
498,12,2
499,11,3
500,18,6
501,14,5
502,10,6
503,10,1
504,22,3
505,7,4
506,7,3
507,9,5
508,13,5
509,20,3
510,9,6
511,20,7
512,9,1
513,15,1
514,14,3
515,14,3
516,10,3
517,14,5
518,20,6
519,12,2
520,9,5
521,12,2
522,7,4
523,20,1
524,5,2
525,20,1
526,9,4
527,7,5
528,14,1
529,5,5
530,5,5
531,20,6
532,14,5
533,9,1
534,9,1
535,6,2
536,6,4
537,2,7
538,11,1
539,16,1
540,21,3
541,12,3
542,0,2
543,18,1
544,18,4
545,12,3
546,9,4
547,17,4
548,13,3
549,21,3
550,19,5
551,5,6
552,14,2
553,9,4
554,13,2
555,0,2
556,16,7
557,19,5
558,20,3
559,19,6
560,22,4
561,18,2
562,12,1
563,9,5
