,acchr,dayofweek
0,18,6
1,0,1
2,10,1
3,2,1
4,2,7
5,11,2
6,10,1
7,15,7
8,21,5
9,11,3
10,6,2
11,3,7
12,16,3
13,17,7
14,22,7
15,13,1
16,23,6
17,23,6
18,20,1
19,20,1
20,20,2
21,0,1
22,0,1
23,15,3
24,15,3
25,8,4
26,18,3
27,2,6
28,16,7
29,22,2
30,16,5
31,3,1
32,16,3
33,16,3
34,12,3
35,23,6
36,19,3
37,15,6
38,13,2
39,13,2
40,12,2
41,12,1
42,9,5
43,0,1
44,1,7
45,0,3
46,8,4
47,18,3
48,20,3
49,23,3
50,23,3
51,2,2
52,2,6
53,0,6
54,9,4
55,14,6
56,3,1
57,3,4
58,10,4
59,18,2
60,13,5
61,10,1
62,21,6
63,19,3
64,11,2
65,8,1
66,18,3
67,0,2
68,11,6
69,6,2
70,6,2
71,16,5
72,15,7
73,8,3
74,10,1
75,10,1
76,10,1
77,22,2
78,11,2
79,18,3
80,18,3
81,23,4
82,21,2
83,21,7
84,0,7
85,0,3
86,0,3
87,11,3
88,11,4
89,13,2
90,19,4
91,4,1
92,13,7
93,5,7
94,11,7
95,18,7
96,3,7
97,21,5
98,5,6
99,5,6
100,3,4
101,4,1
102,13,5
103,10,1
104,15,3
105,7,2
106,18,3
107,11,7
108,21,4
109,17,6
110,15,7
111,6,7
112,9,7
113,12,6
114,10,5
115,2,2
116,12,2
117,11,4
118,22,7
119,10,1
120,5,7
121,5,7
122,5,7
123,5,7
124,5,7
125,5,5
126,23,4
127,15,2
128,21,4
129,15,5
130,6,7
131,16,1
132,15,4
133,5,4
134,14,7
135,10,5
136,23,3
137,21,5
138,22,2
139,18,4
140,3,7
141,21,7
142,17,1
143,14,3
144,10,4
145,13,1
146,14,2
147,14,2
148,5,7
149,5,7
150,21,6
151,18,1
152,18,3
153,5,5
154,11,7
155,22,5
156,17,6
157,10,1
158,19,3
159,5,7
160,16,2
161,8,4
162,17,1
163,8,2
164,17,2
165,19,6
166,20,4
167,14,4
168,14,7
169,8,5
170,8,6
171,19,2
172,18,7
173,13,4
174,17,5
175,8,4
176,17,2
177,19,6
178,0,1
179,17,5
180,14,3
181,13,2
182,3,7
183,9,7
184,20,1
185,12,6
