,acchr,dayofweek
0,19,5
1,5,2
2,1,1
3,1,1
4,3,1
5,2,6
6,2,2
7,13,7
8,4,1
9,1,7
10,2,7
11,20,1
12,2,7
13,21,6
14,6,1
15,23,7
16,16,7
17,2,2
18,3,7
19,2,6
20,1,1
21,2,6
22,2,7
23,4,7
24,4,7
25,20,4
26,21,6
27,10,1
28,3,1
29,3,1
30,23,3
31,2,1
32,17,6
33,1,1
34,22,7
35,4,1
36,22,6
37,22,6
38,22,7
39,23,7
40,19,4
41,17,7
42,20,3
43,13,6
44,13,5
45,21,6
46,20,4
47,15,3
48,6,4
49,0,2
50,0,1
51,21,5
52,18,7
53,22,1
54,23,6
55,2,7
56,3,7
57,2,7
58,23,7
59,2,1
60,19,7
61,1,2
62,1,7
63,12,6
64,8,7
65,22,4
66,6,1
67,0,1
68,1,2
69,13,4
70,20,1
71,3,7
72,0,1
73,0,1
74,4,1
75,4,7
76,4,2
77,3,1
78,2,1
79,5,6
80,2,7
81,7,7
82,2,1
83,11,1
84,2,7
85,4,1
86,1,6
87,2,1
88,21,7
89,23,6
90,19,6
91,4,7
92,7,5
93,4,6
94,0,7
95,2,7
96,4,7
97,23,3
98,3,1
99,20,7
100,2,1
101,16,7
102,1,7
103,2,3
104,0,7
105,2,6
106,2,7
107,0,7
108,23,4
109,2,3
110,1,7
111,2,1
112,1,7
113,23,6
114,2,1
115,1,1
116,5,6
117,1,6
118,19,7
119,1,7
120,0,4
121,15,5
122,23,5
123,1,4
124,22,7
125,3,7
126,3,3
127,1,7
128,99,1
129,3,7
130,5,7
131,3,7
132,2,7
133,3,1
134,20,7
135,4,7
136,23,5
137,1,6
138,7,1
139,5,7
140,22,2
141,23,5
142,19,6
143,1,4
144,23,1
145,1,7
146,3,7
147,1,5
148,20,7
149,5,1
150,19,3
151,99,3
152,4,7
153,0,7
154,3,1
155,3,2
156,21,5
157,17,6
158,6,7
159,3,7
160,12,7
161,3,6
162,2,1
163,18,1
164,3,7
165,23,7
166,4,2
167,2,1
168,4,1
169,22,6
170,12,6
171,1,6
172,5,7
173,3,6
174,1,4
175,23,5
176,6,1
177,2,7
178,4,7
179,6,7
180,0,7
181,2,7
182,4,1
183,23,5
184,0,1
185,5,1
186,11,3
187,1,7
188,23,3
189,2,1
190,1,1
191,1,7
192,23,5
193,1,4
194,3,1
195,3,3
196,12,5
197,2,6
198,14,3
199,4,7
200,21,4
201,22,6
202,2,1
203,22,4
204,23,3
205,23,2
206,3,6
207,7,1
208,3,1
209,2,7
210,19,1
211,2,7
212,0,1
213,21,6
214,16,1
215,0,1
216,3,2
217,2,1
218,0,7
219,3,7
220,7,1
221,23,7
222,6,6
223,3,7
224,20,5
225,5,7
226,22,6
227,0,1
228,1,2
229,2,4
230,6,1
231,4,1
232,23,1
233,23,5
234,3,6
235,2,7
236,3,7
237,3,6
238,23,4
239,18,1
240,18,2
241,21,6
242,5,1
243,2,3
244,3,1
245,13,6
246,13,5
247,2,7
248,14,2
249,23,5
250,16,5
251,19,7
252,21,5
253,15,1
254,9,3
255,17,6
256,2,1
257,7,7
258,1,1
259,6,7
260,23,3
261,19,3
262,4,1
263,23,2
264,2,7
265,1,2
266,3,7
267,5,7
268,6,1
269,5,2
270,0,5
271,1,1
272,99,7
273,1,7
274,21,7
275,22,2
276,3,1
277,1,2
278,23,7
279,2,7
280,21,2
281,22,4
282,99,1
283,2,2
284,7,2
285,3,7
286,3,7
287,21,6
288,20,5
289,23,6
290,17,1
291,22,6
292,1,6
293,4,5
294,1,1
295,20,3
296,19,2
297,1,1
298,1,5
299,19,5
300,23,4
301,23,6
302,0,1
303,18,6
304,1,1
305,16,1
306,18,3
307,17,7
308,99,7
309,19,7
310,7,7
311,1,5
312,17,2
313,21,2
314,13,2
315,15,6
316,17,7
317,5,7
318,18,4
319,8,7
320,23,7
321,3,1
322,4,1
323,9,1
324,21,1
325,0,1
326,2,2
327,19,4
328,3,1
329,1,6
330,1,1
331,2,7
332,2,1
333,6,1
334,22,1
335,99,1
336,1,2
337,23,4
338,18,1
339,23,7
340,18,2
341,22,5
342,19,7
343,20,1
344,15,5
345,99,2
346,2,7
347,2,7
348,21,1
349,21,2
350,21,7
351,2,1
352,3,6
353,99,4
354,18,4
355,20,6
356,23,7
357,15,1
358,0,4
359,3,5
360,3,5
361,23,7
362,15,1
363,19,1
364,2,1
365,2,6
366,18,5
367,15,5
368,3,7
369,1,6
370,5,2
371,1,1
372,23,5
373,1,6
374,22,3
375,3,6
376,3,6
377,4,1
378,1,7
379,17,4
380,1,2
381,10,2
382,2,7
383,4,1
384,2,5
385,1,6
386,2,7
387,21,2
388,2,5
389,20,6
390,23,3
391,0,3
392,21,2
393,0,1
394,0,7
395,0,2
396,0,2
397,4,7
398,3,7
399,2,6
400,20,4
401,0,7
402,2,1
403,22,4
404,17,6
405,1,2
406,7,6
407,0,7
408,2,4
409,5,7
410,23,5
411,3,7
412,1,1
413,4,1
414,20,4
415,21,1
416,7,4
417,3,7
418,3,7
419,20,5
420,17,2
421,19,4
422,0,1
423,19,2
424,3,1
425,0,1
426,22,5
427,0,1
428,21,1
429,23,7
430,19,7
431,23,5
432,10,1
433,16,7
434,21,2
435,12,1
436,17,7
437,18,5
438,3,1
439,2,7
440,18,2
441,23,6
442,2,2
443,16,1
444,10,4
445,0,5
446,1,1
447,20,3
448,4,1
449,11,1
450,5,5
451,9,4
452,2,5
453,4,2
454,23,6
455,2,6
456,4,3
457,3,7
458,2,1
459,2,1
460,2,1
461,5,7
462,2,7
463,3,6
464,2,3
465,6,1
466,0,7
467,2,2
468,2,6
469,2,1
470,21,4
471,4,1
472,6,2
473,15,4
474,3,4
475,23,5
476,18,7
477,2,5
478,20,6
479,2,6
480,0,1
481,2,3
482,23,3
483,2,3
484,21,4
485,2,7
486,11,1
487,23,6
488,22,1
489,15,3
490,17,7
491,3,7
492,23,6
493,3,5
494,0,7
495,17,6
496,0,2
497,23,7
498,1,3
499,15,5
500,2,1
501,0,6
502,1,6
503,1,5
504,2,7
505,1,1
506,1,1
507,1,7
508,23,7
509,1,1
510,2,1
511,1,6
512,1,4
513,22,3
514,11,2
515,1,1
516,1,6
517,9,7
518,20,7
519,19,1
520,23,3
521,1,1
522,4,7
523,21,5
524,2,6
525,16,3
526,3,7
527,1,6
528,3,7
529,20,5
530,2,4
531,22,7
532,18,5
533,18,7
534,20,2
535,13,1
536,12,5
537,20,3
538,3,1
539,2,1
540,2,6
541,22,7
542,2,7
543,16,7
544,1,6
545,15,6
546,3,6
547,6,1
548,23,7
549,4,2
550,3,7
551,3,7
552,3,4
553,2,6
554,16,1
555,23,6
556,3,2
557,5,1
558,0,2
559,2,7
560,2,1
561,5,4
562,0,5
563,23,3
564,3,7
565,0,3
566,20,3
567,3,7
568,0,7
569,2,6
570,1,1
571,19,7
572,5,6
573,19,7
574,19,7
575,2,5
576,2,1
577,6,7
578,3,1
579,6,7
580,0,7
581,1,5
582,0,6
583,21,6
584,21,1
585,23,1
586,17,7
587,23,7
588,0,5
589,0,4
590,1,1
591,2,6
592,0,7
593,12,5
594,4,5
595,1,1
596,6,3
597,2,7
598,9,2
599,19,5
600,3,4
601,3,7
602,22,2
603,6,6
604,2,6
605,18,7
606,21,4
607,1,1
608,2,1
609,4,1
610,12,3
611,21,6
612,2,2
613,1,1
614,0,6
615,5,5
616,7,6
617,2,7
618,7,7
619,2,4
620,2,2
621,23,4
622,2,7
623,20,7
624,20,3
625,1,7
626,4,7
627,12,2
628,7,1
629,5,1
630,13,1
631,17,7
632,1,7
633,4,6
634,4,1
635,15,1
636,1,6
637,1,7
638,0,2
639,14,1
640,20,2
641,4,1
642,20,2
643,2,7
644,23,7
645,2,7
646,0,7
647,0,1
648,23,6
649,22,6
650,22,7
651,99,1
652,21,6
653,12,5
654,1,2
655,1,3
656,14,5
657,2,5
658,21,4
659,21,7
660,16,7
661,20,1
662,0,7
663,4,1
664,1,2
665,17,2
666,2,1
667,22,1
668,0,7
669,1,1
670,19,3
671,20,7
672,22,7
673,22,1
674,2,4
675,4,7
676,14,6
677,23,6
678,6,1
679,2,2
680,5,7
681,21,7
682,6,7
683,4,5
684,23,5
685,21,6
686,19,7
687,1,1
688,20,4
689,8,2
690,2,1
691,2,7
692,23,1
693,3,5
694,2,7
695,3,1
696,2,7
697,1,7
698,1,1
699,1,4
700,2,1
701,0,4
702,3,1
703,22,1
704,2,7
705,22,1
706,8,1
707,2,6
708,16,7
709,20,5
710,2,7
711,6,7
712,2,1
713,4,1
714,4,7
715,1,1
716,3,6
717,2,7
718,22,2
719,0,1
720,6,1
721,23,7
722,5,6
723,3,6
724,1,2
725,1,5
726,4,7
727,12,7
728,2,1
729,23,2
730,8,7
731,0,1
732,2,3
733,4,4
734,2,5
735,22,2
736,2,1
737,22,3
738,0,5
739,1,1
740,4,7
741,1,1
742,2,1
743,2,3
744,1,2
745,7,7
746,2,7
747,23,1
748,1,6
749,2,5
750,18,1
751,21,6
752,17,3
753,20,4
754,23,6
755,1,7
756,3,1
757,3,7
758,20,7
759,21,4
760,21,7
761,11,7
762,18,7
763,2,6
764,23,5
765,2,7
766,1,7
767,1,7
768,5,1
769,2,6
770,2,1
771,23,6
772,1,7
773,2,7
774,2,5
775,21,7
776,6,7
777,11,5
778,2,7
779,1,3
780,23,5
781,2,1
782,3,1
783,3,5
784,18,7
785,1,1
786,2,5
787,3,2
788,2,1
789,22,2
790,3,3
791,22,7
792,3,1
793,16,1
794,2,7
795,4,1
796,3,3
797,1,4
798,19,7
799,14,2
800,16,2
801,23,3
802,17,7
803,4,7
804,21,1
805,22,7
806,19,2
807,5,6
808,3,6
809,1,7
810,4,6
811,3,5
812,20,7
813,0,1
814,3,1
815,20,6
816,16,4
817,2,2
818,5,3
819,7,1
820,4,6
821,23,3
822,4,1
823,14,4
824,3,7
825,3,1
826,3,5
827,20,4
828,0,1
829,23,7
830,14,7
831,0,3
832,17,3
833,21,3
834,2,7
835,18,5
836,11,6
837,14,7
838,19,1
839,6,7
840,23,7
841,22,1
842,3,1
843,4,2
844,2,4
845,0,1
846,22,2
847,4,6
848,5,7
849,99,1
850,18,6
851,1,4
852,99,6
853,2,2
854,2,1
855,3,6
856,23,5
857,2,7
858,1,7
859,3,1
860,15,1
861,21,6
862,99,7
863,5,1
864,1,7
865,1,2
866,1,7
867,3,7
868,6,1
869,1,7
870,20,4
871,1,1
872,2,3
873,16,5
874,17,1
875,2,6
876,21,7
877,2,1
878,2,1
879,20,1
880,5,7
881,3,6
882,5,7
883,20,1
884,19,3
885,0,3
886,19,5
887,1,1
888,1,2
889,18,1
890,3,7
891,5,7
892,1,1
893,17,4
894,19,4
895,3,7
896,23,6
897,2,1
898,23,2
899,1,4
900,0,7
901,14,1
902,18,6
903,5,1
904,1,5
905,2,7
906,1,1
907,22,1
908,16,2
909,1,2
910,4,7
911,1,7
912,7,5
913,2,3
914,0,5
915,99,6
916,0,3
917,3,7
918,2,1
919,2,7
920,16,7
921,3,1
922,7,1
923,2,6
924,18,6
925,22,6
926,3,5
927,2,1
928,2,7
929,2,3
930,1,7
931,0,1
932,0,6
933,21,6
934,21,1
935,99,7
936,1,2
937,23,7
938,2,7
939,2,6
940,5,7
941,2,1
942,1,1
943,13,7
944,2,1
945,3,5
946,1,2
947,3,7
948,2,7
949,1,7
950,1,1
951,5,7
952,13,3
953,22,7
954,20,5
955,6,6
956,1,2
957,3,5
958,23,5
959,1,2
960,0,7
961,0,7
962,4,7
963,4,7
964,1,3
965,16,7
966,8,7
967,3,1
968,2,1
969,0,7
970,2,4
971,3,3
972,23,1
973,4,3
974,0,7
975,2,7
976,8,7
977,2,7
978,4,7
979,0,7
980,2,4
981,4,5
982,17,6
983,1,1
984,2,5
985,0,1
986,20,1
987,2,4
988,21,4
989,19,4
990,6,7
991,23,7
992,12,6
993,0,5
994,20,7
995,0,7
996,14,6
997,3,7
998,20,7
999,23,2
1000,4,6
1001,0,1
1002,1,1
1003,5,7
1004,1,1
1005,1,4
1006,2,2
1007,1,1
1008,23,4
1009,21,6
1010,4,5
1011,21,6
1012,20,1
1013,18,4
1014,2,7
1015,2,2
1016,2,7
1017,8,3
1018,3,1
1019,19,7
1020,20,7
1021,2,6
1022,22,1
1023,4,6
1024,17,2
1025,5,2
1026,1,4
1027,20,2
1028,19,1
1029,6,1
1030,8,7
1031,1,5
1032,7,7
1033,5,1
1034,3,1
1035,21,5
1036,20,7
1037,1,7
1038,1,7
1039,21,3
1040,17,2
1041,2,1
1042,2,1
1043,22,4
1044,3,1
1045,2,7
1046,3,5
1047,1,1
1048,1,7
1049,3,1
1050,20,4
1051,2,7
1052,2,1
1053,17,6
1054,3,1
1055,0,7
1056,4,1
1057,2,1
1058,1,6
1059,12,7
1060,2,1
1061,21,1
1062,16,4
1063,4,7
1064,4,5
1065,23,5
1066,10,3
1067,6,7
1068,6,7
1069,2,1
1070,22,2
1071,2,7
1072,0,1
1073,22,5
1074,10,7
1075,99,3
1076,18,7
1077,22,7
1078,22,7
1079,2,6
1080,2,1
1081,0,7
1082,21,7
1083,2,1
1084,99,5
1085,1,4
1086,3,6
1087,12,2
1088,22,7
1089,21,3
1090,21,2
1091,20,1
1092,0,6
1093,15,2
1094,0,1
1095,0,3
1096,2,5
1097,21,6
1098,1,4
1099,2,1
