,acchr,dayofweek
0,17,3
1,23,6
2,15,7
3,15,7
4,18,6
5,19,1
6,15,6
7,18,3
8,18,6
9,13,2
10,13,7
11,20,7
12,17,5
13,5,2
14,5,2
15,11,1
16,15,3
17,15,3
18,12,6
19,17,6
20,16,4
21,23,5
22,18,6
23,13,2
24,8,1
25,8,1
26,20,7
27,17,5
28,12,6
29,5,2
30,20,1
31,15,6
32,12,1
33,0,1
34,14,2
35,13,4
36,17,2
37,5,3
38,16,5
39,16,3
40,19,5
41,20,1
42,14,7
43,10,3
44,2,7
45,5,2
46,19,1
47,20,4
48,19,2
49,2,1
50,6,5
51,6,5
52,6,5
53,20,3
54,7,2
55,7,2
56,2,1
57,18,7
58,16,4
59,18,4
60,20,6
61,23,4
62,20,7
63,9,5
64,10,3
65,16,7
66,19,1
67,20,7
68,20,7
69,20,4
70,22,4
71,18,2
72,18,1
73,16,7
74,13,4
75,13,5
76,21,6
77,15,7
78,5,3
79,16,7
80,5,1
81,13,2
82,17,2
83,9,5
84,20,6
85,20,6
86,18,6
87,14,7
88,15,1
89,4,1
90,18,2
91,14,3
92,15,4
93,20,4
94,17,5
95,11,6
96,13,5
97,9,5
98,22,4
99,18,7
100,18,7
101,17,6
102,14,1
103,12,5
104,20,2
105,17,5
106,17,5
107,17,5
108,0,7
109,13,2
110,19,7
111,20,1
112,18,6
113,23,4
114,5,5
115,13,2
116,5,2
117,14,6
118,10,7
119,5,7
120,14,2
121,12,6
122,15,5
123,18,7
124,21,6
125,9,3
126,16,4
127,9,6
128,9,6
129,14,4
130,5,6
131,16,4
132,3,4
133,13,7
134,16,6
135,22,7
136,13,2
137,13,2
138,17,1
139,22,6
140,20,6
141,20,6
142,20,6
143,11,2
144,19,3
145,3,2
146,18,6
147,18,6
148,19,2
149,19,2
150,15,6
151,15,2
152,5,2
153,11,2
154,11,2
155,15,5
156,17,1
157,9,5
158,0,2
159,16,1
160,13,4
161,7,5
162,7,5
163,17,3
164,7,5
165,10,6
166,13,2
167,13,2
168,16,5
169,19,7
170,22,6
171,20,6
172,18,6
173,19,3
174,20,1
175,5,5
176,18,2
177,14,3
178,20,4
179,15,7
180,13,5
181,13,5
182,12,3
183,7,2
184,18,1
185,13,4
186,20,2
187,5,5
188,5,5
189,12,2
190,10,7
191,18,3
192,18,7
193,18,4
194,4,7
195,16,1
196,8,3
197,21,5
198,7,5
199,18,1
200,17,1
201,20,7
202,19,5
203,9,1
204,18,1
205,21,4
206,20,2
207,21,5
208,15,2
209,16,2
210,18,5
211,21,1
212,15,4
213,20,1
214,11,4
215,16,2
216,20,6
217,20,2
218,17,1
219,12,2
220,18,1
221,12,7
222,14,4
223,18,4
224,14,7
225,11,5
226,14,1
227,6,3
228,13,2
229,14,7
230,22,6
231,12,7
232,16,1
233,17,4
234,20,6
235,20,5
236,16,4
237,16,6
238,21,2
239,14,7
240,14,6
241,18,7
242,0,1
243,20,1
244,14,6
245,15,2
246,23,6
247,20,7
248,16,1
249,13,7
250,6,2
251,23,5
252,13,6
253,12,4
254,13,7
255,9,5
256,19,5
257,13,1
258,7,5
259,15,7
260,0,1
261,22,5
262,21,5
263,21,6
264,21,5
265,22,7
266,22,7
267,7,2
268,9,7
269,1,7
270,6,2
271,18,4
272,2,1
273,17,3
274,16,4
275,12,7
276,16,4
277,15,3
278,11,2
279,19,6
280,23,2
281,21,2
282,21,6
283,20,2
284,19,3
285,17,7
286,1,7
287,7,3
288,18,7
289,9,1
290,15,6
291,14,6
292,16,7
293,20,2
294,22,6
295,17,6
296,15,4
297,11,7
298,13,7
299,17,3
300,21,7
301,5,7
302,20,2
303,16,5
304,4,3
305,22,4
306,15,2
307,15,1
308,16,4
309,15,2
310,20,1
311,5,4
312,13,3
313,14,5
314,19,1
315,19,4
316,19,4
317,6,2
318,1,2
319,19,5
320,17,4
321,10,2
322,13,7
323,21,2
324,0,3
325,19,2
326,5,7
327,15,5
328,18,5
329,19,1
330,16,7
331,11,4
332,14,5
333,12,5
334,21,2
335,10,2
336,18,6
337,0,5
338,1,7
339,9,1
340,22,7
341,15,3
342,15,1
343,7,6
344,16,6
345,19,6
346,20,6
347,4,3
348,9,4
349,18,7
350,15,2
351,21,5
352,19,2
353,14,3
354,11,6
355,20,7
356,5,4
357,21,4
358,15,6
359,14,2
360,17,6
361,17,6
362,20,7
363,18,3
364,14,3
365,18,3
366,22,4
367,20,4
368,15,5
369,21,6
370,19,2
371,7,4
372,15,1
373,17,6
374,9,6
375,7,7
376,19,6
377,0,3
378,19,6
379,21,1
380,13,1
381,12,3
382,7,4
383,17,2
384,11,7
385,13,4
386,17,7
387,17,7
388,16,5
389,15,5
390,23,3
391,1,5
392,14,4
393,17,7
394,23,7
395,17,4
396,16,4
397,16,6
398,11,7
399,9,6
400,13,4
401,19,5
402,19,5
403,22,1
404,13,6
405,14,4
406,8,2
407,19,3
408,20,3
409,18,6
410,16,6
411,17,2
412,10,4
413,10,4
414,7,3
415,20,2
416,17,2
417,22,7
418,21,2
419,9,4
420,13,3
421,14,4
422,20,7
423,16,7
424,17,2
425,5,7
426,1,4
427,15,7
428,22,4
429,19,1
430,18,1
431,18,2
432,3,5
433,7,5
434,14,1
435,23,6
436,8,5
437,18,4
438,3,7
439,15,6
440,17,3
441,7,1
442,12,4
443,2,1
444,2,7
445,11,6
446,11,6
447,11,3
448,14,7
449,18,4
450,19,3
451,0,7
452,12,6
453,17,1
454,8,6
455,15,4
456,14,7
457,17,1
458,7,5
459,18,3
460,15,7
461,19,7
462,11,3
463,17,6
464,21,6
465,17,6
466,9,7
467,18,6
468,12,2
469,19,7
470,21,7
471,14,2
472,19,2
473,17,3
474,16,1
475,22,7
476,23,7
477,0,7
478,1,7
479,7,3
480,21,2
481,15,4
482,22,3
483,21,4
484,7,7
485,20,6
486,19,4
487,16,2
488,16,1
489,21,2
490,18,2
491,99,1
492,20,2
493,20,3
494,21,2
495,16,3
496,5,3
497,21,7
498,22,6
499,19,2
500,15,3
501,12,3
502,17,2
503,23,1
504,22,2
505,22,6
506,1,2
507,5,4
508,13,2
509,20,6
510,17,2
511,13,3
512,99,2
513,15,7
514,11,2
515,19,3
516,19,3
517,23,6
518,13,4
519,20,7
520,13,4
521,15,6
522,16,1
523,19,2
524,3,7
525,7,6
526,13,4
527,19,3
528,21,6
529,18,3
530,2,4
531,2,4
532,5,7
533,9,2
534,18,3
535,12,3
536,6,6
537,18,7
538,15,2
539,18,7
540,14,1
541,6,4
542,16,5
543,17,3
544,21,3
545,12,1
546,14,2
547,16,4
548,23,3
549,0,7
550,15,7
551,13,1
552,20,5
553,19,6
554,4,1
555,16,3
556,99,1
557,23,7
558,7,3
559,2,7
560,4,6
561,16,3
562,8,6
563,7,4
564,16,4
565,10,7
566,14,4
567,14,7
568,21,2
569,0,3
570,8,5
571,17,3
572,18,5
573,2,7
574,19,7
575,7,2
576,18,6
577,18,4
578,21,4
579,14,3
580,99,3
581,13,5
582,10,2
583,16,4
584,18,7
585,9,1
586,7,3
587,21,3
588,17,1
589,22,1
590,19,1
591,13,6
592,15,6
593,1,1
594,13,6
595,0,3
596,5,5
597,17,3
598,15,3
599,7,3
600,15,6
601,20,3
602,19,2
603,17,5
604,23,7
605,16,7
606,16,3
607,20,7
608,21,2
609,10,1
610,17,3
611,4,3
612,18,1
613,17,4
614,15,1
615,22,7
616,21,7
617,13,3
618,1,5
619,3,4
620,14,6
621,20,4
622,9,2
623,22,6
624,20,3
625,8,4
626,19,4
627,11,4
628,16,3
629,22,6
630,16,4
631,17,3
632,16,1
633,5,6
634,22,1
635,23,7
636,19,1
637,15,1
638,16,4
639,22,5
640,99,4
641,1,7
642,20,2
643,23,5
644,18,4
645,9,3
646,15,4
647,22,6
648,1,3
649,13,5
650,20,2
651,12,2
652,13,5
653,17,1
654,8,3
655,15,6
656,14,6
657,20,6
658,21,6
659,0,2
660,15,3
661,21,2
662,17,5
663,16,2
664,14,5
665,1,1
666,15,1
667,13,6
668,22,3
669,12,6
670,16,6
671,22,5
672,10,6
673,22,4
674,11,1
675,17,3
676,13,7
677,17,3
678,23,4
679,1,3
680,13,7
681,1,6
682,18,5
683,17,3
684,16,5
685,21,3
686,9,7
687,14,4
688,20,7
689,0,1
690,1,4
691,23,7
692,13,3
693,18,7
694,20,4
695,13,4
696,10,6
697,22,4
698,21,4
699,7,6
700,19,4
701,18,5
702,6,3
703,13,2
704,18,3
705,19,7
706,20,6
707,7,6
708,6,5
709,19,6
710,21,5
711,7,2
712,19,5
713,1,1
714,21,4
715,20,1
716,15,4
717,19,6
718,20,5
719,10,2
720,12,1
721,7,4
722,15,4
723,18,1
724,18,2
725,18,2
726,15,2
727,17,6
728,13,3
729,5,5
730,12,5
731,7,4
732,12,7
733,17,3
734,16,2
735,21,6
736,20,2
737,22,3
738,18,2
739,20,2
740,18,1
741,8,2
742,20,4
743,21,6
744,15,1
745,13,6
746,20,5
747,13,1
748,18,7
749,2,5
750,13,1
751,15,4
752,22,6
753,18,7
754,17,4
755,21,5
756,15,3
757,19,6
758,15,2
759,19,4
760,3,2
761,1,1
762,12,7
763,20,2
764,14,3
765,0,4
766,23,3
767,17,3
768,14,3
769,14,6
770,2,7
771,18,7
772,18,3
773,19,2
774,21,1
775,15,7
776,15,2
777,23,2
778,11,2
779,14,1
780,17,5
781,13,5
782,21,2
783,15,4
784,19,4
785,21,3
786,20,5
787,13,5
788,20,7
789,21,6
790,0,3
791,16,7
792,18,2
793,21,2
794,21,2
795,7,4
796,2,5
797,16,6
798,16,4
799,21,2
800,22,7
801,14,6
802,17,2
803,19,6
804,21,6
805,12,1
806,19,7
807,23,7
808,19,5
809,9,4
810,20,4
811,22,5
812,12,1
813,19,1
814,19,6
815,21,6
816,22,3
817,20,7
818,14,3
819,20,4
820,17,1
821,2,7
822,23,1
823,17,2
824,20,7
825,8,1
826,18,5
827,20,5
828,20,7
829,20,5
830,20,5
831,7,3
832,11,7
833,20,1
834,1,2
835,12,6
836,20,5
837,8,1
838,20,6
839,14,3
840,22,1
841,19,2
842,16,4
843,23,5
844,19,7
845,0,7
846,19,4
847,21,1
848,20,2
849,10,4
850,23,4
851,17,5
852,18,5
853,19,5
854,16,1
855,17,2
856,4,6
857,17,5
858,5,4
859,7,4
860,6,1
861,23,7
862,1,1
863,22,1
864,18,6
865,14,6
866,19,5
867,18,3
868,15,5
869,11,7
870,7,1
871,15,2
872,14,1
873,23,6
874,17,3
875,17,7
876,18,4
877,15,5
878,12,6
879,15,1
880,11,5
881,15,2
882,5,4
883,17,6
884,9,7
885,2,5
886,8,1
887,15,1
888,0,4
889,6,4
890,23,3
891,21,3
892,17,6
893,2,7
894,10,1
895,16,4
896,22,6
897,5,3
898,22,7
899,6,7
900,17,1
901,12,5
902,11,5
903,23,7
904,15,2
905,14,3
906,20,7
907,8,1
908,22,2
909,22,6
910,22,7
911,22,4
912,7,2
913,21,4
914,18,5
915,3,7
916,16,7
917,18,7
918,21,5
919,12,2
920,13,6
921,22,7
922,7,3
923,5,3
924,19,5
925,18,4
926,16,2
927,21,3
928,5,3
929,17,4
930,16,3
931,22,5
932,16,6
933,20,3
934,20,3
935,14,7
936,15,7
937,17,1
938,9,3
939,12,3
940,14,7
941,20,4
942,6,2
943,7,2
944,20,2
945,22,1
946,21,6
947,20,6
948,18,4
949,8,2
950,16,1
951,19,4
952,19,4
953,12,1
954,3,7
955,6,3
956,20,3
957,19,2
958,22,6
959,3,3
960,8,2
961,17,1
962,9,1
963,7,3
964,20,7
965,18,4
966,1,4
967,18,4
968,12,5
969,18,6
970,19,4
971,20,4
972,23,4
973,2,1
974,23,5
975,17,1
976,18,1
977,18,2
978,20,3
979,7,5
980,21,5
981,22,3
982,18,1
983,17,2
984,11,2
985,11,5
986,23,6
987,7,3
988,18,7
989,20,5
990,7,7
991,11,3
992,22,4
993,5,2
994,16,6
995,20,1
996,0,2
997,13,3
998,16,5
999,13,6
1000,15,7
1001,23,7
1002,16,7
1003,12,2
1004,13,7
1005,14,5
1006,18,5
1007,18,5
1008,19,7
1009,20,3
1010,0,3
1011,19,3
1012,23,7
1013,20,4
1014,20,3
1015,6,2
1016,0,6
1017,13,7
1018,23,1
1019,23,6
1020,20,7
1021,6,4
1022,11,5
1023,6,5
1024,5,7
1025,20,3
1026,2,1
1027,17,2
1028,11,4
1029,12,5
1030,15,6
1031,19,1
1032,9,2
1033,15,1
1034,8,3
1035,7,3
1036,0,2
1037,18,2
1038,2,1
1039,3,4
1040,4,5
1041,9,3
1042,17,1
1043,9,3
1044,19,2
1045,11,5
1046,11,3
1047,19,2
1048,18,5
1049,7,6
1050,11,3
1051,6,3
1052,20,1
1053,15,1
1054,10,2
1055,12,5
1056,22,7
1057,15,6
1058,19,1
1059,21,1
1060,12,7
1061,19,4
1062,22,6
1063,23,1
1064,14,2
1065,16,4
1066,15,7
1067,7,2
1068,14,2
1069,22,7
1070,21,6
1071,0,2
1072,13,1
1073,5,4
1074,7,2
1075,20,5
1076,10,5
1077,6,3
1078,19,6
1079,17,2
1080,19,3
1081,10,1
1082,20,6
1083,6,4
1084,6,4
1085,18,6
1086,10,6
1087,16,6
1088,15,2
1089,15,2
1090,18,4
1091,12,5
1092,16,6
1093,10,1
1094,14,5
1095,8,4
1096,17,4
1097,7,6
1098,7,7
1099,8,2
1100,19,1
1101,0,5
1102,1,6
1103,14,6
1104,19,3
1105,17,3
1106,19,2
1107,19,2
1108,22,6
1109,7,7
1110,12,7
1111,21,7
1112,22,6
1113,22,6
1114,8,6
1115,18,2
1116,21,7
1117,7,6
1118,7,4
1119,16,7
1120,21,2
1121,22,6
1122,19,1
1123,14,3
1124,19,7
1125,0,7
1126,12,1
1127,10,4
1128,15,4
1129,12,7
1130,20,4
1131,8,2
1132,17,7
1133,13,1
1134,5,7
1135,22,1
1136,22,7
1137,23,4
1138,20,2
1139,0,6
1140,20,1
1141,9,6
1142,14,1
1143,16,2
1144,12,6
1145,17,6
1146,8,6
1147,16,1
1148,12,3
1149,14,5
1150,21,7
1151,22,5
1152,7,2
1153,21,5
1154,12,6
1155,19,6
1156,7,5
1157,22,6
1158,5,7
1159,18,3
1160,11,2
1161,13,7
1162,7,4
1163,1,7
1164,20,7
1165,18,3
1166,23,7
1167,6,3
1168,20,2
1169,17,5
1170,22,6
1171,11,4
1172,13,4
1173,2,1
1174,5,2
1175,19,3
1176,2,1
1177,10,3
1178,19,5
1179,15,7
1180,12,7
1181,22,3
1182,6,6
1183,19,7
1184,2,7
1185,0,1
1186,10,1
1187,19,7
1188,20,5
1189,0,3
1190,18,2
1191,15,2
1192,5,3
1193,21,7
1194,17,3
1195,7,7
1196,15,1
1197,23,2
1198,6,2
1199,15,7
1200,10,7
1201,22,6
1202,18,7
1203,18,3
1204,2,7
1205,0,6
1206,15,5
1207,15,3
1208,14,4
1209,6,4
1210,20,1
1211,7,2
1212,20,1
1213,18,7
1214,22,5
1215,6,2
1216,12,7
1217,18,6
1218,0,2
1219,10,5
1220,4,1
1221,20,5
1222,7,4
1223,10,6
1224,9,2
1225,9,2
1226,18,1
1227,20,7
1228,6,5
1229,22,7
1230,7,3
1231,19,1
1232,15,3
1233,20,1
1234,20,1
1235,20,2
