,acchr,dayofweek
0,16,5
1,8,4
2,8,4
3,15,4
4,15,4
5,8,4
6,15,4
7,16,5
8,16,3
9,16,3
10,4,7
11,4,7
12,1,3
13,1,3
14,4,7
15,1,3
16,4,7
17,4,7
18,21,5
19,16,2
20,17,1
21,7,5
22,18,1
23,19,3
24,18,2
25,18,1
26,21,4
27,20,2
28,19,2
29,18,7
30,17,5
31,13,3
32,15,2
33,21,2
34,17,2
35,21,2
36,19,6
37,21,1
38,17,5
39,14,3
40,20,4
41,8,4
42,18,4
43,22,6
44,19,6
45,20,2
46,19,6
47,21,5
48,18,1
49,12,7
50,14,4
51,14,1
52,6,3
53,22,6
54,7,4
55,19,3
56,8,1
57,20,6
58,20,5
59,16,4
60,18,1
61,17,5
62,16,4
63,11,7
64,21,2
65,14,7
66,6,6
67,22,5
68,14,6
69,20,4
70,7,5
71,22,7
72,7,5
73,22,7
74,8,4
75,18,1
76,21,2
77,21,6
78,21,1
79,18,3
80,19,3
81,0,7
82,21,7
83,23,6
84,20,2
85,6,4
86,19,7
87,20,4
88,20,1
89,15,4
90,12,7
91,20,1
92,0,7
93,5,2
94,21,5
95,18,3
96,18,4
97,18,4
98,15,5
99,21,6
100,21,3
101,18,1
102,19,6
103,17,4
104,13,3
105,6,6
106,22,7
107,16,4
108,23,7
109,12,3
110,0,4
111,17,2
112,21,6
113,3,7
114,19,3
115,0,7
116,23,7
117,15,4
118,19,7
119,21,7
120,19,2
121,22,7
122,19,2
123,15,3
124,23,1
125,19,5
126,15,5
127,20,7
128,12,6
129,20,3
130,6,4
131,16,5
132,15,3
133,21,3
134,8,3
135,22,2
136,13,5
137,6,3
138,19,1
139,11,2
140,21,3
141,6,6
142,0,1
143,15,3
144,22,3
145,19,2
146,3,6
147,13,6
148,5,5
149,3,1
150,22,6
151,17,3
152,18,4
153,21,6
154,17,3
155,22,7
156,21,7
157,2,6
158,20,1
159,16,4
160,18,4
161,13,7
162,18,5
163,14,5
164,16,5
165,11,5
166,23,6
167,18,5
168,0,4
169,19,6
170,18,6
171,20,2
172,21,1
173,20,4
174,3,7
175,19,5
176,21,3
177,8,4
178,13,1
179,10,6
180,16,6
181,23,3
182,20,7
183,2,2
184,14,5
185,21,6
186,21,4
187,2,1
188,23,4
189,2,7
190,14,3
191,7,4
192,18,2
193,19,5
194,23,6
195,21,7
196,23,3
197,22,4
198,2,5
199,23,2
200,0,1
201,14,3
202,22,6
203,14,6
204,20,4
205,4,2
206,18,1
207,18,5
208,19,6
209,20,3
210,18,5
211,21,3
212,19,3
213,1,2
214,13,7
215,1,5
216,18,2
217,3,4
218,20,1
219,0,2
220,19,4
221,19,2
222,18,4
223,20,2
224,22,6
225,0,7
226,17,6
227,22,6
228,19,7
229,23,4
230,22,4
231,4,6
232,21,6
233,0,2
234,0,7
235,19,5
236,0,1
237,19,7
238,5,2
239,11,3
240,21,5
241,6,4
242,20,1
243,7,7
244,19,3
245,20,2
246,20,1
247,19,2
248,21,4
249,1,7
250,4,7
251,16,1
252,11,3
253,19,2
254,19,2
255,1,1
256,7,1
257,3,4
258,17,5
259,4,2
260,22,3
261,21,5
262,0,6
263,5,6
264,6,2
265,18,2
266,1,4
267,10,7
268,21,7
269,22,3
270,22,1
271,22,3
272,6,3
273,3,2
274,21,2
275,2,7
276,18,4
277,19,5
278,3,2
279,5,5
280,15,2
281,20,5
282,3,7
283,2,1
284,1,4
285,22,2
286,4,6
287,5,6
288,0,2
289,20,1
290,4,4
291,2,1
292,0,5
293,22,4
294,13,6
295,6,5
296,8,3
297,18,3
298,19,7
299,15,2
300,18,7
301,15,2
302,22,5
303,3,7
304,6,6
305,21,7
306,21,6
307,19,3
308,9,6
309,19,1
310,22,1
311,14,6
312,1,1
313,20,7
314,11,2
315,20,5
316,19,2
317,21,3
318,2,7
319,21,7
320,19,5
321,22,6
322,5,3
323,22,1
324,19,5
325,23,1
326,21,6
327,13,1
328,9,5
329,20,7
330,3,6
331,20,1
332,19,3
333,21,6
334,15,3
335,18,7
336,3,7
337,5,2
338,18,6
339,21,1
340,21,6
341,22,5
342,21,6
343,20,3
344,20,5
345,15,5
346,22,1
347,20,1
348,13,7
349,5,7
350,12,5
351,18,5
352,18,3
353,19,2
354,5,4
355,21,7
356,23,4
357,20,1
358,5,3
359,22,3
360,5,1
361,21,1
362,19,4
363,4,7
364,20,4
365,2,1
366,19,1
367,19,3
368,0,4
369,23,6
370,21,1
371,6,4
372,13,4
373,6,7
374,23,4
375,5,4
376,23,6
377,0,1
378,22,7
379,0,6
380,0,6
381,22,7
382,3,7
383,3,6
384,5,6
385,23,3
386,23,5
387,3,6
388,2,3
389,18,5
390,16,3
391,8,3
392,23,2
393,17,5
394,23,7
395,22,6
396,17,5
397,6,4
398,18,6
399,0,4
400,20,7
401,7,3
402,3,2
403,18,5
404,23,5
405,13,5
406,1,5
407,9,1
408,6,6
409,22,7
410,17,2
411,19,2
412,22,6
413,20,7
414,18,4
415,11,2
416,21,5
417,18,5
418,22,1
419,2,1
420,21,3
421,20,2
422,12,4
423,5,5
424,22,3
425,0,2
426,6,1
427,9,2
428,5,2
429,0,1
430,19,5
431,6,6
432,3,1
433,18,2
434,20,7
435,10,3
436,6,6
437,20,3
438,6,3
439,1,7
440,13,4
441,3,2
442,18,4
443,23,5
444,21,6
445,13,1
446,21,3
447,22,3
448,21,6
449,19,1
450,20,2
451,21,7
452,6,2
453,21,2
454,4,7
455,8,4
456,99,3
457,21,6
458,11,7
459,1,1
460,6,6
461,18,4
462,23,3
463,20,5
464,18,1
465,22,6
466,6,5
467,20,2
