,acchr,dayofweek
0,2,7
1,17,7
2,23,7
3,21,3
4,15,3
5,6,4
6,5,6
7,3,5
8,21,2
9,14,5
10,23,2
11,1,3
12,20,4
13,0,2
14,11,6
15,0,1
16,21,5
17,18,7
18,1,1
19,23,6
20,2,7
21,3,7
22,2,7
23,3,7
24,2,1
25,19,7
26,1,2
27,1,2
28,18,4
29,20,7
30,3,5
31,20,5
32,1,7
33,1,7
34,12,6
35,1,7
36,18,2
37,9,6
38,8,7
39,22,4
40,1,4
41,2,6
42,22,3
43,2,7
44,1,7
45,4,7
46,1,1
47,3,5
48,6,1
49,0,1
50,13,4
51,23,3
52,2,7
53,22,7
54,6,6
55,5,4
56,4,1
57,0,1
58,23,7
59,14,6
60,2,7
61,5,7
62,6,6
63,5,6
64,15,7
65,15,7
66,0,1
67,4,1
68,21,7
69,7,3
70,2,7
71,4,2
72,3,1
73,2,1
74,5,7
75,23,7
76,5,6
77,6,1
78,2,7
79,5,5
80,1,3
81,3,6
82,23,3
83,4,1
84,19,2
85,11,1
86,9,7
87,4,1
88,4,1
89,2,1
90,99,2
91,23,6
92,19,6
93,4,2
94,1,3
95,7,5
96,22,6
97,4,6
98,0,7
99,23,6
100,4,6
101,23,1
102,15,4
103,0,1
104,4,1
105,21,6
106,4,7
107,23,2
108,23,7
109,16,7
110,23,3
111,20,7
112,3,1
113,2,1
114,16,7
115,1,7
116,22,6
117,2,3
118,23,5
119,1,3
120,0,7
121,2,1
122,2,1
123,18,2
124,3,7
125,3,1
126,16,3
127,9,2
128,4,7
129,0,7
130,4,1
131,20,6
132,13,6
133,21,4
134,2,1
135,5,1
136,4,1
137,1,7
138,23,6
139,1,7
140,7,5
141,2,5
142,1,7
143,2,1
144,23,2
145,3,7
146,18,3
147,1,7
148,1,1
149,19,4
150,5,6
151,3,1
152,6,7
153,6,7
154,5,1
155,4,1
156,1,6
157,4,3
158,2,7
159,19,1
160,5,7
161,9,5
162,4,7
163,22,7
164,1,7
165,5,2
166,23,7
167,17,4
168,0,4
169,2,1
170,15,5
171,1,4
172,22,7
173,3,7
174,3,3
175,21,6
176,1,7
177,1,5
178,4,7
179,4,7
180,3,7
181,0,4
182,0,5
183,2,7
184,5,1
185,2,1
186,23,5
187,2,7
188,3,1
189,1,5
190,22,6
191,6,1
192,20,7
193,4,7
194,9,7
195,3,6
196,1,6
197,7,1
198,0,7
199,17,5
200,0,1
201,22,2
202,23,5
203,6,1
204,2,1
205,1,6
206,19,7
207,19,6
208,1,4
209,19,3
210,4,1
211,3,7
212,1,5
213,23,6
214,20,7
215,5,1
216,19,3
217,23,7
218,0,1
219,22,1
220,5,7
221,0,2
222,3,5
223,0,7
224,1,6
225,1,6
226,3,7
227,2,6
228,21,5
229,17,6
230,2,2
231,4,1
232,6,7
233,0,6
234,23,6
235,22,7
236,18,3
237,3,7
238,12,7
239,3,6
240,1,7
241,23,6
242,23,5
243,2,1
244,20,5
245,1,1
246,18,1
247,3,7
248,0,6
249,23,7
250,1,4
251,23,7
252,3,2
253,18,7
254,3,3
255,2,1
256,12,4
