,acchr,dayofweek
0,14,6
1,17,1
2,7,2
3,18,7
4,18,7
5,18,7
6,1,4
7,22,6
8,11,6
9,6,2
10,10,1
11,18,3
12,18,3
13,17,7
14,9,7
15,0,4
16,11,6
17,12,2
18,18,3
19,8,2
20,17,2
21,13,3
22,22,1
23,19,7
24,12,1
25,4,5
26,16,7
27,0,1
28,18,7
29,10,5
30,21,5
31,12,4
32,16,3
33,9,5
34,9,5
35,10,6
36,20,6
37,7,4
38,15,6
39,12,1
40,12,2
41,18,6
42,15,3
43,21,5
44,11,4
45,10,2
46,18,4
47,13,4
48,7,4
49,20,2
50,16,4
51,12,6
52,15,7
53,6,3
54,1,4
55,9,1
56,5,2
57,7,4
58,14,4
59,10,2
60,15,6
61,4,6
62,12,1
63,18,7
64,20,5
65,14,3
66,11,4
67,12,4
68,21,5
69,23,3
70,18,7
71,9,3
72,9,3
73,16,5
74,13,5
75,16,7
76,9,7
77,16,2
78,11,5
79,15,3
80,5,3
81,9,6
82,12,6
83,7,6
84,10,7
85,15,7
86,9,5
87,15,1
88,8,7
89,15,6
90,6,6
91,10,3
92,10,3
93,7,4
94,13,6
95,16,1
96,20,6
97,20,6
98,6,4
99,15,3
100,15,4
101,7,1
102,9,5
103,20,7
104,19,7
105,15,6
106,20,7
107,6,5
108,8,4
109,11,4
110,0,2
111,0,1
112,16,2
113,16,2
114,19,2
115,19,2
116,22,2
117,23,3
118,17,4
119,7,7
120,12,7
121,17,6
122,4,6
123,15,2
124,16,2
125,14,3
126,23,3
127,14,4
128,18,7
129,8,6
130,10,6
131,10,5
132,18,2
133,21,2
134,11,3
135,7,3
136,12,4
137,4,5
138,18,7
139,22,3
140,11,1
141,12,7
142,19,3
143,18,5
144,8,5
145,15,5
146,15,5
147,14,3
148,12,7
149,0,7
150,12,2
151,6,4
152,14,4
153,18,5
154,7,6
155,9,2
156,17,3
157,10,6
158,16,2
159,11,3
160,7,4
161,10,4
162,11,5
163,3,6
164,6,6
165,7,4
166,18,4
167,5,5
168,9,5
169,12,2
170,11,1
171,11,1
172,0,3
173,1,6
