,acchr,dayofweek
0,16,2
1,14,4
2,8,4
3,17,1
4,19,3
5,8,2
6,17,2
7,19,6
8,18,2
9,10,7
10,9,1
11,18,2
12,20,4
13,14,4
14,14,7
15,13,7
16,8,6
17,19,2
18,19,6
19,18,7
20,13,4
21,11,7
22,17,5
23,13,3
24,17,5
25,17,2
26,21,2
27,19,6
28,20,1
29,0,1
30,17,5
31,7,7
32,13,2
33,22,5
34,17,2
35,20,4
36,20,7
37,23,3
38,18,4
39,3,7
40,9,7
41,16,1
42,20,1
43,8,4
44,12,7
45,18,4
46,22,6
47,19,6
48,21,5
49,12,7
50,18,3
51,16,5
52,16,2
53,15,4
54,15,5
55,15,6
56,7,4
57,16,2
58,19,3
59,6,1
60,8,1
61,17,4
62,11,3
63,23,2
64,20,7
65,19,1
66,13,2
67,22,7
68,17,2
69,20,2
70,18,1
71,15,3
72,16,4
73,17,5
74,16,4
75,17,3
76,11,7
77,16,5
78,13,7
79,10,6
80,12,4
81,21,1
82,6,6
83,7,4
84,1,2
85,0,4
86,5,6
87,20,4
88,11,1
89,18,2
90,9,3
91,16,5
92,2,5
93,15,7
94,6,6
95,12,5
96,7,2
97,11,6
98,15,3
99,5,4
100,16,5
101,3,6
102,15,1
103,14,7
104,10,1
105,19,1
106,7,5
107,15,6
108,2,3
109,2,6
110,22,7
111,0,7
112,8,4
113,22,5
114,18,1
115,20,1
116,21,1
117,18,1
118,18,1
119,18,7
120,17,3
121,6,3
122,0,5
123,11,4
124,10,3
125,1,7
126,19,5
127,1,2
128,22,7
129,19,7
130,20,3
131,14,3
132,4,2
133,1,7
134,21,3
135,21,6
136,13,6
137,2,7
138,22,7
139,21,1
140,18,3
141,1,1
142,18,4
143,20,5
144,0,7
145,14,7
146,9,5
147,18,4
148,22,7
149,23,6
150,12,7
151,20,5
152,0,1
153,13,1
154,6,4
155,21,2
156,22,2
157,19,7
158,19,2
159,20,4
160,15,4
161,12,1
162,19,6
163,16,6
164,15,2
165,0,3
166,16,4
167,15,7
168,15,7
169,0,1
170,18,7
171,12,5
172,14,3
173,10,7
174,12,7
175,18,1
176,22,6
177,20,2
178,16,5
179,2,5
180,23,2
181,16,3
182,22,6
183,17,5
184,0,3
185,13,5
186,13,7
187,19,6
188,23,1
189,13,7
190,7,6
191,22,4
192,22,3
193,8,2
194,20,6
195,20,7
196,1,7
197,19,5
198,15,1
199,20,3
200,15,7
201,17,5
202,21,6
203,13,4
204,14,1
205,4,6
206,13,1
207,14,1
208,21,3
209,11,3
210,21,2
211,0,5
212,21,5
213,15,4
214,12,5
215,21,2
216,16,4
217,19,3
218,18,7
219,1,7
220,18,4
221,13,2
222,11,4
223,18,4
224,11,4
225,23,2
226,7,6
227,15,2
228,0,7
229,3,7
230,13,1
231,13,3
232,6,5
233,11,7
234,16,4
235,0,7
236,15,6
237,15,6
238,18,4
239,12,2
240,22,1
241,14,2
242,21,1
243,14,6
244,16,5
245,6,5
246,13,1
247,7,2
248,19,7
249,6,6
250,10,6
251,10,6
252,17,5
253,19,4
254,20,1
255,23,7
256,0,7
257,15,6
258,16,4
259,19,1
260,19,1
261,5,1
262,19,2
263,17,6
264,17,6
265,7,2
266,23,7
267,19,4
268,3,7
269,12,3
270,16,1
271,16,5
272,23,7
273,17,2
274,0,4
275,21,2
276,0,7
277,19,1
278,21,6
279,20,5
280,3,3
281,8,6
282,16,4
283,18,2
284,14,4
285,13,7
286,16,3
287,19,6
288,14,3
289,1,6
290,21,6
291,11,7
292,8,2
293,21,4
294,1,1
295,12,2
296,23,7
297,11,4
298,21,6
299,17,5
300,11,3
301,19,5
302,23,5
303,17,5
304,18,5
305,22,7
306,22,6
307,17,5
308,21,6
309,21,6
310,8,4
311,16,3
312,19,1
313,21,2
314,1,7
315,1,6
316,4,3
317,22,7
318,3,1
319,18,7
320,16,3
321,2,5
322,17,2
323,5,1
324,19,5
325,15,3
326,20,5
327,10,5
328,1,5
329,6,4
330,5,4
331,1,1
332,2,5
333,14,3
334,21,6
335,15,5
336,10,7
337,7,2
338,17,2
339,20,7
340,16,6
341,4,6
342,0,1
343,18,5
344,21,2
345,16,4
346,13,7
347,22,6
348,2,5
349,3,7
350,2,7
351,4,3
352,9,6
353,13,1
354,18,3
355,22,7
356,20,4
357,17,5
358,20,3
359,16,5
360,1,1
361,8,7
362,18,6
363,18,3
364,20,1
365,12,7
366,16,5
367,8,6
368,15,3
369,10,5
370,6,3
371,16,2
372,20,1
373,1,4
374,18,7
375,3,7
376,16,2
377,1,4
378,16,3
379,14,2
380,15,3
381,16,4
382,15,2
383,18,4
384,22,1
385,18,1
386,18,7
387,19,2
388,17,3
389,17,4
390,8,3
391,23,4
392,0,6
393,14,4
394,18,5
395,2,1
396,15,6
397,2,1
398,18,3
399,18,7
400,14,3
401,23,7
402,14,4
403,15,2
404,10,2
405,6,3
406,23,3
407,7,3
408,18,5
409,7,7
410,19,2
411,19,1
412,17,2
413,22,5
414,19,1
415,15,2
416,21,4
417,11,2
418,12,2
419,18,3
420,22,1
421,18,6
422,6,6
423,23,7
424,15,3
425,5,5
426,23,3
427,14,2
428,8,7
429,23,7
430,23,7
431,20,7
432,5,6
433,12,6
434,22,7
435,22,5
436,22,3
437,14,7
438,19,1
439,21,7
440,18,7
441,1,1
442,11,2
443,15,5
444,10,6
445,10,6
446,2,6
447,22,6
448,18,4
449,0,7
450,21,6
451,2,6
452,15,5
453,21,2
454,16,7
455,5,3
456,2,3
457,0,7
458,8,1
459,17,3
460,20,3
461,0,2
462,16,1
463,15,2
464,15,3
465,19,1
466,9,2
467,18,3
468,13,6
469,23,7
470,22,5
471,18,3
472,18,5
473,12,7
474,17,6
475,18,4
476,22,6
477,0,3
478,7,4
479,3,6
480,14,5
481,16,5
482,16,3
483,17,2
484,3,6
485,21,2
486,20,1
487,10,3
488,18,3
489,17,2
490,12,4
491,20,7
492,14,7
493,14,7
494,16,7
495,22,1
496,11,3
497,16,4
498,16,4
499,1,5
500,15,4
501,1,2
502,16,1
503,19,6
504,6,1
505,9,2
506,19,7
507,16,7
508,14,1
509,7,4
510,17,5
511,1,1
512,18,6
513,22,4
514,22,6
515,22,4
516,16,4
517,20,7
518,0,7
519,10,2
520,2,6
521,23,4
522,11,3
523,22,7
524,7,7
525,1,1
526,11,5
527,21,5
528,23,6
529,18,4
530,16,1
531,19,2
532,22,6
533,19,6
534,7,3
535,6,4
536,14,1
537,6,2
538,19,7
539,19,7
540,23,7
541,18,6
542,18,6
543,0,1
544,14,2
545,14,2
546,20,1
547,15,2
548,10,7
549,0,6
550,17,4
551,7,4
552,6,4
553,22,7
554,20,1
555,13,4
556,20,5
557,18,2
558,11,2
559,11,2
560,23,7
561,3,7
562,19,1
563,23,1
564,15,6
565,6,1
566,20,5
567,17,3
568,14,4
569,21,3
570,8,4
571,7,2
572,18,3
573,19,3
574,2,1
575,23,6
576,19,1
577,19,5
578,7,5
579,6,5
580,16,1
581,2,1
582,18,1
583,18,7
584,19,4
585,15,4
586,1,1
587,14,4
588,20,2
589,1,6
590,13,7
591,20,2
592,15,1
593,22,7
594,2,1
595,15,1
596,0,7
597,23,6
598,6,4
599,18,3
600,15,3
601,20,1
602,16,6
603,21,6
604,19,4
605,10,6
606,22,7
607,18,5
608,17,5
609,18,7
610,22,7
611,1,6
612,22,6
613,3,7
614,15,3
615,7,5
616,7,5
617,23,3
618,7,5
619,16,2
620,13,5
621,13,7
622,7,7
623,21,6
624,17,7
625,20,7
626,6,2
627,15,2
628,16,1
629,18,6
630,5,1
631,21,1
632,21,1
633,16,4
634,21,2
635,2,2
636,18,4
637,14,4
638,23,4
639,13,1
640,0,2
641,1,3
642,17,1
643,18,1
644,14,5
645,5,1
646,23,5
647,21,6
648,21,4
649,2,1
650,9,1
651,15,1
652,2,7
653,14,3
654,18,2
655,11,1
656,19,2
657,20,6
658,10,3
659,19,5
660,23,6
661,12,7
662,17,4
663,18,3
664,15,3
665,11,7
666,20,2
667,15,4
668,22,5
669,14,1
670,23,7
671,21,5
672,6,3
673,6,6
674,11,2
675,21,7
676,0,2
677,18,2
678,20,2
679,20,2
680,18,5
681,14,5
682,14,5
683,18,1
684,22,1
685,7,3
686,15,1
687,4,1
688,18,6
689,1,4
690,16,4
691,23,7
692,8,6
693,13,2
694,19,6
695,23,3
696,16,3
697,16,1
698,14,6
699,3,1
700,1,6
701,18,3
702,14,5
703,15,7
704,13,3
705,13,1
706,20,6
707,22,4
708,6,5
709,19,2
710,2,4
711,17,3
712,12,2
713,0,2
714,8,6
715,15,6
716,6,3
717,3,1
718,7,3
719,21,4
720,15,6
721,19,6
722,14,3
723,18,2
724,16,5
725,8,5
726,5,3
727,18,1
728,10,6
729,10,6
730,7,5
731,8,7
732,8,7
733,15,2
734,20,3
735,19,1
736,14,2
737,19,2
738,9,7
739,4,5
740,7,6
741,7,6
742,7,6
743,9,2
744,20,5
745,16,3
746,11,7
747,11,7
748,20,3
749,22,4
750,11,7
751,23,1
752,18,2
753,7,1
754,0,1
755,23,5
756,19,2
757,17,1
758,20,7
759,20,7
760,2,6
761,18,4
762,14,1
763,2,3
764,5,2
765,22,1
766,23,6
767,8,5
768,17,6
769,14,1
770,8,3
771,2,5
772,10,1
773,0,1
774,0,1
775,15,2
776,4,3
777,18,3
778,10,7
779,22,2
780,1,6
781,4,6
782,18,7
783,20,3
784,22,1
785,22,6
786,19,3
787,20,3
788,0,4
789,2,2
790,7,1
791,2,2
792,16,3
793,19,6
794,13,2
795,17,2
796,18,5
797,14,3
798,18,5
799,18,1
800,6,2
801,20,7
802,13,1
803,19,2
804,5,5
805,19,7
806,14,6
807,13,1
808,21,4
809,18,1
810,5,6
811,5,1
812,7,1
813,23,7
814,21,2
815,16,3
816,16,3
817,20,4
818,10,3
819,21,1
820,3,4
821,9,6
822,20,6
823,8,3
824,8,7
825,7,7
826,4,2
827,22,7
828,19,5
829,7,2
830,11,2
831,14,5
832,11,2
833,11,7
834,8,2
835,0,5
836,9,5
837,12,5
838,22,5
839,2,2
840,17,2
841,15,2
842,19,1
843,16,4
844,20,3
845,10,1
846,15,1
847,6,6
848,0,7
849,19,6
850,20,3
851,18,5
852,10,3
853,22,1
854,0,7
855,1,7
856,14,3
857,6,2
858,22,7
859,6,1
860,10,6
861,21,4
862,7,1
863,15,1
864,0,7
865,15,6
866,21,2
867,7,3
868,18,2
869,2,3
870,15,1
871,22,3
872,8,5
873,20,1
874,20,7
875,16,6
876,1,5
877,22,7
878,7,7
879,21,4
880,21,5
881,20,4
882,11,4
883,6,7
884,20,1
885,0,2
886,19,4
887,18,4
888,18,4
889,21,1
890,22,3
891,8,7
892,18,1
893,20,4
894,20,5
895,15,3
896,20,3
897,17,1
898,7,6
899,14,5
900,4,1
901,21,2
902,2,5
903,10,6
904,20,2
905,11,3
906,0,7
907,6,6
908,23,7
909,23,4
910,15,6
911,18,4
912,13,7
913,0,7
914,11,1
915,11,1
916,22,3
917,14,7
918,22,6
919,4,7
920,9,7
921,15,5
922,15,5
923,14,4
924,22,2
925,1,4
926,2,5
927,16,5
928,18,3
929,11,2
930,14,2
931,22,6
932,6,5
933,18,2
934,12,5
935,12,5
936,10,6
937,13,5
938,12,7
939,20,1
940,6,5
941,12,2
942,22,4
943,15,1
944,16,3
945,13,2
946,20,3
947,11,2
948,21,2
949,8,4
950,14,3
951,7,6
952,21,7
953,19,1
954,6,6
955,6,6
956,21,7
957,15,4
958,6,2
959,23,3
960,17,4
961,12,4
962,0,1
963,5,2
964,9,2
965,11,2
966,21,5
967,16,4
968,21,6
969,21,5
970,16,7
971,13,7
972,9,4
973,19,7
974,13,4
975,16,7
976,0,1
977,17,2
978,15,1
979,21,6
980,17,4
981,19,7
982,19,2
983,10,5
984,22,4
985,20,2
986,19,7
987,4,6
988,10,1
989,17,7
990,16,5
991,10,6
992,12,1
993,12,4
994,7,6
995,16,1
996,23,7
997,12,1
998,2,1
999,19,3
1000,22,7
1001,7,3
1002,12,4
1003,21,6
1004,17,5
1005,22,4
1006,12,6
1007,12,1
1008,18,7
1009,13,2
1010,4,6
1011,1,7
1012,1,7
1013,1,7
1014,21,6
1015,2,6
1016,21,6
1017,0,2
1018,0,7
1019,8,6
1020,17,1
1021,0,7
1022,5,2
1023,19,7
1024,3,1
1025,11,3
1026,17,4
1027,21,5
1028,7,5
1029,14,3
1030,6,3
1031,22,5
1032,22,7
1033,6,5
1034,9,1
1035,19,3
1036,16,7
1037,15,4
1038,19,2
1039,17,3
1040,22,1
1041,18,3
1042,20,6
1043,6,4
1044,8,3
1045,2,6
1046,17,1
1047,17,6
1048,17,6
1049,16,1
1050,1,2
1051,21,4
1052,1,7
1053,12,2
1054,99,7
1055,21,3
1056,20,7
1057,15,5
1058,15,5
1059,2,5
1060,8,2
1061,19,7
1062,14,4
1063,13,7
1064,20,7
1065,13,2
1066,16,3
1067,16,3
1068,22,6
1069,17,5
1070,14,7
1071,21,7
1072,17,7
1073,17,5
1074,15,4
1075,5,2
1076,16,6
1077,17,5
1078,18,6
1079,22,6
1080,20,1
1081,18,3
1082,23,1
1083,15,6
1084,18,2
1085,20,4
1086,3,7
1087,22,3
1088,14,2
1089,13,2
1090,16,5
1091,21,4
1092,12,3
1093,1,5
1094,3,6
1095,22,7
1096,11,3
1097,22,2
1098,18,2
1099,7,7
1100,19,2
1101,19,2
1102,19,2
1103,14,1
1104,9,1
1105,12,6
1106,12,6
1107,11,7
1108,7,4
1109,16,2
1110,9,5
1111,12,1
1112,1,1
1113,21,1
1114,14,7
